milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.000754668210645328,-2.6227232702877614e-10,2.499972103856708e-06,3.9231886247057096e-07,-3.059307927409778e-11,9.96184405670638e-06
100,0.0002856681874835705,4.5953972655985105e-09,2.260458752052688e-06,5.24680226132556e-07,1.9417973675610486e-10,7.983696063716832e-06
200,0.0006549207066377635,8.633883499004161e-09,2.028399396316398e-06,5.239096155956291e-07,3.609332486672871e-10,6.857262107258356e-06
300,0.0005185584457709018,1.1338116592668264e-08,1.8499136798976127e-06,5.671631551943627e-07,5.966138644290604e-10,5.706627328147715e-06
400,0.0005389784357995521,1.3804693239254518e-08,1.639163098798256e-06,1.138221992031786e-06,7.684843132059596e-10,4.5696474645555635e-06
500,0.0009455749407992387,1.607100730188637e-08,1.4390866516469613e-06,1.5129269477412235e-06,9.670975043690689e-10,3.6199576916632116e-06
600,0.0004838537778420676,1.765222466881144e-08,1.313485283000489e-06,1.747345870097586e-06,1.1284928427246665e-09,3.1543860358148966e-06
700,0.0006658520456938345,1.8719714081265363e-08,1.101917402407182e-06,1.7876958795991585e-06,1.2774175920747044e-09,2.6488100928572343e-06
800,0.0008306538806229543,2.047314508996868e-08,1.0752274061076604e-06,2.1716351784721137e-06,1.3907019616566964e-09,2.2899549218187644e-06
900,0.001091373654777106,2.0519130117759482e-08,8.974309760107539e-07,2.1627944414305404e-06,1.4736682260635712e-09,1.766732976312126e-06
1000,0.0011251678397590616,2.1537751821939574e-08,8.050034620469425e-07,1.8080324872159116e-06,1.5864786418745968e-09,1.497648246878744e-06
1100,0.0007363697969690443,2.1705017774246278e-08,7.306094808092906e-07,2.4314783067854196e-06,1.6692077396861699e-09,1.190785647716243e-06
1200,0.0008061254280243589,2.1679127657211367e-08,6.808209979666167e-07,2.6466564492897788e-06,1.6456415338252253e-09,1.0662046481006245e-06
1300,0.0008838286604220489,2.1823372613428416e-08,5.613807129125991e-07,2.506505044521651e-06,1.7092003035859793e-09,8.855497101009968e-07
1400,0.0013131403521633813,2.19054909297838e-08,5.688200750779989e-07,2.777196255079585e-06,1.7111494757428697e-09,7.673813751929059e-07
1500,0.0014194093573593547,2.164290673434326e-08,4.228322261915556e-07,2.9505801491940257e-06,1.704034518599331e-09,5.847435080232611e-07
1600,0.0016008863350567893,2.163469455416091e-08,3.7553632146948123e-07,2.9285838058753203e-06,1.7214587725075239e-09,4.5092604569201493e-07
1700,0.0015429404265859664,2.1263229198901488e-08,3.900844167998903e-07,3.412280263216079e-06,1.740563592049131e-09,4.5528420101235766e-07
1800,0.0012364195520795252,2.1238569973310036e-08,3.572649833804655e-07,3.7608621753996123e-06,1.6741504777874636e-09,2.8757122243109304e-07
1900,0.0019031735426384652,2.1211563792864318e-08,2.452691683070626e-07,3.719221448179215e-06,1.6433796285499009e-09,2.2628937022043669e-07
2000,0.0016111554546889078,2.0673593476704375e-08,2.0128177415543144e-07,3.541679913112516e-06,1.6097238700311688e-09,1.4384612171218257e-07
2100,0.0017853007455297624,2.035337805542793e-08,2.4468253752522314e-07,3.925874915819177e-06,1.619900345577849e-09,2.5636513919888763e-07
2200,0.002242194494958195,2.020020764157555e-08,1.996356608864098e-07,4.3261135858964205e-06,1.6123824811592575e-09,4.1941882868675654e-07
2300,0.002366103252712525,1.9854330135969245e-08,2.2045285579772094e-07,4.701334981513791e-06,1.5364637499197255e-09,1.012354413569635e-07
2400,0.0021791914507300106,1.9193830770106926e-08,1.364906520924332e-07,5.049718927982229e-06,1.548479260394464e-09,1.6517632035729898e-07
2500,0.0026269430135031674,1.8998538066274563e-08,1.0341242159218254e-07,5.174081264180153e-06,1.4916146951623684e-09,4.7885570048112436e-08
2600,0.0025279572130221186,1.8837314581650606e-08,1.8318331791797917e-07,5.424591646804386e-06,1.412686657061694e-09,7.81699523904765e-08
2700,0.0024426298766959775,1.8480641155204292e-08,1.5336406660766419e-07,5.485722248947359e-06,1.415339929295334e-09,3.0789159326554345e-07
2800,0.0027628258015329385,1.804774332272483e-08,1.4111534201162772e-07,5.409309920216771e-06,1.3384182483576412e-09,2.0745113922227904e-07
2900,0.003107717754561504,1.7380001323018666e-08,2.232355436463812e-08,5.849777846369677e-06,1.3775206011898065e-09,3.3916663583043953e-07
3000,0.0034292508997049425,1.749031925012477e-08,4.117651763116745e-08,6.292714604340784e-06,1.3370202387056346e-09,5.740551592952953e-08
3100,0.0033553571702577,1.6755088817249533e-08,7.777404517147582e-08,6.89512588899616e-06,1.2981645050900834e-09,-1.0101462250300592e-09
