milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.00032252711902995904,1.286717517844735e-10,2.5078447152100714e-06,6.308275548822154e-07,1.2480139857826277e-11,1.011132624138e-05
100,0.0007901056643020725,4.482484300215633e-09,2.252140926969967e-06,6.087537735436096e-07,1.620311161638222e-10,8.12273490333243e-06
200,0.0008384925476253152,8.73201821521294e-09,2.058763845459133e-06,5.402530583616809e-07,3.3202831115097417e-10,6.698190362270281e-06
300,0.0008620389790268628,1.1703298900839539e-08,1.856382605204724e-06,1.1257674499899935e-06,5.777504634017484e-10,5.6133490470561175e-06
400,0.0007073281218261421,1.3983772112195142e-08,1.6251855451159187e-06,9.422843952978914e-07,7.777976843252201e-10,4.5542470106363805e-06
500,0.0007474850802211641,1.623637626426954e-08,1.4267472298935498e-06,8.406346675156253e-07,9.337504441283802e-10,3.5898329029698557e-06
600,0.0007504152975863734,1.7832655192356048e-08,1.2643634302005063e-06,1.747541174304388e-06,1.1326083077024876e-09,3.041730425315235e-06
700,0.0008906351230358494,1.9434519355362956e-08,1.1563348742898938e-06,1.4529848803149852e-06,1.2776867638231775e-09,2.362438787367056e-06
800,0.0009599397946319009,2.017632754008175e-08,1.0723306273073382e-06,1.6337711112760316e-06,1.4251240634544597e-09,2.2510997628040025e-06
900,0.0010777622345222659,2.0689296987859652e-08,8.882387308099444e-07,2.227196002451333e-06,1.4725682560787283e-09,1.624503686759481e-06
1000,0.0007490954774547232,2.1081911701908544e-08,8.35879238261205e-07,2.288179330179876e-06,1.6005763061850322e-09,1.3406774984679544e-06
1100,0.001162243110340706,2.1711962413526862e-08,6.879589613455591e-07,2.1251117943977324e-06,1.6258698257485021e-09,1.1197827920828452e-06
1200,0.0010913116842411477,2.1656083924117113e-08,6.779799726006885e-07,2.7328273259020526e-06,1.7135093294855742e-09,1.1869796614700923e-06
1300,0.0011214634615953594,2.2007557926342927e-08,5.77543319304989e-07,2.4564074178457425e-06,1.7460185395493307e-09,6.909030380404595e-07
1400,0.0011153043342101848,2.1754160025186388e-08,5.227946467991026e-07,2.516473985151649e-06,1.714728850249639e-09,7.075754369928933e-07
1500,0.0012424394713005905,2.2031142718322657e-08,4.237165478529341e-07,3.383394390579433e-06,1.7639995154810098e-09,4.857405575247677e-07
1600,0.0014557844656490739,2.216031982895277e-08,3.5833192233434417e-07,3.3342487453453267e-06,1.7002150159700924e-09,3.5664050109468533e-07
1700,0.0011623217996194876,2.1628951348627084e-08,3.8696162502602814e-07,3.3307106514629216e-06,1.7443378608413312e-09,5.908805987160794e-07
1800,0.0015335181131052398,2.1000453786393546e-08,2.613192604694096e-07,3.5541680804343407e-06,1.698962697678813e-09,1.8184385611229646e-07
1900,0.0017897092049738948,2.1335230747268602e-08,3.004156669728085e-07,3.909153482799226e-06,1.6300672644261243e-09,4.0825547459153364e-07
2000,0.0018215757550910138,2.0897801409289323e-08,2.071716416146651e-07,3.6255245402865978e-06,1.6286945820652194e-09,4.068239416786935e-07
2100,0.001959388904412833,2.0129025438006285e-08,2.7984146151223614e-07,4.357857182289982e-06,1.5803569478489182e-09,1.9034674090157217e-07
2200,0.002219260601966872,2.0300021548639542e-08,1.4127447621882464e-07,3.909430563684132e-06,1.5756242608466786e-09,3.6882691532642456e-07
2300,0.002334622590418076,1.933667903493614e-08,2.148674153383232e-07,4.9379351184048e-06,1.5170484290943395e-09,2.764522303695453e-07
2400,0.002383622525649293,1.9387883834746533e-08,2.0854576570021904e-07,4.7410379191206954e-06,1.5325706594322467e-09,1.60756643507008e-08
2500,0.002334922202369107,1.9303683034638575e-08,8.931920675458457e-08,4.997956017926969e-06,1.4786789613910726e-09,1.1592299849561329e-08
2600,0.0027745113044740184,1.8778366245129193e-08,1.2877650690280583e-07,4.964115421585203e-06,1.407273031528572e-09,1.6222385859620505e-07
2700,0.002951729856415609,1.847448508822712e-08,6.245640869947879e-08,5.4754372635313856e-06,1.3996897432723375e-09,-6.065427778828532e-08
2800,0.003020820910318788,1.8294808721651234e-08,1.0970292285606991e-07,5.550491053313552e-06,1.3935998681543519e-09,2.6071508854334494e-07
2900,0.00324710876025308,1.7310505004208572e-08,9.617464192712527e-08,6.2845347728155835e-06,1.3691829807825444e-09,2.2244847836573728e-07
3000,0.002908754211047919,1.7511023707289982e-08,7.16766220888445e-08,6.314953747357287e-06,1.3264463665363721e-09,1.893526987670931e-07
3100,0.00353306552762074,1.6958409185213333e-08,1.3886595710485033e-08,6.38149651889276e-06,1.273433552189297e-09,2.8251299976567975e-07
3200,0.003909072673441007,1.705161802945537e-08,1.8617012533360425e-08,6.822786753983156e-06,1.219078183295838e-09,9.90074664906325e-08
3300,0.003979619099911133,1.6459279396557954e-08,1.1287228010608353e-07,7.254072103634099e-06,1.2369791401113167e-09,-1.1939889425357282e-08
3400,0.004171439875859795,1.6583600849041196e-08,4.9004745270674887e-08,7.905466570384561e-06,1.2118921778981333e-09,2.2819147818973347e-07
3500,0.004487722514843042,1.6237402576642995e-08,2.98614272960851e-08,7.872960549222686e-06,1.1650319503946655e-09,-1.033328002518876e-07
3600,0.004495834603886106,1.6028500406651588e-08,-9.043149483029632e-09,8.418833556662745e-06,1.1676456171001785e-09,2.1386603575105502e-07
3700,0.0048594648332280594,1.5483996162205225e-08,7.556455013137763e-09,9.024804551202543e-06,1.1330745503157387e-09,7.552387371512011e-08
3800,0.005173701461662588,1.5469011428178028e-08,6.876512742444681e-08,8.870730373491668e-06,1.0940316884106633e-09,1.1719536506881906e-08
3900,0.005772247380300668,1.557931439589136e-08,5.594768749640848e-08,9.069055055207345e-06,1.133559918430172e-09,2.1025015399983752e-07
4000,0.005713616154727751,1.5532390079521288e-08,-1.3751586546908346e-08,9.896658460810296e-06,1.1107601828384442e-09,2.5213597942696734e-07
4100,0.006123774277291843,1.544981012885612e-08,3.1847967282035006e-08,1.0295081398639897e-05,1.04212988754983e-09,6.338358637541534e-08
4200,0.006496245839047075,1.5435614070268284e-08,1.890278773230538e-08,1.08495279949591e-05,1.0562752003926448e-09,1.1080975176380157e-07
4300,0.007428921056970004,1.5293556806430905e-08,3.1222936515517097e-09,1.1540567339621542e-05,1.0894187344351237e-09,2.1517985099129132e-07
4400,0.007568583041285012,1.5129313497051546e-08,-3.385958519265839e-08,1.1817000979381658e-05,1.0400174741285283e-09,2.0619153125539474e-07
4500,0.008366784147341197,1.5349684690388054e-08,2.0066078736254373e-10,1.2672173372102343e-05,1.0570202234471378e-09,8.243126469866841e-09
4600,0.00870245949468233,1.5041137808184932e-08,3.1370720573991486e-08,1.3135641148707914e-05,1.0701292935469685e-09,4.039594683840363e-08
4700,0.009470859179907932,1.5234608050493048e-08,3.531421631493138e-08,1.385871418685072e-05,1.0606151729905675e-09,2.2441773593839067e-07
4800,0.010039248149992203,1.514498579145266e-08,5.843001959283475e-08,1.4082574279270185e-05,1.0762002958570493e-09,-1.2781865659391693e-07
4900,0.01049575579191802,1.5524627330476587e-08,-3.24965499389638e-08,1.4923740452208455e-05,1.0235403695667074e-09,3.1641536340246224e-08
5000,0.011016788865706303,1.577377490765994e-08,5.601269607462852e-08,1.5207983960290925e-05,1.0676559778271842e-09,2.810396358710538e-07
