milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.0002887800242834413,2.6343711985669066e-10,2.5629149093465405e-06,2.95827321091756e-09,-1.495193046730678e-11,9.808659786836971e-06
100,0.0007940457924800204,4.614580663253008e-09,2.2760828148224053e-06,6.996426913560112e-07,1.7799727312192094e-10,8.09099459571467e-06
200,0.0006760838721626325,8.672531547346128e-09,2.0856784913301516e-06,6.091214647068152e-07,3.3736939519008035e-10,6.626129474618447e-06
300,0.0004431028190798658,1.1429585618000708e-08,1.750166930827727e-06,1.1308824342700604e-06,5.641775467221735e-10,5.4677289181199156e-06
400,0.0006683765541373118,1.404680090784197e-08,1.582467069952255e-06,9.620471905233575e-07,7.884682750545401e-10,4.361955663094552e-06
500,0.0006172420728817155,1.6328948999315214e-08,1.4718665858863938e-06,9.215725550479651e-07,9.87975248155975e-10,3.9234447178775735e-06
600,0.0004515108305733696,1.8145706477569313e-08,1.3416176957356717e-06,1.3994645809982943e-06,1.1541048532910699e-09,2.8931163491561105e-06
700,0.0009568985950864457,1.872982771957087e-08,1.1482622886686271e-06,1.5876228819683017e-06,1.3100663845698104e-09,2.570302537729703e-06
800,0.0009620168978178165,2.0275025251334246e-08,1.007817453201546e-06,1.8004421757670027e-06,1.438172176070041e-09,2.2510064143347723e-06
900,0.0009128177023587844,2.1256643672009624e-08,9.317381814527519e-07,2.3187050401198636e-06,1.514157386715919e-09,1.7374603621370682e-06
1000,0.0007983028569561785,2.13132532989711e-08,7.812151198145457e-07,2.065598977298584e-06,1.5470650444153604e-09,1.4646397537510504e-06
1100,0.0009647871586389943,2.160339245101278e-08,7.350738821023029e-07,2.3538521871899475e-06,1.6194625738135038e-09,1.0040896353736193e-06
1200,0.0011125837143057611,2.1900015141505293e-08,6.939254221147392e-07,2.875484953672711e-06,1.654585847053393e-09,1.127402903389738e-06
1300,0.0012883000743260725,2.233120740631837e-08,5.119201314559102e-07,2.3173095749928116e-06,1.7307941712885383e-09,8.328378329971992e-07
1400,0.0010376350492118846,2.195759445296502e-08,5.301954980703972e-07,3.125116836608049e-06,1.7314224699179224e-09,8.734518593221991e-07
1500,0.001079100038723406,2.16703794143232e-08,4.956133772388138e-07,3.080334654715282e-06,1.745720397709804e-09,4.714422753135858e-07
1600,0.0016362550775170111,2.1975849857384566e-08,3.6667354148486365e-07,2.742488982222599e-06,1.6917356372488908e-09,6.513854562450231e-07
1700,0.0016977400647325955,2.168217322703671e-08,3.098105800420101e-07,3.3638250616363628e-06,1.7432704787254985e-09,3.981469612242208e-07
1800,0.0014810753520035126,2.1477994093079574e-08,2.781399013127201e-07,3.5627718133520224e-06,1.6612830483498328e-09,5.110418254343107e-07
1900,0.0013209652643366135,2.1113112227674632e-08,3.356053260260155e-07,3.826225050352292e-06,1.6655863896729542e-09,3.053195269956692e-07
2000,0.0016991877937739604,2.0319140687002417e-08,2.8998189418748105e-07,4.018695369840246e-06,1.6789981561480723e-09,4.159759250660467e-07
2100,0.0018998164529877566,2.0380065907483606e-08,1.8816581423753012e-07,3.861846785887763e-06,1.6394754827842363e-09,4.01628512499774e-07
2200,0.001975454641457255,2.0133275640432837e-08,2.5215301580401386e-07,3.937703438800287e-06,1.5761968366358273e-09,2.3004289615424913e-07
2300,0.0017955674638907688,1.9527729882973717e-08,1.414259386591361e-07,4.387791048604065e-06,1.514441069065639e-09,3.9405290931585173e-07
2400,0.0022842797682413305,1.9591559907256327e-08,9.337861221725287e-08,4.363700708712852e-06,1.4742965623030348e-09,3.751198544387382e-09
2500,0.002558274471786642,1.858101838553917e-08,8.639045815914636e-08,4.8712073587858465e-06,1.4766445163051158e-09,3.4914037485495757e-07
2600,0.002296462584394563,1.835512911938986e-08,1.1050586481281437e-07,5.198004721362021e-06,1.4064494105262063e-09,1.769558474972395e-07
2700,0.002613101693062839,1.7929686393603447e-08,1.185829270778963e-07,5.243475986272339e-06,1.409986731112064e-09,1.3937932090864312e-07
2800,0.003086858159256196,1.7590989205977106e-08,9.49495819335821e-08,5.345053386460285e-06,1.3382688362334504e-09,7.958311607902884e-08
2900,0.003283234973611867,1.7457414835980933e-08,9.539577404372674e-08,6.160845150613835e-06,1.3535439278849351e-09,-4.731117225996583e-08
3000,0.0032448555117498114,1.751257607533889e-08,8.90210719845734e-08,6.486301316629338e-06,1.3443928375620357e-09,3.04745373097885e-07
3100,0.0033139041459931797,1.6671156564462588e-08,8.133590396512787e-08,6.552773342849577e-06,1.292248853905889e-09,2.716251274357247e-07
3200,0.003867530837514798,1.7062705773137532e-08,3.873844717887175e-08,7.064366989708069e-06,1.2331348920183791e-09,2.5054525316143857e-07
3300,0.004090851782989936,1.648379223000999e-08,-7.633133793594114e-09,7.084781930612461e-06,1.2205408727624221e-09,8.624712028198274e-08
3400,0.004347463246397482,1.612281662225303e-08,5.314875297335745e-08,7.558034297457584e-06,1.2231984274300689e-09,1.0624831605792054e-07
3500,0.00416160538952415,1.583445693283196e-08,4.117519157874875e-08,7.932400049633006e-06,1.1828394517652053e-09,1.4661173642729814e-07
3600,0.004851362932662316,1.5348165348605478e-08,1.0429661123780127e-08,8.578344528461294e-06,1.15776020737427e-09,4.6238243914591417e-08
3700,0.005103420601422952,1.567363500033638e-08,4.7586677936595876e-08,8.737206698099472e-06,1.1626858172018352e-09,6.007988446856698e-08
3800,0.005257281412210025,1.5802352328467407e-08,6.83634369043521e-08,8.653022744192829e-06,1.0966336454443684e-09,1.8969850940846594e-07
3900,0.005612002288129248,1.514711901967952e-08,1.6358077105631945e-08,9.535049628808195e-06,1.0738741800698252e-09,-1.0139941357761397e-07
4000,0.006086674536256457,1.5534021459715928e-08,-2.1384405510237713e-09,9.892012521793804e-06,1.0699954557169945e-09,1.420392159555592e-07
4100,0.006548053931822316,1.5162104845776507e-08,-2.6552168165482083e-08,1.0738124471841443e-05,1.0697238116961613e-09,1.8788438218954165e-07
4200,0.006829420147410694,1.4890076218123616e-08,-2.4965853444509817e-08,1.1158929494711738e-05,1.0803004398178745e-09,1.8971406793298774e-07
4300,0.00736793353704483,1.4725800724259834e-08,-7.850945953347438e-09,1.1041391597815555e-05,1.0945858543303184e-09,-3.922229584724468e-08
4400,0.007881695617150129,1.491655026773525e-08,4.4357220290459174e-08,1.216121896030936e-05,1.010561565714784e-09,3.091727609442808e-08
4500,0.008428687694437493,1.5466231772729836e-08,-1.957962110661074e-08,1.2606198663786276e-05,1.021991510253457e-09,1.1984332003259655e-07
4600,0.00860203371443538,1.5400773814783217e-08,2.973904344037144e-08,1.3039954453483091e-05,1.0367849489622162e-09,2.504532063479365e-07
4700,0.009242704608308143,1.5529606731927957e-08,6.882928667221611e-08,1.3219598187042335e-05,1.0426261622173995e-09,-5.2423439053866805e-08
4800,0.009732467749401294,1.5533738275892304e-08,2.7425476164091288e-08,1.4166185758051271e-05,1.0103748876284736e-09,1.6418462945224658e-07
4900,0.010728706074619749,1.5174704247858354e-08,3.475185350760588e-08,1.50451521176284e-05,1.0521361669612901e-09,-1.300381951409826e-07
5000,0.011321903818426014,1.591313344621294e-08,6.614159664747913e-08,1.530194459521508e-05,1.0676844011932677e-09,-3.193918175118459e-08
