milliseconds,Uninfected_tumour_cells,Infected_tumour_cells,M1_macrophages,Uninfected_M2_macrophages,Infected_M2_macrophages,Oncolytic_viruses
0,0.00020892166516049156,1.5008853257135174e-10,2.4834597723667235e-06,4.1631577907108263e-07,3.5194700383868656e-11,9.942750355773081e-06
100,0.0008149565319653922,4.907591222908344e-09,2.1972635583482456e-06,6.781539255437009e-07,1.8599402093226682e-10,8.150879097439153e-06
200,0.0008033026058176835,8.332045690798401e-09,2.0572322065374544e-06,8.093541428343725e-07,3.3454068458770647e-10,6.598557967271989e-06
300,0.0006523103154538232,1.1773161185994291e-08,1.863598499308574e-06,5.850386968073055e-07,5.39536731132588e-10,5.381189279413686e-06
400,0.00044796906631338,1.4345999762390114e-08,1.6760920242979682e-06,8.42325745865511e-07,7.990765933818263e-10,4.666528475226506e-06
500,0.0009582356821830269,1.6206917219477778e-08,1.4637448033941563e-06,1.4518300471757816e-06,9.750564818670374e-10,3.8559363161832825e-06
600,0.0005953513514969919,1.7945923330808816e-08,1.2880886682987777e-06,1.3823790360678116e-06,1.1650561835602462e-09,2.8644358003500977e-06
700,0.0009932140140136855,1.879200311122642e-08,1.1218890911750956e-06,1.4048486879037314e-06,1.3102428099758409e-09,2.5837567937128185e-06
800,0.000905541337176851,2.0470017634862175e-08,1.0785428052555916e-06,1.6717283057644626e-06,1.4226932015117302e-09,2.0643596280313603e-06
900,0.000819715229190683,2.0935305923293537e-08,8.970828191736139e-07,1.9663673715918573e-06,1.51239777014977e-09,1.569877296178147e-06
1000,0.0009188696584671193,2.1595156691601157e-08,8.756295791941727e-07,1.828676379251018e-06,1.5749239260016595e-09,1.4548399524762916e-06
1100,0.000789209136632161,2.1733162493180065e-08,7.530284175537326e-07,2.164692020302605e-06,1.6223674381998304e-09,1.253842596696081e-06
1200,0.0013296762769041657,2.2333465733665622e-08,7.117737703993231e-07,2.85931544830002e-06,1.6889583777767798e-09,1.02859206824372e-06
1300,0.0011628465900291862,2.2143101726567985e-08,6.335656960462514e-07,2.2685795255006802e-06,1.7257207044648955e-09,7.891678586383438e-07
1400,0.0010221566822062528,2.2472309796331137e-08,4.4728352503910084e-07,3.2038335937429156e-06,1.7254525631934214e-09,7.264109014590327e-07
1500,0.0011720026981445468,2.1968202793461157e-08,4.619181905654535e-07,2.7962791662851793e-06,1.736944868561897e-09,4.895002716010126e-07
1600,0.0013797277455751432,2.154319583953031e-08,3.531532944315308e-07,3.0264067757503747e-06,1.754885219343274e-09,7.234531149029434e-07
1700,0.0012903566083415276,2.1450075592075098e-08,4.2138304272592894e-07,3.5698921422718455e-06,1.7037804560973479e-09,5.834935125668325e-07
1800,0.0013415881978827522,2.167572737408806e-08,3.0092718768738936e-07,3.1827402519244035e-06,1.725766321765106e-09,1.8238508074378154e-07
1900,0.0014119645474249393,2.0844892986603517e-08,3.0997812584439857e-07,3.6375344594460934e-06,1.6410106761169758e-09,1.8594832471201465e-07
2000,0.0019322078096296724,2.0887599180298572e-08,2.4766010261964233e-07,4.03147599637639e-06,1.6571572057786602e-09,1.9079287790430705e-07
2100,0.002098095701665309,2.0081720061050602e-08,1.7921433289276356e-07,4.346107060595762e-06,1.6208218450443214e-09,8.750542363939565e-08
2200,0.0018130897884679586,2.0389485361876345e-08,1.3213531506963756e-07,4.071798616268581e-06,1.58159336722335e-09,1.1368657825577773e-07
2300,0.0022776058341472,1.9467587594850338e-08,1.805488582106466e-07,4.495607836083761e-06,1.5465227312811323e-09,2.2187322661325907e-07
2400,0.002079881755260377,1.9326897662124032e-08,2.1568050339468284e-07,4.956195362596478e-06,1.515170355592427e-09,-2.720942739045003e-08
2500,0.0023774096037798916,1.8733352114671598e-08,8.913094864174657e-08,4.947644198421899e-06,1.4707598485517403e-09,1.6970198124678247e-07
