milliseconds,Mrbc
0,0.0
100,0.1686563959885309
200,0.651812322893091
300,1.417334251031984
400,2.435691235047105
500,3.6797609620932636
600,5.124648105544606
700,6.747504127464761
800,8.52737229640362
900,10.445045997538312
1000,12.482915727751724
1100,14.624859519306375
1200,16.85613287510698
1300,19.163256512049397
1400,21.533918254966455
1500,23.956879961090902
1600,26.421891875840096
1700,28.919616391909194
1800,31.44155717594388
1900,33.97999071835353
2000,36.527910029005795
2100,39.07896441085212
2200,41.6274079323398
2300,44.168049469068286
2400,46.69621017320024
2500,49.207682305624736
2600,51.698690856885335
2700,54.165858146891765
2800,56.606171347407056
2900,59.016953381342404
3000,61.39583476151142
3100,63.740728424786816
3200,66.04980728101997
3300,68.32148023971534
3400,70.55437493397456
3500,72.74731346225143
3600,74.89930102221624
3700,77.009507348866
3800,79.07725370835968
3900,81.10200151673502
4000,83.08333723851625
4100,85.02096361955256
4200,86.91468721854214
4300,88.76440843765498
4400,90.57011427711149
4500,92.33186705186294
4600,94.04980091574534
4700,95.72411102994792
4800,97.35505124219992
4900,98.9429248725524
5000,100.48808241223652
