milliseconds,Cm,Ct,T
0,0.0,0.0,3199423.756125526
100,0.0,0.0,3569839.7509534513
200,0.0,0.0,3494157.0715267626
300,0.0,0.0,3767107.7380024903
400,0.0,0.0,3896076.58424111
500,0.0,0.0,3467979.815785851
600,0.0,0.0,4214763.554766963
700,0.0,0.0,4216940.382920566
800,0.0,0.0,4670065.807740706
900,0.0,0.0,5004214.216376307
1000,0.0,0.0,4888609.442106174
1100,0.0,0.0,4951339.769268019
1200,0.0,0.0,5880294.544925594
1300,0.0,0.0,5488183.614972776
1400,0.0,0.0,6361793.978816246
1500,0.0,0.0,6540670.606744552
1600,0.0,0.0,7247454.456656368
1700,0.0,0.0,6715255.6168644605
1800,0.0,0.0,7170235.878940545
1900,0.0,0.0,7490466.418604434
2000,0.0,0.0,8326555.59416713
2100,0.0,0.0,8589355.479851311
2200,0.0,0.0,8921203.823517308
2300,0.0,0.0,9733989.182815759
2400,0.0,0.0,10604086.272961061
2500,0.0,0.0,10820691.04485428
2600,0.0,0.0,11367260.846106457
2700,0.0,0.0,11448105.053475471
2800,0.0,0.0,12124119.698180052
2900,0.0,0.0,12716239.043155836
3000,0.0,0.0,13963192.084130552
3100,0.0,0.0,14412433.29481446
3200,0.0,0.0,14943022.398418425
3300,0.0,0.0,15538618.494070323
3400,0.0,0.0,17049165.291545544
3500,0.0,0.0,17850555.641621295
3600,0.0,0.0,18820836.021754466
3700,0.0,0.0,19410161.25672495
3800,0.0,0.0,20945380.67049867
3900,0.0,0.0,21297774.205524605
4000,0.0,0.0,22341987.212886583
4100,0.0,0.0,23994454.327347048
4200,0.0,0.0,25202809.018568162
4300,0.0,0.0,26623270.134640053
4400,0.0,0.0,27776207.57385158
4500,0.0,0.0,29734858.21495271
4600,0.0,0.0,30785431.37049174
4700,0.0,0.0,32305819.230802547
4800,0.0,0.0,33768668.963207185
4900,0.0,0.0,36239145.555087656
5000,0.0,0.0,37834861.575575255
