miliseconds,Cm,Ct,T
0,0.0,0.0,3476416.8987552905
100,0.0,0.0,3012092.314043316
200,0.0,0.0,3783967.336917907
300,0.0,0.0,3945314.9079233916
400,0.0,0.0,4130060.2916365275
500,0.0,0.0,3550542.4227534262
600,0.0,0.0,3641575.9411265105
700,0.0,0.0,4688463.153945114
800,0.0,0.0,4105928.5057012257
900,0.0,0.0,4734688.293768463
1000,0.0,0.0,4527780.495225904
1100,0.0,0.0,5123401.427330155
1200,0.0,0.0,5928133.903474717
1300,0.0,0.0,5555185.760829537
1400,0.0,0.0,5629047.238072355
1500,0.0,0.0,6653316.000185837
1600,0.0,0.0,6659555.281791593
1700,0.0,0.0,7020233.960288029
1800,0.0,0.0,7381203.935841236
1900,0.0,0.0,8153948.769100607
2000,0.0,0.0,8482799.760633271
2100,0.0,0.0,8355166.305316637
2200,0.0,0.0,8996357.416022392
2300,0.0,0.0,9962224.813565593
2400,0.0,0.0,10613279.64971479
2500,0.0,0.0,11019561.71821959
2600,0.0,0.0,11349860.975920076
2700,0.0,0.0,12274050.811707692
2800,0.0,0.0,12127477.217969084
2900,0.0,0.0,12592643.249114744
3000,0.0,0.0,13507407.769675924
3100,0.0,0.0,14526824.22848926
3200,0.0,0.0,15124958.610297097
3300,0.0,0.0,16209491.118557904
3400,0.0,0.0,16915428.662858117
3500,0.0,0.0,17998165.056846738
3600,0.0,0.0,18341262.53506879
3700,0.0,0.0,19448526.843395635
3800,0.0,0.0,20965360.504103452
3900,0.0,0.0,21499154.10342642
4000,0.0,0.0,22325090.042817656
4100,0.0,0.0,23581416.672623474
4200,0.0,0.0,25670142.753191043
4300,0.0,0.0,26140078.85218129
4400,0.0,0.0,27527274.481443442
4500,0.0,0.0,29850930.753426235
4600,0.0,0.0,30667792.39898507
4700,0.0,0.0,32551743.359301053
4800,0.0,0.0,33807709.12225717
4900,0.0,0.0,36250470.88071693
5000,0.0,0.0,37510758.57370707
