miliseconds,Cm,Ct,T
0,0.0,0.0,3486715.745705637
100,0.0,0.0,3405920.6715089763
200,0.0,0.0,3752591.879495362
300,0.0,0.0,3681625.8165937667
400,0.0,0.0,4015252.4461517595
500,0.0,0.0,3421814.591362143
600,0.0,0.0,4155075.055809464
700,0.0,0.0,4716226.856324219
800,0.0,0.0,4709771.94716982
900,0.0,0.0,4988237.150172481
1000,0.0,0.0,4865472.902884259
1100,0.0,0.0,5637202.868516921
1200,0.0,0.0,5262821.473998011
1300,0.0,0.0,5320383.831775693
1400,0.0,0.0,6482247.222565517
1500,0.0,0.0,6777423.497472675
1600,0.0,0.0,6917561.770590019
1700,0.0,0.0,7468328.334937851
1800,0.0,0.0,7172378.261702085
1900,0.0,0.0,7440331.664297004
2000,0.0,0.0,8768267.861501172
2100,0.0,0.0,8347401.141814636
2200,0.0,0.0,9575987.301510843
2300,0.0,0.0,9166576.399236303
2400,0.0,0.0,10166508.024064276
2500,0.0,0.0,10979462.25206355
2600,0.0,0.0,11004480.34770188
2700,0.0,0.0,11960881.381696861
2800,0.0,0.0,12466753.534109691
2900,0.0,0.0,13493183.029818326
3000,0.0,0.0,14037232.510675507
3100,0.0,0.0,14874184.177890947
3200,0.0,0.0,15415389.403722622
3300,0.0,0.0,15851916.319803132
3400,0.0,0.0,16841935.13777576
3500,0.0,0.0,17639417.280237585
3600,0.0,0.0,19087660.692694925
3700,0.0,0.0,19759441.353758823
3800,0.0,0.0,20295737.669671956
3900,0.0,0.0,21704447.37414196
4000,0.0,0.0,22648377.91110639
4100,0.0,0.0,23650537.05739473
4200,0.0,0.0,24826076.30067346
4300,0.0,0.0,26556541.90232912
4400,0.0,0.0,27625206.42767382
4500,0.0,0.0,29282217.53060725
4600,0.0,0.0,30775803.441772122
4700,0.0,0.0,32747744.96661627
4800,0.0,0.0,33803444.7914147
4900,0.0,0.0,36020012.52176701
5000,0.0,0.0,37567022.836910196
