milliseconds,Cm,Ct,T
0,0.0,0.0,3285200.143100491
100,0.0,0.0,2718168.26140795
200,0.0,0.0,3653215.9379116576
300,0.0,0.0,3476856.9180358476
400,0.0,0.0,3320865.39701931
500,0.0,0.0,3584449.953648272
600,0.0,0.0,4454459.590777031
700,0.0,0.0,4244705.844517781
800,0.0,0.0,4262463.14112309
900,0.0,0.0,4285618.375396147
1000,0.0,0.0,5166471.4805008
1100,0.0,0.0,5427171.6174209295
1200,0.0,0.0,5197800.315370091
1300,0.0,0.0,5892882.858809687
1400,0.0,0.0,6401347.759618198
1500,0.0,0.0,6106042.177322274
1600,0.0,0.0,6675655.126332461
1700,0.0,0.0,7220889.4129024455
1800,0.0,0.0,7612231.052842043
1900,0.0,0.0,7969727.530247547
2000,0.0,0.0,7844575.642295618
2100,0.0,0.0,8251882.363674572
2200,0.0,0.0,9418337.903626382
2300,0.0,0.0,10120909.716419613
2400,0.0,0.0,10183732.243062729
2500,0.0,0.0,11057311.722773938
2600,0.0,0.0,10756607.562936265
2700,0.0,0.0,12169157.732597465
2800,0.0,0.0,12624302.87794498
2900,0.0,0.0,13143759.86972446
3000,0.0,0.0,13947505.612868903
3100,0.0,0.0,14714321.01412345
3200,0.0,0.0,15312483.383229945
3300,0.0,0.0,15589620.208836805
3400,0.0,0.0,16441090.147736851
3500,0.0,0.0,17897461.773605444
3600,0.0,0.0,18956038.023150817
3700,0.0,0.0,19305510.657571483
3800,0.0,0.0,20982971.11566753
3900,0.0,0.0,21191921.44575295
4000,0.0,0.0,23106574.651766475
4100,0.0,0.0,24267094.10252074
4200,0.0,0.0,25182525.990788616
4300,0.0,0.0,26703334.705081988
4400,0.0,0.0,28420938.393092327
4500,0.0,0.0,29813986.37340796
4600,0.0,0.0,31418116.709805306
4700,0.0,0.0,32197049.762041297
4800,0.0,0.0,34348861.99975718
4900,0.0,0.0,36184817.93581586
5000,0.0,0.0,37706698.34597204
