miliseconds,Cm,Ct,T
0,0.0,0.0,2520565.06457995
100,0.0,0.0,3351753.0224624365
200,0.0,0.0,3675739.342383795
300,0.0,0.0,3907004.317179668
400,0.0,0.0,3611637.1630147616
500,0.0,0.0,3836773.831037313
600,0.0,0.0,4229720.407987385
700,0.0,0.0,4110933.2732560574
800,0.0,0.0,4181239.259571503
900,0.0,0.0,4814927.91515264
1000,0.0,0.0,4696155.334587121
1100,0.0,0.0,5603098.234811104
1200,0.0,0.0,5577032.016948978
1300,0.0,0.0,6191840.08806406
1400,0.0,0.0,5686249.181249994
1500,0.0,0.0,6489450.258106332
1600,0.0,0.0,6950026.386669446
1700,0.0,0.0,7356698.964182535
1800,0.0,0.0,7736244.161143628
1900,0.0,0.0,8051834.131649009
2000,0.0,0.0,8051696.194259503
2100,0.0,0.0,8659115.564864881
2200,0.0,0.0,9029762.03352051
2300,0.0,0.0,10083006.548582202
2400,0.0,0.0,9727292.419378046
2500,0.0,0.0,10998023.56004376
2600,0.0,0.0,11298756.972797511
2700,0.0,0.0,11463901.326946154
2800,0.0,0.0,12875533.601825692
2900,0.0,0.0,12648395.799079953
3000,0.0,0.0,13746686.44697761
3100,0.0,0.0,14915097.011506323
3200,0.0,0.0,15397769.995475624
3300,0.0,0.0,15538320.744960394
3400,0.0,0.0,16457562.47896636
3500,0.0,0.0,17209582.219152905
3600,0.0,0.0,18903024.412340775
3700,0.0,0.0,19446116.134236913
3800,0.0,0.0,20392351.112479903
3900,0.0,0.0,21374265.506413955
4000,0.0,0.0,22489087.31822138
4100,0.0,0.0,23904331.26923063
4200,0.0,0.0,24767868.26540283
4300,0.0,0.0,26607968.219032414
4400,0.0,0.0,28274537.671334863
4500,0.0,0.0,29262665.039541576
4600,0.0,0.0,31158214.872938722
4700,0.0,0.0,32609604.454932798
4800,0.0,0.0,34059902.544097565
4900,0.0,0.0,36139328.75360344
5000,0.0,0.0,38317794.93139227
