miliseconds,HETE,PGH2,PGE2,PGF2a,PGD2,PGJ2,dPGJ2,AA,LPS,DG,GPCho,dPGD2
0,-0.08786105250330371,-0.09639807947210538,-0.1434304516789645,0.003760764559764562,-1.4076484014311421,0.22016430529664618,0.006461616459558242,23.101964664607873,0.5,-2.3592443405330578e-17,0.9982457753295211,0.08079718621777159
100,-0.032004215819923326,0.34318574552771297,0.15309699745935346,0.020755837094328034,1.1942572550123918,-0.08813252415306422,0.003514441377559399,31.21856877607043,0.5,-1.6565287387023114e-16,0.9969035389245705,-0.0635933157280901
200,0.023844863271064783,0.6879565684817128,0.1802631971381124,-0.01145794349671114,-1.2672950486195262,-0.19293650249094704,-0.007810792654384913,35.46017374714497,0.5,-1.7940601369720035e-16,0.9845219918940075,0.014858053521980991
300,0.10431703709406367,1.268736486786217,0.034311819548477694,-0.020671647087264454,1.8824034342442582,0.0016808066010464964,0.0012305012000361605,52.247456820449806,0.5,-3.4106526858266914e-16,0.9743072489689405,-0.046000398033465534
400,0.0892321407825466,2.040013001044405,0.08124542611555435,-0.01711818748317765,0.7357094266869918,0.24600537436600173,0.01046792954169578,75.52827321874861,0.5,-4.836675205975002e-16,0.9540717102384708,-0.0054510520367087156
500,0.18385846985954843,3.3757031680814467,0.0046593644650388955,0.01013472899044645,2.541739901673131,0.03764539226538165,0.008391374159113549,108.87309654805637,0.5,-5.161311820685236e-16,0.9372484652899817,0.08769537914743604
600,0.25537153011470537,4.957645156870887,0.34757605562332783,0.027565152815265434,0.9010234012303386,0.05898051393454394,0.003901816423877655,137.51224622743533,0.5,-6.181701005941806e-16,0.9091091240515666,0.028484686359085645
700,0.3145289635616294,6.280341943042803,0.4468764566808954,0.08660302733117539,5.765616677056919,0.1996077524911617,0.010699680181933001,170.43381234410995,0.5,-6.924561302630232e-16,0.8920241484876265,0.13915006568543817
800,0.5237029357702983,7.780348657507357,0.48859088691261343,0.10893329077106204,6.00162059183816,-0.07750282390757451,0.011727938862872824,191.2043234613598,0.5,-8.561576295509103e-16,0.8656875361518073,-0.047700508970833264
900,0.5716530488942773,9.202786423250634,0.8080532632233666,0.14574284810938262,10.038548985883926,0.23113120067566384,0.0060743129422310745,218.75615116550696,0.5,-1.0618048997837233e-15,0.8517364083332217,0.0005581615650836341
1000,0.7187051843044651,10.480691824573688,0.7193900233666619,0.2836627700780979,11.28049188590473,0.2663129595632329,0.0010737722919757359,237.66348432601842,0.5,-1.0957431729376454e-15,0.8331767028240367,0.15257521610390684
1100,0.8377044295231317,11.824680728917926,0.9678496115792411,0.3470261827873444,18.096448294791305,0.5178522672483972,-0.007766467235399263,252.80433823481383,0.5,-1.147852231733124e-15,0.816193914912963,0.21321026570297558
1200,1.1512303688213603,12.484303602035457,1.3154802545084725,0.4422237655228101,18.118586716914376,0.37330047918627596,-0.0007239371603232118,272.2656920965539,0.5,-1.3513454279627217e-15,0.8034186720267907,0.1827467658112732
1300,1.1676971217063936,13.471003448685838,1.6751948662382246,0.4876466254559002,22.868095938312948,0.4274369628903016,0.000820145250439793,282.27967960858837,0.5,-1.4095638102278819e-15,0.790050637081288,0.2390030201353281
1400,1.442209155372104,13.83418314170451,1.8799198571192441,0.5140032674651234,28.122102404705448,0.36580065074416,0.015210261057926657,295.1330358156355,0.5,-1.5304352145024433e-15,0.7781772742745573,0.4018921823106193
1500,1.5848935190513878,14.273468121517714,2.037517549348932,0.640019975937305,33.62785180462255,0.8105766840569737,-0.0029631069370693406,295.78810125260634,0.5,-1.6810507874640384e-15,0.7741348694504627,0.33104421510876136
1600,1.835726439966064,14.428906475128146,2.3685642670854823,0.7281461327071288,36.39424916759662,1.039306747231552,0.01832037451882382,303.7537742135148,0.5,-1.8154297235538634e-15,0.7597540099509745,0.5650125613257413
