miliseconds,s1,s2,s16,s22,s23,s24,s25,s26,s27,s28,s39,s40,s41,s42,s65,s29,s30,s31,s32,s62,s36,s45
0,0.00967949999109408,0.006351438886641183,0.009994888099878828,0.010092532978116197,0.010060854652169696,0.009980728959338846,0.00993874739212486,0.010125705313798182,0.010089822640116377,0.01002673413761332,0.009999480049795112,0.011784847820033563,0.008527037870910387,0.011528274417864734,0.009981492154893338,0.010034371320851582,0.01004111557154763,0.009948089733096906,0.009987354260803709,0.010022188729430516,0.009991534505587214,0.01005723494998601
100,0.036114271169815325,0.027576432519542383,0.009110716068903435,0.014913368233577109,0.0014399468176775597,0.007972950773652607,0.008833518515653446,0.0027585355446632046,0.0034002424075395806,0.014155525264975067,0.010023818377763095,0.014180123862288127,0.014317356100205316,0.013558002594910738,0.0077429680101967265,8.638731515858014e-05,0.03407982019672954,0.00013089493250958257,0.00013815489451545073,0.014034842226279019,0.01083855342059212,0.00497585232290387
200,0.04383326817230445,0.03551807148795445,0.008214556575912134,0.01743139323180466,0.0009688371032252348,0.004643232574869862,0.005519523092407122,0.0035767124464424005,0.0036667085919898537,0.009949255986300287,0.010037470374413113,0.016943103774620095,0.021356020197328032,0.020919819031268532,0.0060795959256462265,0.00011367457498270345,0.03228437284101172,2.3849653357567492e-05,-5.931112005451715e-06,0.015538662708785225,0.011714838665031826,0.0025488535484918667
300,0.051414685264810286,0.07298696401423896,0.0075775452205230735,0.01891608954195912,0.0006012505777046122,0.002380419957131366,0.0030189263828620753,0.0045975311589165095,0.00496196776793739,0.006985357936725018,0.01005035995880348,0.021021842366762897,0.024160972081845446,0.025223666840157564,0.004818573295025961,3.3155504848419935e-05,0.030468094058075525,-2.7952067985102634e-05,-1.3454394434300838e-05,0.01613075579222057,0.012284888065234643,0.0013525980535003875
400,0.05698751423925054,0.09328465113379163,0.007167185663166828,0.01964534293532847,0.0004764490173402941,0.0010930616307962516,0.001341303370142048,0.005418050068056287,0.006914901026681254,0.005145498394389383,0.010054611992410145,0.02302799859857988,0.031957482066068146,0.02843727196396419,0.004306533634596116,8.500173680938355e-06,0.02610075940297845,-1.5777319534775065e-05,5.424430417960846e-05,0.016364157056805054,0.012547690402233651,0.000745953179884766
500,0.060078652596612374,0.10701537387953103,0.0069941338721027915,0.019950459117888182,0.00036135787632108897,0.0005702612479469777,0.0004993838550614051,0.006385277618419157,0.008649891031969933,0.0035344619765744927,0.010057914098016736,0.02922184676144443,0.03401185157430113,0.029221917957314936,0.004059191368658015,-1.9800624614523562e-06,0.022370235280625584,4.747036459733566e-05,7.24249467198446e-05,0.01636481404901183,0.012605441242537376,0.00047946699068899417
600,0.06269571576065712,0.12676266451216023,0.006812948353470518,0.020126012808848168,0.0003259774589953675,0.00039453740626284035,0.0003504765079455007,0.006984066137126567,0.009508178252836686,0.0025401350477725344,0.010062539130805147,0.033847064313746095,0.036657835023948884,0.0336581125910014,0.00422719308919405,-2.037649351700883e-06,0.01849899881900848,3.111695756453801e-05,6.389393809366576e-05,0.016409122776652112,0.012613260866386249,0.00028556252905416447
700,0.06492412016368701,0.1468177690134091,0.006799835816544917,0.020433062573177462,0.0002523814587677267,0.000287689411546954,0.0002714906066678535,0.00767660681174579,0.009923601745006772,0.0019824769635377383,0.010064887493243727,0.03437660078061614,0.04183827606787622,0.04034460743800192,0.0042655751903066365,3.406089010636211e-05,0.015035726091983443,2.7280023577655707e-05,-2.577382393205952e-05,0.016411922893285854,0.012600952557798003,0.00022964781911219065
800,0.06589084569982104,0.17819312185106467,0.006683086286192313,0.02065408083396515,0.0002297317676932784,0.00028915667389075396,0.00015468256185902058,0.008114052004749904,0.009415649206952946,0.0013532640982496507,0.010067881583115758,0.04237286998160347,0.04745688534396062,0.042873894458532305,0.004521063854797149,-2.9770683125665777e-05,0.011885925292491632,3.356123699591794e-05,4.262062751398986e-05,0.01642283518146494,0.012523304242244524,0.00019584802229792461
900,0.06520243164038413,0.20007341716346597,0.006681019706545012,0.02072939681089002,0.0002923730382041013,0.00034545313345694495,0.00017739447468674796,0.008717453902128042,0.008517116770787135,0.0010706047882930053,0.010066394368598824,0.04727742701582172,0.04880523928943679,0.04506833300178337,0.004866064106971594,7.267875040590968e-05,0.009331879052690936,1.4744767258118059e-06,2.4858280724427487e-05,0.01631376196147884,0.012461154806405058,0.00022425439026047312
