miliseconds,s1,s2,s16,s22,s23,s24,s25,s26,s27,s28,s39,s40,s41,s42,s65,s29,s30,s31,s32,s62,s36,s45
0,0.010534036984968756,-0.00514166605243776,0.009963178514210769,0.009985288542971916,0.010000468908549399,0.010040643015231138,0.009972036760119702,0.009967232076868187,0.010074597721902771,0.01001290224491442,0.009999689798959946,0.011049511197256985,0.00826814474625521,0.01023664486668702,0.009915764024272774,0.009978500058280614,0.009695477403550557,0.009953237421544511,0.009998718449720199,0.009990208032732425,0.010042145109274033,0.009986766993041447
100,0.03597909502271708,0.03910639373355941,0.009174159576891336,0.015046798698944088,0.0014820090169908534,0.0080397964756666,0.008704911165173601,0.002859357141183237,0.003408103202240155,0.014057818018020168,0.01002166336992141,0.012340760791807697,0.01671433883366835,0.014999120051086962,0.007549727766157136,5.870110156547611e-05,0.03376945751359014,0.000124691229034728,9.491263477175927e-05,0.014094071008361077,0.010804158835568976,0.004950362486389873
200,0.0442753962774352,0.061242648028048734,0.008159174669101004,0.01765292405359062,0.0008960728198632797,0.004666596890786827,0.005541449376964148,0.0035586521683463484,0.0035619154455794836,0.009914656600068145,0.010038367679408149,0.018351725430926346,0.018071049491155716,0.017715948929644683,0.005925735957588114,0.0001536750297854754,0.032406386408936574,5.1795302486285065e-05,6.577835047286735e-05,0.015506597778998033,0.011700281268613878,0.0025936419892370094
300,0.05070554777331552,0.0629071821704064,0.007575828793961862,0.01881832890693998,0.0005766169678961243,0.0025268336092929312,0.0030479949074518897,0.004491907962630687,0.005063232337395939,0.006945749239360361,0.010048567271406949,0.022718724965237896,0.024232206451878083,0.023271406262487953,0.005037124248307893,9.175397063380442e-05,0.029636597481836127,-2.350064186487912e-05,-2.115559197723184e-06,0.01611390705266015,0.012249000635709145,0.0014024224111611147
400,0.05713082292354724,0.0841331359451822,0.007150761830276177,0.019620149034557124,0.00044127369267073094,0.0011002228497512842,0.0013261198404555393,0.0056042909606307985,0.006888962065206606,0.0050869703984550395,0.010054890456216284,0.02471566132450737,0.030833295224866795,0.027712585041910837,0.004533158047590689,0.00011940396877067991,0.026805032071511897,5.5640388925762245e-05,6.170815756065274e-05,0.016346155129070457,0.012502843060811826,0.000833193864775025
500,0.06077099015768029,0.12069516202197496,0.006980142911095193,0.01984746108888789,0.0003006679172592574,0.000566127535372449,0.0006390592172995474,0.0063571977649670534,0.008449261786868384,0.0037236181565524227,0.010059358123225256,0.026252460456106512,0.036704400225848144,0.029932176395067487,0.003987582310071016,2.9104867258553503e-07,0.022432414495468407,-7.647947625564993e-06,5.343559825336512e-05,0.01638662131422264,0.012615507833031345,0.00044690412773233104
600,0.0633349257241823,0.12994482816699976,0.006852659484088946,0.02010403024400925,0.00032872881065032733,0.00035644477038796255,0.0003170059531665775,0.007055494101675415,0.009685918804353051,0.002485916665777598,0.01006367567744164,0.031832631910374325,0.03972229394538211,0.034658709213111524,0.004216285876229039,-4.568716173316751e-06,0.01837982534106971,-4.786467246505555e-06,7.410827351822496e-05,0.01638396023439,0.01265884857008514,0.0002753790062255146
700,0.06445586289189277,0.15975444801647642,0.006748840014778426,0.020388734691722168,0.0002674124296188051,0.00027185431002083044,0.000313040222597032,0.007628935244608458,0.009802299974308573,0.0019285660234687634,0.010063273165437153,0.03885183883270725,0.04331240613489591,0.040615830631450384,0.004396255246001828,-2.7476358572360788e-06,0.014632897358757372,-2.8006340128284345e-05,4.723585349835374e-05,0.016400858947064483,0.01262074099833347,0.0002395547909210683
800,0.06481252033330288,0.1658042890441666,0.006748429552823323,0.02066810098584314,0.0003213876010578111,0.00023735643260283765,0.0002851961023138208,0.008131109953437486,0.009508665698957234,0.0014251585022473836,0.01006751328478801,0.04010997075020024,0.048791913023769395,0.04307419434386018,0.004637084549375675,-3.81959833817012e-05,0.011518227088291247,3.190458404811784e-05,-1.0411682741578658e-05,0.016426784362506518,0.012576429673591115,0.0001248409671336556
900,0.0656904541059195,0.19974462166039303,0.006666258578606092,0.02058366141318831,0.00020013076057750906,0.00033298610951124834,0.000308732333038362,0.008479783130937831,0.008627768932565899,0.0010276153563050596,0.010068465270197825,0.04463740877031413,0.05321096710923252,0.04873574479195953,0.0049478809833655235,2.080485963959452e-05,0.009457083413288657,-1.0914193461505634e-05,3.682612708461486e-05,0.016330943241810433,0.01248594467999529,0.00015335920157411986
1000,0.06511783395532927,0.21208673516557974,0.006665629344767771,0.02067793440029445,0.00022670565425114944,0.000376074240320665,0.00017742294099378826,0.008840138424065478,0.007778688661487769,0.0008632497839222127,0.010068630817671701,0.04924013601909357,0.055884734678705444,0.05314595107376103,0.0053902242714867375,-3.77425425922909e-05,0.0079944682069285,2.0377948025207218e-05,6.98591948691016e-05,0.016343840333624668,0.012462070416441021,0.00016872305349457803
1100,0.06375910832383298,0.23482213443029304,0.006598450506778173,0.020807259146395057,0.00033157481392238355,0.0004866611475902838,0.0002537729453988898,0.009086407314400467,0.006588525425747926,0.0006001069987635753,0.01006916854882153,0.05196943375002143,0.061011480722868466,0.0552495307653107,0.005984905293013506,5.4223633236749616e-05,0.006387284836343671,-4.828390466462297e-05,3.617737679335485e-05,0.016281368678973823,0.012340024056132938,0.00022943163724985474
1200,0.06291284644002125,0.2507035505709084,0.006618331025050483,0.020992349732420233,0.0004146359714220208,0.00039109761707264203,0.0002690033764057131,0.0091354537407883,0.005679786980921215,0.00046962965332915347,0.010071377510506031,0.054554134747586545,0.06369269598810837,0.05779205687799185,0.006485103323721791,8.123760890142801e-05,0.005969392238335274,2.2181044359289757e-05,7.442275799432153e-05,0.01627603337936924,0.012246249062856596,0.0001904228358745678
1300,0.06231334621949602,0.2757280920839711,0.006595436225446797,0.021045916973264828,0.00045934363069103116,0.0005632914112985566,0.0003499496272692468,0.00910479249844176,0.004819601358487448,0.0006510019515086802,0.010072529902063795,0.06030218230358837,0.06787036697303134,0.06368541432635333,0.006769848830601165,7.788936399656931e-05,0.0051665447360315165,2.9220865191257276e-05,3.139888929652629e-05,0.016243920766486793,0.012229363544144745,0.0001134701567692754
1400,0.060639785022105486,0.29202888446027936,0.006507486049558697,0.02123716177722368,0.00040185328518949016,0.0005116549481060891,0.0004142284761445952,0.009066386600549847,0.004240590046027938,0.00046909847366467285,0.010072850786680878,0.06308405643146581,0.07312158248686901,0.069177783219246,0.007472360487197063,4.354107954355142e-05,0.004454029247499204,-2.1773543861904307e-05,-9.413093815900286e-07,0.01621522721432429,0.012119477386543962,0.000180827720910311
1500,0.05890902664729106,0.31951521065219474,0.006521167584984755,0.021369714658973,0.0005106520657623556,0.0006758654785866601,0.0004795101669380629,0.008910159941143749,0.003487494865675819,0.0003529826575175281,0.010072348076123217,0.06674242722626893,0.07633232100326441,0.07244207278750123,0.007984704139402228,-5.863249334595438e-05,0.0036354151406816975,7.292772353681731e-05,9.150856692209958e-05,0.016194611552040675,0.012071201431814421,0.0001880886303365196
1600,0.05795052073683195,0.3417174060235475,0.0064740092235086935,0.021489862735454016,0.0006030202097664923,0.0007178394839848934,0.00044502068129250604,0.00871212820648163,0.0030136413749930644,0.0003253679026102274,0.01007305173839002,0.07045734708686792,0.07850382290167293,0.07289784932385983,0.008352487450179288,6.284412389746534e-05,0.00321764049886229,-1.0291763389492259e-05,-1.6996035031424428e-05,0.016136163927985673,0.011983198197205416,0.00015969409635439882
