milliseconds,M,MpY,MpT,Mpp,MEK,MKP3,MpY_MEK,MpT_MEK,M_MEK_Y,M_MEK_T,Mpp_MKP3,MpY_MKP3,MpT_MKP3_Y,MpT_MKP3_T,M_MKP3_T,M_MKP3_Y
0,800.0,0.0,0.0,0.0,180.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,611.1640950552044,1.1781961958296374,0.08957297523821726,1.4135075583976487e-05,9.749208751269292,82.68266961367362,0.026033835897622287,0.00038665380595550046,14.396433276708843,155.8279374824979,1.579714470609884e-06,0.041831677904741446,0.0032151319511461076,0.003168350519086542,6.561888367916884,10.70722527836093
200,592.7784426382004,2.536568202839945,0.19635873239318755,5.68372549178562e-05,5.923190019590338,69.58823639469755,0.05335983220074318,0.0007824899701217709,13.54428025283605,160.47838740558734,1.2137389247871493e-05,0.16775437109075642,0.013219220166724782,0.01281178929496474,11.502200937571905,18.715765149828922
300,580.7621062609486,3.7298095519039522,0.296974960503166,0.0001307885120576595,5.8799408270672435,58.909080738400256,0.09231266624034508,0.001355319353698424,12.555129044171311,161.4712621433522,3.549473737698001e-05,0.33174172372478,0.026968676036384153,0.02568625274773392,15.521450018593688,25.185037095799842
400,570.897040864608,4.798619657690474,0.39481737181460363,0.00025057669634320165,5.944921513677932,50.145806960731676,0.143695077820525,0.002128156524736878,11.7336403406357,162.17561491152586,7.482748004363942e-05,0.5020064287719395,0.042260173214861814,0.0395428188041453,18.81962498087087,30.450683810166684
500,562.6608250511146,5.779549860372719,0.49230396008246474,0.000429518488566107,6.004251558051643,42.92885683560707,0.2053131393659044,0.003078041530162444,11.058508612584319,162.72884864865276,0.00013307447719039308,0.661513822201873,0.057787237845987084,0.05311499642117379,21.542133272543644,34.756460760943476
600,555.7339882305104,6.697766489377025,0.590823795771954,0.0006795103377933352,6.0555336038242995,36.96772442577379,0.2753096199843223,0.004186003469847948,10.503736679684526,163.1612340932218,0.00021216406510641482,0.8020385785804528,0.0727832979500918,0.06571737493130941,23.8012743314301,38.29024982731027
700,549.8686938627283,7.570585756662437,0.6911276241203999,0.001011633156627827,6.0998572127719175,32.03156166749726,0.3522306356136929,0.005437624193064482,10.047707762983212,163.49476676462288,0.00031292986084285646,0.9204863239457752,0.08681367126378772,0.07701221858686141,25.684948716685582,41.19886447220138
800,544.8686990123218,8.410038195147546,0.7935689131516422,0.0014363633764366457,6.138301837524489,27.935440650077965,0.4349273550678494,0.006821393140111429,9.672669880948012,163.74727953350435,0.0004353228480497993,1.0166948501139372,0.09965400628277868,0.08687341964899181,27.26266256487061,43.59823918620303
900,540.5771984460293,9.2245421125781,0.898249589300321,0.001963580659030411,6.17175488862014,24.530198843551233,0.5224778345318528,0.008327551335915766,9.364061209252329,163.93337851644455,0.0005786979741583291,1.0921144844724753,0.1112163121204869,0.09530450530197355,28.58984734937057,45.580739807254204
