miliseconds,C_m,C_e,H_m,H_e,L,Inflam,B,D
0,10.000059677061126,9.998990792452137,9.999823600732402,9.989049948728635,1599.9974047976968,140.01585038449673,300.01377483468514,0.0
100,9.999896755192973,10.000013017473373,9.99915710331026,10.014409600914147,1600.0069953852628,140.16897627248846,300.012702127264,0.0
200,9.999843717195283,10.001883514784094,9.998320893990956,10.096390903962352,1600.0115616613375,140.34074313098276,300.05174976533016,0.0
300,9.99974298563633,10.003324348517362,9.998220381672295,10.131284566904881,1600.0208476385478,140.51778188225708,300.08891829010304,0.0
400,9.999661360024248,10.002644947312191,9.997014727247564,10.18662800862939,1600.0323294970583,140.59520075963934,300.0906780606245,0.0
500,9.999676063701818,10.004011857078932,9.996054632960732,10.180602932995386,1600.0449008799596,140.71736918563212,300.12797449882066,0.0
600,9.999552104357056,10.006162489321248,9.995205394482998,10.24317883057726,1600.0489088884317,140.82712621766188,300.14522151291436,0.0
700,9.999469435519087,10.005979686020682,9.994561906074225,10.296418480078858,1600.0608901731496,140.91473198211412,300.16435333909357,0.0
800,9.999388526886163,10.00677452246392,9.994610588599212,10.350703350028889,1600.0637506120731,140.99882367873235,300.2074231123538,0.0
900,9.999254135209199,10.008868049687782,9.99354153860158,10.372956722807631,1600.0672846869663,141.05238648185838,300.2289715237408,0.0
1000,9.99920911090247,10.008646211789094,9.99299429569824,10.414898989646755,1600.0778815590875,141.10395032822265,300.2296272983594,0.0
1100,9.999125568521027,10.0104612085247,9.992368062760802,10.434472695688642,1600.0901861527705,141.1933811442776,300.2811091100081,0.0
1200,9.999107902357208,10.011872382992172,9.990988034668213,10.492354633100444,1600.097884030379,141.2041764771469,300.30376201629446,0.0
1300,9.999002185084116,10.012206235184475,9.990152175689975,10.558342081437345,1600.1080007418943,141.2859867384129,300.32237092008984,0.0
1400,9.998881622025944,10.014077283757272,9.989933563589622,10.61798671147946,1600.1084576882308,141.32961338688716,300.3425107975694,0.0
1500,9.998835346225075,10.014383020107775,9.98961116213661,10.623919825578472,1600.1185083840187,141.33829884786968,300.3509324865383,0.0
1600,9.99873769359432,10.015796181787154,9.988689919088044,10.65369315310038,1600.1314317274012,141.36508270051758,300.38057563147373,0.0
1700,9.998637556774229,10.016914785067597,9.988219318629758,10.702322020385802,1600.139905483002,141.43443448380302,300.4126591022128,0.0
1800,9.998532782490118,10.017622358151607,9.987219129983673,10.777048957119403,1600.1448856494212,141.46609445437477,300.4376884247454,0.0
1900,9.998465746238374,10.018917171019842,9.986707811422267,10.81490308562058,1600.1540134866104,141.48263227771125,300.4555351865876,0.0
2000,9.998360084822009,10.021974805358905,9.985301283303897,10.81321251147003,1600.1587514383862,141.53046660470844,300.4816610859655,0.0
2100,9.998307693607456,10.022664558007289,9.98527193970924,10.86292227674022,1600.1656807187608,141.54066756353404,300.5207796666094,0.0
2200,9.99830926835122,10.024103357020637,9.983689398344787,10.952278504953092,1600.1796350978716,141.58218769241117,300.5357957726456,0.0
2300,9.998109046711953,10.024181343058862,9.983557049120856,10.958287956451471,1600.1834867067773,141.57939580491635,300.5727747147145,0.0
2400,9.998066152403302,10.026221792893704,9.98281747142857,11.038891602010182,1600.195057609874,141.6009376152079,300.56770850330145,0.0
2500,9.99799534361589,10.02701463856277,9.981908127243335,11.054037395713415,1600.1989188517864,141.6477056844825,300.61350942795747,0.0
2600,9.997923066871266,10.028351814406028,9.98132608493739,11.075759691727468,1600.2108190117958,141.66243347261212,300.6380525936604,0.0
2700,9.997793552408737,10.031246811353236,9.980761773763536,11.14752793279015,1600.2101388152912,141.6731544931177,300.6634191919963,0.0
2800,9.99780796207943,10.032299688425523,9.979675397332159,11.16994110553542,1600.2259668018232,141.7025383990424,300.66823496484824,0.0
2900,9.997656054886182,10.033912656424858,9.978712424442675,11.233415651129766,1600.2353374189324,141.71398958505057,300.7184295162122,0.0
3000,9.997591761937704,10.035198668211674,9.978334127629317,11.27456833743431,1600.2420216088206,141.76236408204593,300.74050230098885,0.0
3100,9.997518599063703,10.03551837732524,9.977708417867111,11.281565652958404,1600.2423533912117,141.75807800967226,300.7529334895707,0.0
3200,9.997405805071192,10.037198978058253,9.977070902569807,11.331792683482604,1600.2577049073416,141.79231110052197,300.76924218189083,0.0
3300,9.997294804638264,10.039291937087903,9.975675718045775,11.404325798915075,1600.2639781004762,141.81825862239322,300.804752239082,0.0
3400,9.99720208695433,10.041257683070011,9.975837571552715,11.438573576567077,1600.2753541793386,141.82629178472325,300.8400476209098,0.0
3500,9.997092454483342,10.042856037624656,9.974495965945664,11.452823919774778,1600.285146777682,141.83637943381035,300.8589942514537,0.0
3600,9.997094538867387,10.043418796614818,9.973691978614749,11.530469458348376,1600.2900164402765,141.83121811671157,300.86108689686046,0.0
3700,9.997009520340088,10.045355601695578,9.972801358372548,11.573947131072437,1600.2944293766311,141.85622213212181,300.90800892134905,0.0
3800,9.996919771144226,10.046744208313179,9.972403027992527,11.621724862094231,1600.3045796222975,141.86928770757203,300.92293647745225,0.0
3900,9.99684524451982,10.048498376226798,9.97200999066645,11.65628450368154,1600.3121842619607,141.90027908030413,300.9601237407074,0.0
4000,9.996654404446414,10.051549750753471,9.970515532192463,11.671117710555917,1600.3152327725427,141.95447828103931,300.96142425403366,0.0
4100,9.996653637757717,10.052697357409489,9.970000266455092,11.758770912132567,1600.331318375528,141.96933154905372,300.9884166020356,0.0
4200,9.996538140415792,10.05553505838178,9.969942091725281,11.752121876238986,1600.3402566169073,141.99500865391386,301.02039475072866,0.0
4300,9.996451513996716,10.05599534499004,9.969227385684515,11.808458450660101,1600.3414662455205,141.98175704056166,301.0526904829523,0.0
4400,9.996286152340161,10.058954039113196,9.968268868486073,11.885963401117001,1600.3474112166361,141.99578171086276,301.071970360296,0.0
4500,9.996306858500745,10.059494425388321,9.967081913429436,11.922153110990692,1600.3612886625297,142.04424219094696,301.09905076527855,0.0
4600,9.996134611968904,10.06193190298715,9.966591387552635,11.94799288202057,1600.3654130139728,142.03742646048352,301.13146468889204,0.0
4700,9.996071651392198,10.062560576370679,9.96558946222716,11.981160729760637,1600.3702069868789,142.04948293993533,301.13273118220053,0.0
4800,9.995925736045978,10.065485302770528,9.96548482441155,12.010220942608672,1600.3805804471865,142.08085371906142,301.14563553127965,0.0
4900,9.9959271307835,10.068131006906716,9.964303360136809,12.038458120307112,1600.3926928110332,142.08958679401826,301.2027603527956,0.0
5000,9.995771320425638,10.068246200547453,9.963899956452563,12.131776085180654,1600.3990650958524,142.12361351871718,301.1988865639684,0.0
