miliseconds,C_m,C_e,H_m,H_e,L,Inflam,B,D
0,9.999983506667242,9.999716820393395,9.999619480193228,10.000286340314533,1599.9971442196793,139.97990204289013,299.98825511680275,0.0
100,9.999962289843184,10.00094702354601,9.999371889506468,10.050869803314384,1600.0089040960688,140.17032808749067,300.03423448536654,0.0
200,9.999801374629762,10.00061923090554,9.998225132544157,10.091095788550243,1600.0188650046148,140.3276780782962,300.06185393018643,0.0
300,9.999763514330034,10.001916579914113,9.997737703872385,10.142440584523609,1600.0296304617177,140.49600332762643,300.0614674281491,0.0
400,9.999723034132025,10.002713242811499,9.997397629679039,10.177676545428861,1600.0278424996288,140.62831952715817,300.1132702395576,0.0
500,9.999632423366615,10.003472788028187,9.99663510864133,10.18620731140404,1600.034595607476,140.7302522201945,300.11412667859184,0.0
600,9.999504819508298,10.004260043564996,9.995211726149337,10.24061718582746,1600.043673490758,140.81412638748492,300.16032151441493,0.0
700,9.999454762155374,10.007257354145265,9.995333936847116,10.322250659465052,1600.055852355842,140.93262761301673,300.18613852830646,0.0
800,9.999343495646784,10.006930736562392,9.993739298670071,10.306836012172647,1600.06254920042,141.007705743196,300.18670178628946,0.0
900,9.999319012363589,10.008357750980828,9.993740770421681,10.352194543716163,1600.0740960591409,141.06114229617302,300.2084069474054,0.0
1000,9.999283986694179,10.009873539641855,9.992580397953294,10.402167327541747,1600.0758177993694,141.1199515893454,300.25499644126336,0.0
1100,9.999144075545008,10.010147215218002,9.991771424530537,10.474926981518145,1600.0859117807227,141.18821641068232,300.2806159333866,0.0
1200,9.999120689410997,10.010721340845393,9.991379078505133,10.513741568681896,1600.100891973872,141.24921930475847,300.3092330614376,0.0
1300,9.99899304644689,10.013182854408331,9.990251975439751,10.527620312169203,1600.1035422041004,141.2605270132168,300.2991639343149,0.0
1400,9.998897590034764,10.01403028885291,9.989652412667551,10.559099444048138,1600.117565062424,141.32438788705986,300.3311419283565,0.0
1500,9.998806388233955,10.015721130870233,9.988634732992802,10.612864311948318,1600.1190858909285,141.35590758309357,300.37056579665386,0.0
1600,9.998794681411828,10.01563513678816,9.988650233286302,10.696232186800918,1600.1310253101337,141.40998174111226,300.39755369280965,0.0
1700,9.998631281793104,10.017591875872768,9.988055896928389,10.73820571571704,1600.1359851300372,141.42618775363152,300.4209205760942,0.0
1800,9.998610734577944,10.0194769446884,9.986809517095404,10.763351537297275,1600.1464470784833,141.46515039484248,300.4501626217472,0.0
1900,9.99845058467094,10.019025227957147,9.985955567023787,10.802728548115674,1600.1541237851247,141.50858755137793,300.44926528939374,0.0
2000,9.998391143002651,10.020213590850673,9.986016668783483,10.871608114663553,1600.1637083259457,141.53468921545092,300.5007907146698,0.0
2100,9.998345256780238,10.023090057087593,9.985072915408852,10.863754835466835,1600.1627151191851,141.533782802684,300.525001609863,0.0
2200,9.998198390817414,10.023085936788233,9.983919107263016,10.918166736071557,1600.1774650685502,141.55263037021322,300.5337071818399,0.0
2300,9.998157810650827,10.024672079367791,9.983597327966649,10.996623256101374,1600.1865999045913,141.6037841847298,300.553299945601,0.0
2400,9.998131729624394,10.02700857127607,9.982159853066848,11.0357941184956,1600.1957921635203,141.59244794654407,300.5839033074936,0.0
2500,9.998035335713984,10.02682004322012,9.981828223723108,11.039897746214297,1600.1999681459868,141.61858096523778,300.59112230096684,0.0
2600,9.997896242431441,10.02912052212091,9.981126778875296,11.09513915690755,1600.2040355764018,141.65268987487966,300.64641130466475,0.0
2700,9.99789172570027,10.029918805754058,9.980305960178741,11.118230080632273,1600.2171417059415,141.69153507355347,300.6653141490214,0.0
2800,9.997708828820619,10.03306926201266,9.979836071742412,11.18555493723625,1600.2275976278195,141.68018723965582,300.68194341745397,0.0
2900,9.997711771966443,10.033320179351788,9.978810632602709,11.25230655510394,1600.2321815945688,141.72948013618793,300.7143229353746,0.0
3000,9.997551320444446,10.035949409487618,9.978299727878325,11.285498756859836,1600.2361705326066,141.72181565823436,300.71848750325404,0.0
3100,9.997502278340892,10.036172813441956,9.977684578755605,11.31071824041638,1600.2532640861693,141.7836381545489,300.7599476320633,0.0
