milliseconds,CDK1_active,APC_active,Plk1_active
0,0.0,0.0,0.0
100,0.010000000000000004,1.389297197698009e-122,1.7892316469004525e-14
200,0.020000000000000004,1.3948695336536701e-95,1.0440029768612926e-12
300,0.029999999999999995,2.091952090785962e-85,2.0352350873377793e-11
400,0.04,1.511039311242911e-76,2.227812615423803e-10
500,0.05,3.846106332280901e-70,1.6014211164230325e-09
600,0.060000000000000005,1.6353140552377006e-64,8.13212894002566e-09
700,0.07,1.089991894269992e-59,3.220329720473211e-08
800,0.08,1.6413481786443716e-55,1.0603128463137354e-07
900,0.09,7.775797931225352e-52,3.031533642523592e-07
1000,0.1,1.5163380121872103e-48,7.752139095086358e-07
1100,0.11000000000000007,1.4574028614903412e-45,1.8111174774772536e-06
1200,0.12000000000000013,7.532084284681772e-43,3.927090935973176e-06
1300,0.1300000000000002,2.4060214144817987e-40,7.998145687856824e-06
1400,0.14000000000000024,4.93581283151271e-38,1.544328468118592e-05
1500,0.1500000000000003,7.328223196523663e-36,2.8478974059988407e-05
1600,0.16000000000000028,7.383953771157742e-34,5.045689738484498e-05
1700,0.1700000000000003,6.71140177887788e-32,8.630569887232593e-05
1800,0.1800000000000003,3.55678869694122e-30,0.00014309480926126748
1900,0.19000000000000028,1.6914220605179396e-28,0.0002307461932509493
2000,0.2000000000000003,6.59808189282287e-27,0.00036291337281947936
2100,0.21000000000000035,2.1476203026421136e-25,0.0005580542594621067
2200,0.22000000000000045,5.929119130288814e-24,0.0008407191644416484
2300,0.2300000000000005,1.4081798167232633e-22,0.0012430741069412857
2400,0.24000000000000052,3.136062780356681e-21,0.0018066725439935373
2500,0.25000000000000056,5.701865151716124e-20,0.0025844749294638685
2600,0.2600000000000005,9.11559743110005e-19,0.0036431000426034197
2700,0.2700000000000006,1.3761941796236216e-17,0.005065271607248804
2800,0.2800000000000005,3.0893743518130776e-16,0.0069523558082783534
2900,0.29000000000000054,2.85897168604632e-15,0.009426865442956407
3000,0.30000000000000054,2.507438413719131e-14,0.012634775248701524
3100,0.3100000000000005,2.3930788497209476e-13,0.016747161304259354
3200,0.3200000000000005,2.1052450995921157e-12,0.021960950519279415
3300,0.3300000000000005,1.686061972151266e-11,0.028498206670687184
3400,0.3400000000000005,1.2320167599772658e-10,0.03660328591096888
3500,0.3500000000000004,8.4649373658582e-10,0.04653686045353838
3600,0.36000000000000026,5.4959858204901e-09,0.05856679200529811
3700,0.3700000000000001,3.316770637588313e-08,0.07295472046403102
3800,0.38,1.8493078982149433e-07,0.08993836470383051
3900,0.3899999999999999,9.505163427041999e-07,0.10970991215938425
4000,0.3999999999999997,4.496435463194296e-06,0.1323917151890808
4100,0.4099999999999992,1.9546207819195425e-05,0.1580114886494782
4200,0.41999999999999876,7.796251324527794e-05,0.18648017718375268
4300,0.4299999999999983,0.00028490577618706147,0.21757632206654764
4400,0.4399999999999977,0.0009524175020618776,0.25094078628695693
4500,0.4499999999999974,0.0029061655598087515,0.2860848304901862
4600,0.4599999999999971,0.008063672564657613,0.3224127180838598
4700,0.4699999999998462,0.020208843911938845,0.3592575267046278
4800,0.47999999989052716,0.0452813425394777,0.3959262328278462
4900,0.48999996721002126,0.08969118862623202,0.43174812734892176
5000,0.49999672126039696,0.15604436033490263,0.4661194323723865
