milliseconds,FITC_Dextran_three_compartment_model_compartment_1,FITC_Dextran_three_compartment_model_compartment_2,FITC_Dextran_three_compartment_model_compartment_3,FITC_Dextran_nine_compartment_model_compartment_4,FITC_Dextran_nine_compartment_model_compartment_5,FITC_Dextran_nine_compartment_model_compartment_6,FITC_Dextran_nine_compartment_model_compartment_7,FITC_Dextran_nine_compartment_model_compartment_8,FITC_Dextran_nine_compartment_model_compartment_9
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.6769491593706372,0.0030379566890256014,1.2852081224836898e-05,3.1801642884863934e-08,5.736283588804733e-11,8.971424844563535e-14,1.2835638733331139e-16,1.6368349616635032e-19,2.153097767705035e-22
200,1.3478331106975123,0.012064374362155138,0.0001020084044624865,5.047128042935454e-07,1.8174010114909814e-09,5.646893246682469e-12,1.5915206127475525e-14,3.9498118524324645e-17,9.963485864110176e-20
300,2.012706195936061,0.026949682638552387,0.0003415732227912676,2.5344525502943013e-06,1.3686034815894436e-08,6.375545876910004e-11,2.6926157308233503e-13,1.000274027614876e-15,3.772589497118823e-18
400,2.6716222701613654,0.0475664301290546,0.0008032966739132385,7.945509189150806e-06,5.7170131861917686e-08,3.544070534185312e-10,1.9875392822806368e-12,9.772699565489923e-15,4.8603376883635777e-17
500,3.3246347059411727,0.0737892532094715,0.0015566248308598112,1.9241658767717088e-05,1.7301060460334512e-07,1.339745064068512e-09,9.378187919329095e-12,5.747118227705859e-14,3.5558684931011195e-16
600,3.9717963976385793,0.1054948455211831,0.002668748360975296,3.957754762357957e-05,4.269322298330155e-07,3.9659182058203846e-09,3.329892392476065e-11,2.4468126223648203e-13,1.815045021456655e-15
700,4.613159765705986,0.14256192768720702,0.004204650652883155,7.273080966566916e-05,9.151312190075023e-07,9.915159193061221e-09,9.709549907298579e-11,8.318706636293514e-13,7.194216369371015e-15
800,5.248776760927153,0.1848712175400809,0.006227154945363277,0.00012307498813872775,1.7694472089527957e-06,2.190461940159196e-08,2.4507103950513283e-10,2.398058486849197e-12,2.3682206521579912e-14
900,5.878698868625466,0.23230540073676817,0.008796970657263585,0.0001955531407303595,3.1622500280868223e-06,4.402958993077732e-08,5.540472841420187e-10,6.096081404292805e-12,6.769016610172274e-14
1000,6.502977112836292,0.2847491017662366,0.011972738921111996,0.0002956521119472203,5.311055663000883e-06,8.21462977804363e-08,1.1483009948266186e-09,1.4032626528414494e-11,1.7306449776493685e-13
1100,7.121662060438603,0.34208885538495915,0.015811077262307186,0.0004293775085270238,8.482864091585725e-06,1.442930374261313e-07,2.2183128721124908e-09,2.980886618443848e-11,4.04294321058512e-13
1200,7.734803825250601,0.40421307844492144,0.020366623484759892,0.0006032293351708187,1.2998234201521127e-05,2.411465605464247e-07,4.043692419904501e-09,5.926244650686645e-11,8.768219596400368e-13
1300,8.342452072090676,0.47101204209016834,0.025692078818914527,0.000824178236425641,1.923512203718549e-05,3.8650841091837804e-07,7.020187470867797e-09,1.1142934239446831e-10,1.785968976745273e-12
1400,8.944656020799984,0.5423778443616979,0.0318382502531801,0.001099642407856351,2.7632459857740932e-05,5.978226452387922e-07,1.1691548840867727e-08,1.9979270714734184e-10,3.4481542081441344e-12
1500,9.541464450227757,0.6182043831971982,0.03885409207764879,0.0014374651498747465,3.869348919806831e-05,8.967216469654497e-07,1.8786424898509118e-08,3.438604626248549e-10,6.357556009296357e-12
1600,10.132925702182783,0.698387329787053,0.046786746719623164,0.0018458929956364839,5.298887755835556e-05,1.3095947415847077e-06,2.92601288808433e-08,5.710988141539083e-10,1.126123320640914e-11
1700,10.719087685349487,0.7828241023015773,0.05568158484316617,0.002333554432846077,7.115961358290288e-05,1.868178872719938e-06,4.434167043214644e-08,9.192809885409136e-10,1.9257467150065157e-11
1800,11.299997879169435,0.8714138399794614,0.06558224473392495,0.002909439200300614,9.391968971187162e-05,2.610169412059288e-06,6.55860555282335e-08,1.4392785594350652e-09,3.1920481985023583e-11
1900,11.875703337685914,0.9640573776002902,0.07653067092619445,0.003582878190471918,0.00012205856381398682,3.579850122171427e-06,9.493245587082385e-08,2.198386358572674e-09,5.145918946254474e-11
2000,12.446250693355527,1.0606572202980311,0.08856715215981185,0.004363523884384902,0.0001564434300448604,4.82873774111438e-06,1.3476783738290264e-07,3.284192070634886e-09,8.091356286488769e-11
2100,13.011686160826336,1.1611175187191387,0.1017303586610248,0.005261331321590009,0.00019802129956625843,6.416240234608343e-06,1.87996190158361e-07,4.809035402374479e-09,1.2439397033774268e-10
2200,13.572055540680212,1.2653440445479942,0.11605737870468336,0.0062865396361905315,0.00024782088267160285,8.410327866936677e-06,2.5811388360104174e-07,6.915154332345321e-09,1.8737348738728932e-10
2300,14.12740422314327,1.3732441663577086,0.1315837545420931,0.0074496540892757986,0.00030695429967843486,1.0888213646804698e-05,3.492906097910536e-07,9.78050809606742e-09,2.7703590337826714e-10
2400,14.677777191762653,1.484726825802924,0.14834351766365456,0.008761428619679969,0.00037661861503786624,1.3937042309280449e-05,4.6645628666095975e-07,1.362536090236021e-08,4.026893593272626e-10
2500,15.223219027049387,1.5997025141559522,0.16636922339566768,0.01023284891069591,0.00045809719803790956,1.7654586204265906e-05,6.15394044366855e-07,1.871969325573747e-08,5.76255442765251e-10
2600,15.763773910088972,1.7180832491673241,0.18569198487004446,0.011875115939778434,0.0005527609238289389,2.2149946023872663e-05,8.028390497078779e-07,2.5391461872267055e-08,8.128401415386259e-10
2700,16.299485626119527,1.8397825522516684,0.2063415063666763,0.013699630009244566,0.0006620692173940259,2.7544255159789147e-05,1.0365832374311635e-06,3.403576088130704e-08,1.1313954215683705e-09
2800,16.830397568083406,1.964715425937832,0.22834611614799843,0.01571797516379741,0.0007875709734697344,3.397138562678807e-05,1.3255848885255927e-06,4.5124773457633266e-08,1.5554647483834463e-09
2900,17.356552740141655,2.092798331689042,0.2517327985832401,0.017941904148011792,0.0009309053043122584,4.1578655583629024e-05,1.6800850064067088e-06,5.921885701798263e-08,2.1140514239850665e-09
3000,17.877993761153796,2.2239491680658254,0.2765272256171373,0.020383323858651284,0.0010938021328249533,5.0527536470685704e-05,2.111730034007744e-06,7.697876016152142e-08,2.842616301457027e-09
3100,18.39476286812768,2.3580872491829528,0.3027537876789228,0.023054281215781926,0.0012780826581309437,6.0994357884240566e-05,2.6337000371361477e-06,9.917889768428653e-08,3.784204086482779e-09
3200,18.906901919641452,2.4951332834387627,0.33043562407480914,0.025966949417434833,0.0014856597069308637,7.317100888745187e-05,3.260841949121881e-06,1.2672167490006263e-07,4.9907039245923e-09
3300,19.414452399236758,2.6350093525242397,0.3595946528508069,0.029133614586438247,0.001718537969074542,8.726563514562843e-05,4.009807982381936e-06,1.6065291751330214e-07,6.524255622501928e-09
3400,19.917455418780925,2.777638890734047,0.39025160008447163,0.03256666283919738,0.0019788141093146938,0.00010350333116945369,4.899199588106422e-06,2.0217851593812206e-07,8.458819314190523e-09
3500,20.415951721794343,2.9229466646145323,0.42242602854075856,0.03627856782232299,0.0022686767435312364,0.00012212682617205624,5.949717571412621e-06,2.5268247190222903e-07,1.0881939938425622e-08
3600,20.909981686750246,3.070858752876383,0.45613636583150674,0.04028187861008307,0.0025904063143478246,0.00014339716281355774,7.184316996109064e-06,3.137461484842203e-07,1.3896689901275331e-08
3700,21.3995853303456,3.22130252658394,0.49139993205774285,0.04458920797537738,0.0029463748647734524,0.0001675943673980395,8.628367049316403e-06,3.87168834546957e-07,1.762381328148588e-08
3800,21.88480231074295,3.374206629620306,0.528232966937489,0.04921322103076362,0.0033390457121359397,0.0001950181109404547,1.0309815777977817e-05,4.7498965478371237e-07,2.220408321455636e-08
3900,22.36567193078292,3.5295009594306883,0.5666506564156965,0.054166624240359715,0.0037709730234845103,0.00022598836037623517,1.2259359668086496e-05,5.79510873627966e-07,2.780088703994876e-08
4000,22.84223314116775,3.6871166480402655,0.6066671587647637,0.05946215479431044,0.004244801296658676,0.0002608460191029586,1.451061792166072e-05,7.03322624922313e-07,3.460305271589822e-08
4100,23.314524543616116,3.846986043340773,0.648295630188189,0.06511257033442706,0.004763264752173352,0.00029995355606042535,1.710031124068267e-05,8.493290916420743e-07,4.2827929659852555e-08
4200,23.782584393989833,4.009042690640444,0.6915482499388866,0.07113063902047909,0.005329186640688925,0.0003436956226283481,2.006844492832603e-05,1.0207761584277014e-06,5.2724737336988143e-08
4300,24.246450605392454,4.173221314475045,0.7364362449579125,0.07752912993093865,0.005945478469513882,0.0003924796566170595,2.3458496162327496e-05,1.2212805702998671e-06,6.457819715684277e-08
4400,24.70616075124036,4.339457800673757,0.7829699140464861,0.08432080378719248,0.006615139152549533,0.0004467364729306695,2.7317605227345863e-05,1.4548606027901135e-06,7.871245832131762e-08
4500,25.16175206830749,4.50768917866846,0.8311586515934732,0.0915184039841529,0.007341254089207735,0.0005069208408952317,3.169677042667846e-05,1.7259682098425393e-06,9.549531963701286e-08
4600,25.61326145973958,4.677853604082363,0.8810109707941134,0.09913464796949259,0.008126994164303349,0.0005735120455641565,3.665104709397896e-05,2.039522908041105e-06,1.1534280927421262e-07
4700,26.06072549804416,4.849890341540407,0.9325345264669422,0.10718221889531758,0.008975614688749939,0.0006470144352921669,4.223974968284336e-05,2.400947095472333e-06,1.3872407482645825e-07
4800,26.504180428052926,5.023739747730277,0.9857361374173329,0.11567375757623108,0.009890454274559457,0.0007279579534723392,4.852665726047128e-05,2.8162030096449144e-06,1.6616663405092143e-07
4900,26.943662169857642,5.199343254703487,1.040621808368333,0.12462185473761045,0.010874933649554117,0.0008168986543943484,5.558022210427111e-05,3.2918312952225406e-06,1.9826199258499362e-07
5000,27.379206321719636,5.376643353413444,1.097196751465704,0.13403904354754284,0.011932554414825365,0.0009144192028385541,6.347378121769589e-05,3.834991193590001e-06,2.3567164302442488e-07
