milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,8.832588626852508e-15,6.771373953197452e-15,-7.986265115115215e-18,1.3634537204832657e-13,2.2062200785318452e-15
100,-1.2987754195057885e-14,7.510160347639468e-15,4.644406072124973e-17,9.083183915548672e-14,3.042280203442579e-15
200,-3.1479723961264305e-14,7.281542885520041e-15,1.0815782735483212e-16,4.558258263014576e-14,5.106980629925822e-15
300,-5.711955736998645e-14,1.0419864249151986e-14,1.6036506693666827e-16,8.423650853983633e-16,6.77942614850574e-15
400,-7.60162148546258e-14,1.0804918306188248e-14,1.6517943434239044e-16,-1.0863548794079161e-14,5.302679622078865e-15
500,-9.051459884553668e-14,1.3129066857425072e-14,1.4235752692177517e-16,-3.0532291049698144e-14,5.30198049402982e-15
600,-1.039312307563548e-13,1.41420546625624e-14,1.404859526811438e-16,-4.3856962749627255e-14,8.456106202638997e-15
700,-1.1986764631680145e-13,1.5268782694998062e-14,1.2504869107211203e-16,-5.760787677208706e-14,6.825100486607394e-15
800,-1.3965385150567914e-13,1.6514018031512102e-14,1.0122647529339623e-16,-7.019549377754083e-14,6.889842065550714e-15
900,-1.446672784706221e-13,1.838246921398718e-14,9.168381467597656e-17,-8.498955236314908e-14,8.97251515381383e-15
1000,-1.7028520873788146e-13,1.8866583677818846e-14,8.294173485282376e-17,-9.518321028335626e-14,9.424242088965902e-15
1100,-1.7874433070396838e-13,2.067995738314493e-14,6.717163243445168e-17,-1.0678521721662711e-13,9.338476363184795e-15
1200,-1.991465556014578e-13,2.204825360248967e-14,5.093063317569686e-17,-1.1815764622916253e-13,7.417476930556606e-15
1300,-2.032165113631643e-13,2.3658222217779365e-14,3.8298523726317775e-17,-1.3001784858756038e-13,1.0338110748236636e-14
1400,-2.1478150948331687e-13,2.3847389946905086e-14,2.6382964202257787e-17,-1.366208566484843e-13,8.633328596208946e-15
1500,-2.1062582737030646e-13,2.5990581055270045e-14,5.817921854452387e-17,-1.4320775586673466e-13,1.532619398977061e-14
1600,-2.2108362646500338e-13,2.6287090785074667e-14,7.352235211213032e-17,-1.361981307071337e-13,1.4806786422175416e-14
1700,-2.1560631604883666e-13,2.835490630108538e-14,8.49025260740627e-17,-1.3668230747642902e-13,2.165060114668487e-14
1800,-2.1742990738743023e-13,2.842374253223887e-14,1.0004803771100268e-16,-1.434981482090966e-13,2.33927410172028e-14
1900,-2.184090900607309e-13,3.066465305302258e-14,1.1878789054574276e-16,-1.43379645052258e-13,2.918673935056854e-14
2000,-2.242936788569477e-13,3.086635718942172e-14,1.4463122795415087e-16,-1.4490092469438678e-13,3.3493312153185795e-14
2100,-2.1980584816406587e-13,3.143011794842848e-14,1.596763578282057e-16,-1.4357084423138486e-13,3.5482153721730434e-14
2200,-2.2226304230458344e-13,3.253506648862765e-14,1.7566322240079395e-16,-1.424376351762934e-13,3.733998145510874e-14
2300,-2.1982196472322595e-13,3.476241055326881e-14,1.9847138007927477e-16,-1.3968752139079106e-13,4.400290130174262e-14
2400,-2.2506102587787873e-13,3.469383292750484e-14,2.0549868384616252e-16,-1.410869862547239e-13,4.344527227711665e-14
2500,-2.1810115827624627e-13,3.576253078176522e-14,2.2344520311374304e-16,-1.407030957011375e-13,5.1010039678057093e-14
2600,-2.2698700475184935e-13,3.72388328994076e-14,2.484978054793197e-16,-1.4581840939074445e-13,5.223624975036686e-14
2700,-2.1954461522754805e-13,3.834453925682393e-14,2.5813975307297466e-16,-1.4814878448589787e-13,5.524076101884403e-14
2800,-2.1883030659545374e-13,3.9408566137662784e-14,2.8773287962799e-16,-1.4546864142179385e-13,5.880565584644213e-14
2900,-2.2406745168842425e-13,4.029374155505112e-14,3.0280992249244646e-16,-1.4170833738403213e-13,6.095852801344527e-14
3000,-2.3068289265567967e-13,4.2712858871584866e-14,3.214713810626584e-16,-1.4500221271557635e-13,6.523965779405415e-14
3100,-2.2338597236172717e-13,4.0305220077694503e-14,3.083703975731332e-16,-1.50624509087577e-13,6.481637715968546e-14
3200,-2.2590417364650557e-13,4.076827489570139e-14,2.8191143690514574e-16,-1.4180012113475396e-13,6.560687368898897e-14
3300,-2.1730935949571462e-13,3.956056806613071e-14,2.726078487521667e-16,-1.4688205581293547e-13,6.69144732381471e-14
3400,-2.2157785267908702e-13,4.01301673060655e-14,2.532138823197268e-16,-1.4494407214639063e-13,6.191563103485571e-14
3500,-2.1820791656847718e-13,3.965106894416501e-14,2.531765312009217e-16,-1.4046461073763036e-13,6.327561749919057e-14
3600,-2.149241219866929e-13,3.883460023325976e-14,2.2602762566407364e-16,-1.3467762680075289e-13,6.554595828383925e-14
3700,-2.155875590146394e-13,3.8409826331492173e-14,2.1049828248174128e-16,-1.437947383417209e-13,6.242298671862915e-14
3800,-2.1122459361540837e-13,3.75928056681919e-14,2.076254133020343e-16,-1.4152541799573811e-13,6.021435523852914e-14
3900,-2.0639094572826176e-13,3.625313999630555e-14,1.912273993623385e-16,-1.4039600293749448e-13,6.115307691805327e-14
4000,-2.0952705469432776e-13,3.5358701518769706e-14,1.6928862625674687e-16,-1.3297327447557725e-13,6.127441163917803e-14
4100,-2.018736757035031e-13,3.590119417494657e-14,1.576127983352163e-16,-1.3268205862324163e-13,6.09668376384487e-14
4200,-2.1151948206840572e-13,3.3885961016167e-14,1.5390112926463164e-16,-1.2831485850565008e-13,6.008173722190369e-14
4300,-1.9907866694447675e-13,3.429869118579014e-14,1.3985584567542614e-16,-1.3534187240562023e-13,6.189309384058729e-14
4400,-1.96603296320896e-13,3.375935249726429e-14,1.100884331336006e-16,-1.242521746498059e-13,5.838101438710983e-14
4500,-2.0276493351176812e-13,3.18469383993057e-14,1.1214472642171347e-16,-1.3479359376010315e-13,5.898698717835155e-14
4600,-2.010184294425093e-13,3.1973908600051426e-14,9.584539879854033e-17,-1.3193969186770403e-13,6.061267710541932e-14
4700,-1.9714310863823742e-13,3.2106459331733026e-14,7.066175887357192e-17,-1.2949789287187838e-13,6.042724799897144e-14
4800,-1.994123747249458e-13,3.134981027793862e-14,5.804196714305582e-17,-1.2527880013124713e-13,5.790123669807108e-14
4900,-1.905373558149588e-13,2.9961503264987106e-14,4.553741788246761e-17,-1.2000034616047212e-13,5.716880654700384e-14
5000,-1.958882992914524e-13,3.0286300452512596e-14,2.7513814084328283e-17,-1.1712339194043359e-13,5.97359308642107e-14
