milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.8222393816853952e-14,7.029612555347386e-15,-8.35747631663023e-18,1.2876983399349255e-13,-2.146579173753998e-15
100,-1.2618989707961167e-14,6.077939692403389e-15,4.730790894067718e-17,8.392693637565571e-14,2.7911541662575496e-15
200,-3.454598111300354e-14,8.112368028714416e-15,1.0638233603687331e-16,4.344149464612321e-14,4.415446574358875e-15
300,-5.4355790136289323e-14,1.0141894170636006e-14,1.632174772644411e-16,9.060400396824442e-15,6.713923694371822e-15
400,-7.063666456442614e-14,1.0829123677737378e-14,1.5870324980195701e-16,-1.6239114596371414e-14,5.1933410762798715e-15
500,-8.801502548648676e-14,1.310025264680214e-14,1.4994882969610153e-16,-2.763395774931267e-14,5.211023613764005e-15
600,-1.0511669715211319e-13,1.393795965622892e-14,1.3306037431985536e-16,-3.476523409902993e-14,7.49061672956354e-15
700,-1.199559658534935e-13,1.456042958830675e-14,1.1841541952200235e-16,-5.758108125088354e-14,7.48383042439411e-15
800,-1.3850903720153005e-13,1.596357100851279e-14,1.0632865569799352e-16,-6.397175999707473e-14,4.577396900233118e-15
900,-1.5049009059627885e-13,1.785875930644457e-14,8.25662358846621e-17,-7.868912640348768e-14,6.95765201815345e-15
1000,-1.6431023750129575e-13,1.843576430615999e-14,7.326278917379183e-17,-9.326057450582941e-14,5.8234496541204734e-15
1100,-1.825497328822319e-13,1.947052939368961e-14,6.159310593102684e-17,-1.1222411150935812e-13,7.712131666813313e-15
1200,-1.980348919595997e-13,2.1139036563339152e-14,4.2084181549041537e-17,-1.262769073819875e-13,7.477712811194263e-15
1300,-2.101345801316952e-13,2.2924114997693575e-14,2.4402575408081374e-17,-1.338201589466035e-13,6.437333644887559e-15
1400,-2.119176695452163e-13,2.5215430455936844e-14,3.5242862891296896e-17,-1.4444345298788642e-13,1.1941225857129475e-14
1500,-2.1716190206214838e-13,2.4592513525494196e-14,5.4163244512772736e-17,-1.4407442676443882e-13,1.1349874898468896e-14
1600,-2.2258700001197877e-13,2.7286134901176193e-14,7.636067971355885e-17,-1.364220906053043e-13,1.5878218436289337e-14
1700,-2.2291899682206405e-13,2.7906279116827342e-14,7.907523058055506e-17,-1.423706987413137e-13,1.9508908517444423e-14
1800,-2.1286849080928237e-13,2.9370699613956015e-14,1.0003233782886795e-16,-1.4576121790177692e-13,2.4229609590067893e-14
1900,-2.167232104114523e-13,2.985218530519832e-14,1.2471784602437982e-16,-1.4411632933808273e-13,2.7130602275777025e-14
2000,-2.1767782939058744e-13,3.037953468168718e-14,1.4005377652901464e-16,-1.398987085962599e-13,2.914752471621749e-14
2100,-2.18480466642285e-13,3.295573976271433e-14,1.5379903698966666e-16,-1.4384780455375348e-13,3.418414226549612e-14
2200,-2.161516336025409e-13,3.338700908392649e-14,1.811981985509639e-16,-1.4955339723499426e-13,3.9350287738102865e-14
2300,-2.1648345957248693e-13,3.5070477240795883e-14,1.919225473307725e-16,-1.4947008255433545e-13,4.075926179370391e-14
2400,-2.2338755935567422e-13,3.583487916367635e-14,2.1583274265436356e-16,-1.4711639489811288e-13,4.653424661297532e-14
2500,-2.271441155877037e-13,3.5763054551164136e-14,2.2724341289065723e-16,-1.464613380470109e-13,4.724064065756199e-14
2600,-2.205454683172103e-13,3.702571084565892e-14,2.518101149158942e-16,-1.3903881952421685e-13,5.303520526368267e-14
2700,-2.2637184335830138e-13,3.787164568054328e-14,2.690554936961081e-16,-1.453296359561601e-13,5.3767769727789445e-14
2800,-2.2244157420860715e-13,3.93471802013813e-14,2.8397366310995937e-16,-1.4552966558159765e-13,5.847097157384722e-14
