milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.8852135866179347e-14,7.6763079024577e-15,-9.59952821610044e-19,1.2894020246379895e-13,9.208287150149517e-16
100,-1.1301278000673014e-14,7.755353606116097e-15,5.2016604614293973e-17,9.042289728880064e-14,2.720590092985821e-15
200,-3.171295169117069e-14,7.810101713470536e-15,1.0063456779707103e-16,4.81290652922511e-14,2.8966137130140337e-15
300,-6.064992730071001e-14,9.56660495296479e-15,1.5912589020589455e-16,2.7280583753963958e-15,3.7708516743932246e-15
400,-7.954487703846961e-14,1.1270401312388973e-14,1.5618310955865854e-16,-1.681471603778928e-14,6.334473789099586e-15
500,-9.362194898959299e-14,1.2788799946997788e-14,1.4112741215893255e-16,-2.489334465112848e-14,4.008192914382236e-15
600,-1.0654148867054466e-13,1.4339238413718225e-14,1.2816414136605292e-16,-3.5656000486163765e-14,6.1302297633574104e-15
700,-1.2194381126347887e-13,1.5832913426706308e-14,1.2786213108941975e-16,-5.2541712707361896e-14,8.549911399465483e-15
800,-1.4001252400306421e-13,1.5954364890050063e-14,9.883279027743615e-17,-6.279595873100801e-14,5.565494562205595e-15
900,-1.5149787078817474e-13,1.711125592477909e-14,8.857906889655008e-17,-7.985508204370553e-14,6.61371351303653e-15
1000,-1.6552741203484086e-13,1.9567525301620433e-14,7.318985527270944e-17,-9.325953349992298e-14,7.50028596377324e-15
1100,-1.849547103317161e-13,2.1320014766642093e-14,6.216520765603551e-17,-1.0816948162231308e-13,9.214230936848037e-15
1200,-1.955922934439308e-13,2.1857640755693684e-14,5.115435514243172e-17,-1.1526212676578407e-13,7.497664039499711e-15
1300,-2.0767600039189862e-13,2.2115431789952298e-14,2.779639719480739e-17,-1.394643592839663e-13,6.706271379384641e-15
1400,-2.1339569296972674e-13,2.4187353267646062e-14,3.799856739815756e-17,-1.377226279330513e-13,9.641990829628884e-15
1500,-2.1085784524403613e-13,2.6138383751104934e-14,4.8968769307751374e-17,-1.4521100729605975e-13,1.3639598069967801e-14
1600,-2.120001471838268e-13,2.7090842920935924e-14,6.920975996006191e-17,-1.439506807952858e-13,1.4809881642251962e-14
1700,-2.2337663083341758e-13,2.7569443833502363e-14,7.942476258609366e-17,-1.4728325643888151e-13,1.9635006947344423e-14
1800,-2.1421661125019965e-13,2.852315331264101e-14,1.0837779217213318e-16,-1.3694385828911618e-13,2.2920122091765174e-14
1900,-2.19324509715283e-13,2.931384331620454e-14,1.1980699515741043e-16,-1.4015407752082097e-13,2.6767415040266342e-14
2000,-2.1847660882659665e-13,3.042094737563086e-14,1.47238659081617e-16,-1.4174885847814616e-13,2.91322601905445e-14
2100,-2.2321354645688178e-13,3.1161862043441316e-14,1.573122106038549e-16,-1.4446700984577788e-13,3.332739278551236e-14
2200,-2.1585595584658586e-13,3.340597126094448e-14,1.7025465769805877e-16,-1.4727950881050095e-13,3.981396588643436e-14
2300,-2.2574233312834743e-13,3.389218265151343e-14,1.9971817365394731e-16,-1.4977404040823053e-13,4.0401915547627675e-14
2400,-2.2327208969181477e-13,3.4824189676980916e-14,2.0851695870299828e-16,-1.4258324178437028e-13,4.3969894711290977e-14
2500,-2.2056910078664646e-13,3.5806229337646974e-14,2.2866342253866215e-16,-1.394910282300768e-13,5.0317429148549264e-14
2600,-2.2176392462083397e-13,3.709243404485363e-14,2.5060832265346204e-16,-1.446527089874558e-13,5.289456778622388e-14
2700,-2.2264891886613375e-13,3.9236329155080686e-14,2.665370669212715e-16,-1.4636425191505517e-13,5.3269699657274394e-14
2800,-2.2346120189726036e-13,3.9329509065407785e-14,2.7604609603762743e-16,-1.4897919416785823e-13,5.704186075392561e-14
2900,-2.2104950650297822e-13,4.0347323224529184e-14,3.0545355852625983e-16,-1.4285132484304922e-13,6.479866444756473e-14
3000,-2.2010848304205723e-13,4.286000597344363e-14,3.1069025419447306e-16,-1.5168108356367283e-13,6.543656217421802e-14
3100,-2.1959701757152306e-13,4.101730282625596e-14,3.028896118809546e-16,-1.4857154540025152e-13,6.614542553037322e-14
3200,-2.283090950678912e-13,4.141975105350431e-14,2.9606069818167457e-16,-1.4415322832780045e-13,6.472222892925052e-14
3300,-2.2066532600838566e-13,3.977444917807845e-14,2.759339631923152e-16,-1.3765247164324088e-13,6.712702888166525e-14
3400,-2.2167055099365315e-13,3.9262661681782594e-14,2.563684845067388e-16,-1.4356357063735796e-13,6.239911816385926e-14
3500,-2.1167900789515247e-13,3.849475813122833e-14,2.527557270016352e-16,-1.3718423492023678e-13,6.209466977898834e-14
3600,-2.1023458695717419e-13,3.798887260840893e-14,2.349059674511712e-16,-1.3290176822299377e-13,6.243096275812029e-14
3700,-2.127988874288223e-13,3.7883589848220514e-14,2.2546378004344413e-16,-1.366599884886521e-13,6.079590546859408e-14
3800,-2.0889945200666422e-13,3.728347163036463e-14,2.0747225390665662e-16,-1.3803926856162877e-13,6.148203861672072e-14
3900,-2.05848257338883e-13,3.600789681252114e-14,1.9283526726801337e-16,-1.3634514831097668e-13,6.13332806554985e-14
4000,-2.107290161607522e-13,3.515696340975501e-14,1.8007732299056264e-16,-1.304035467833156e-13,5.967441329947034e-14
4100,-2.1312018295540445e-13,3.401598809977285e-14,1.5730645844292754e-16,-1.2858141366021093e-13,6.172446511756721e-14
4200,-2.1123993217196502e-13,3.47061500455504e-14,1.5245040997130727e-16,-1.2641463104816128e-13,6.201256497400956e-14
4300,-2.0563065756360116e-13,3.355842107227463e-14,1.248992929120637e-16,-1.2693588279255902e-13,6.242796500272642e-14
4400,-1.9685088055189528e-13,3.3713044898430205e-14,1.0961375983400502e-16,-1.2832290998445502e-13,5.95033439381913e-14
4500,-1.9659438467555773e-13,3.269446622521829e-14,1.1120008496451444e-16,-1.340145084428457e-13,6.047875790134273e-14
4600,-2.0291879129318711e-13,3.1363029303960314e-14,9.218735038182541e-17,-1.2177349477866893e-13,5.786159845736582e-14
4700,-1.9964539777365773e-13,3.0811612705013855e-14,7.494802239460526e-17,-1.2211514422219695e-13,5.6444994101434083e-14
4800,-1.8949984645694496e-13,3.0060987861125334e-14,6.032789118714581e-17,-1.2511672473541876e-13,6.028956440414441e-14
4900,-1.912224186197243e-13,2.994537917080355e-14,4.400472731562644e-17,-1.2311048042888795e-13,5.871690198253721e-14
5000,-1.8724685242909e-13,2.90186710935174e-14,3.934348725498323e-17,-1.2815049505159277e-13,5.712485366687321e-14
