milliseconds,Sulphate__PAPS,GSH,NAPQI,Paracetamol_APAP,Protein_adducts
0,1.809524318620842e-14,7.80527636744272e-15,-2.9454874536368953e-18,1.36792841376979e-13,-7.946467178640423e-16
100,-7.283851115174062e-15,6.949347067324032e-15,5.838181554654018e-17,8.425733886845793e-14,2.8880688231638377e-15
200,-2.994360986610665e-14,9.141984383065463e-15,1.1158832977918904e-16,4.173493663378826e-14,1.5739283275686857e-15
300,-6.4742055667448e-14,9.573674988856805e-15,1.6678446637198438e-16,6.49563811972065e-16,4.042058807701795e-15
400,-7.989349377529721e-14,1.1347902659533893e-14,1.6850567512151147e-16,-1.0609821133599029e-14,7.472571956672996e-15
500,-8.71848264726097e-14,1.2087684460526477e-14,1.5028386758425993e-16,-2.99352533326358e-14,4.214863659753738e-15
600,-9.957502950130877e-14,1.4027698859397103e-14,1.3750392745311272e-16,-4.44253348648511e-14,6.4754901907553515e-15
700,-1.2534686897673968e-13,1.5241042559105995e-14,1.1413357963030038e-16,-5.695506417377568e-14,6.094317376329482e-15
800,-1.2903761183235772e-13,1.590960204743063e-14,1.0677251085793271e-16,-6.275800783025097e-14,6.783891481145768e-15
900,-1.4824822910787332e-13,1.750601498606845e-14,8.235905655597452e-17,-7.945730218687518e-14,5.248187543750206e-15
1000,-1.6470706164267138e-13,1.816680245647632e-14,7.619727803314183e-17,-9.071081535153129e-14,8.297203333969365e-15
1100,-1.8339270075024944e-13,1.9874531187589466e-14,6.022769221290796e-17,-1.0915798842064114e-13,6.223085807098915e-15
1200,-1.9345774440083347e-13,2.0778867059940513e-14,4.026461968007395e-17,-1.2540780247223844e-13,6.457407705598112e-15
1300,-2.1121873742018465e-13,2.3499089632241778e-14,3.1022579874240294e-17,-1.3691855759242655e-13,6.387994142455118e-15
1400,-2.1190564073360023e-13,2.4811937221385418e-14,3.963223899052098e-17,-1.4035098646266504e-13,1.2443607740765765e-14
1500,-2.1977270310077066e-13,2.631098612711136e-14,4.748679335972795e-17,-1.4626230051159524e-13,1.4203082617284803e-14
1600,-2.1259031956250393e-13,2.6620034864964053e-14,6.233669005927607e-17,-1.4018128559105142e-13,1.8533331898887574e-14
1700,-2.1321121111519255e-13,2.7900812706971336e-14,9.388660368956981e-17,-1.3974927297779944e-13,2.292233107329413e-14
1800,-2.133003885106469e-13,2.896582146127466e-14,9.842008075562145e-17,-1.4355195269015535e-13,2.412930885087743e-14
1900,-2.2407499616559186e-13,2.9106253036320583e-14,1.18611786368158e-16,-1.4843024237045024e-13,2.8159629730079106e-14
2000,-2.2312402220424304e-13,3.0025618359817615e-14,1.4350698715154805e-16,-1.4907674950656263e-13,3.2267885478871096e-14
2100,-2.1789253058628832e-13,3.185330784002215e-14,1.5485427419810466e-16,-1.3899407388848837e-13,3.5981233133106104e-14
2200,-2.2251080950963368e-13,3.2800871896770656e-14,1.7272878138383158e-16,-1.3922725562078575e-13,3.759053225265627e-14
2300,-2.2000870777600525e-13,3.4857061705845375e-14,2.006491630074186e-16,-1.4882643933175938e-13,4.3170602162267855e-14
2400,-2.21581566580847e-13,3.579014781817266e-14,2.1128639065141605e-16,-1.4782132724662883e-13,4.5877643288527174e-14
2500,-2.267036844005594e-13,3.5898257034616405e-14,2.2738717465317794e-16,-1.4598720219119649e-13,4.789281382507246e-14
2600,-2.2146363085972983e-13,3.8008087018366447e-14,2.4597668676584257e-16,-1.4455768088148146e-13,5.0238423449383806e-14
2700,-2.1862584723175784e-13,3.8045878964099764e-14,2.715281005736856e-16,-1.4142886963389813e-13,5.4131653325513176e-14
2800,-2.304347495468296e-13,3.9517799590055907e-14,2.7577119987678804e-16,-1.5083704627535558e-13,5.816992213507325e-14
2900,-2.241008707592702e-13,4.153861314695993e-14,2.9910657835485703e-16,-1.4533194686669923e-13,6.399134973938542e-14
3000,-2.219382781524399e-13,4.121194862539392e-14,3.17233016315192e-16,-1.509171438290971e-13,6.425381051829893e-14
3100,-2.2852577299319957e-13,4.0436664254262104e-14,2.9639019294804724e-16,-1.4143449072083241e-13,6.551421181527551e-14
3200,-2.2556536527035878e-13,4.116813167052759e-14,2.903655061588548e-16,-1.4735743280782868e-13,6.322907689709293e-14
3300,-2.1580845347432842e-13,3.9446093667775586e-14,2.7676031885410994e-16,-1.4795255901811034e-13,6.400846672403803e-14
3400,-2.1412609571228013e-13,4.014305387517832e-14,2.5607598516033356e-16,-1.4109338568395523e-13,6.500361970466762e-14
3500,-2.2272517511787941e-13,3.9738134394254737e-14,2.4016414285290554e-16,-1.3518022232409118e-13,6.378187686904351e-14
3600,-2.200971409468968e-13,3.7179912160517463e-14,2.258455184901121e-16,-1.3779328035205777e-13,6.508100908100386e-14
3700,-2.1691201202592941e-13,3.8456111953640406e-14,2.2553110383272822e-16,-1.31849681953194e-13,6.485210490958128e-14
3800,-2.1571913619410577e-13,3.669573406613113e-14,2.1070792291248667e-16,-1.3224541810328516e-13,6.432788767621167e-14
3900,-2.099537846029487e-13,3.624275754248111e-14,1.9462642914862827e-16,-1.3691340736352972e-13,6.271024148296057e-14
4000,-2.1381045074121621e-13,3.5891006905816326e-14,1.741958054043759e-16,-1.308739985910777e-13,6.364826049668596e-14
