milliseconds,T,N,L,R,C,I,S
0,4641839856.741343,250000433.26994494,525314.4425596675,352012844.85796654,2140000000.0,1163.0780175196242,0.0
100,4602804821.993809,249997251.79818305,560864.9402213749,352009765.3446765,2140000000.0,882.1122247493503,0.0
200,4549135240.192868,249993376.0643146,591682.400184439,352001354.80819714,2140000000.0,759.4157034054639,0.0
300,4451847715.76237,249990652.27893117,610143.697049996,351978296.8772345,2140000000.0,696.1958465921584,0.0
400,4472809318.616158,249991954.9072595,619069.6468809734,351982597.64567417,2140000000.0,680.3404014822452,0.0
500,4406200282.713361,249987101.09749907,621129.88598705,351971395.8651233,2140000000.0,672.7450048905995,0.0
600,4387574313.920846,249987246.31966898,622483.3618942874,351961333.72343004,2140000000.0,656.8017295144974,0.0
700,4310790521.990584,249984059.8442948,621302.3777694902,351945285.54352057,2140000000.0,642.4632344661304,0.0
800,4216829577.7341084,249977676.2023487,620807.7757182479,351941295.3232571,2140000000.0,639.8946495195587,0.0
900,4216220885.665331,249977735.1061261,619496.0798528102,351933848.7375168,2140000000.0,637.8312985116328,0.0
1000,4148142273.270819,249974670.80391037,617678.055165079,351934268.5364157,2140000000.0,643.0365573700387,0.0
1100,4102305318.5810685,249974187.319214,618983.0830996599,351914759.7812807,2140000000.0,627.219283664011,0.0
1200,4038951342.6216083,249971576.35840246,617272.2981471216,351912662.34718454,2140000000.0,626.0186435837333,0.0
1300,4014259260.2945724,249965756.13883513,616375.2683701591,351895328.5818356,2140000000.0,627.3952027131011,0.0
1400,3966909661.1158385,249960007.85761386,615119.2949510497,351867126.9108938,2140000000.0,614.5429723411232,0.0
1500,4010428697.9716034,249958825.55461755,612188.7296642404,351850471.6252389,2140000000.0,615.5631455243389,0.0
1600,3949253688.4637356,249961229.50039455,611073.291915868,351863958.8818187,2140000000.0,602.5182596455693,0.0
1700,3932540874.652599,249954551.76490006,609778.7464778358,351835658.1423443,2140000000.0,607.5390206087694,0.0
1800,3835353197.9257174,249955713.0234935,608403.1475338202,351826852.7622331,2140000000.0,598.0348125674794,0.0
1900,3861140734.345852,249947982.43088713,608810.1577857545,351811999.6134303,2140000000.0,604.8892603621771,0.0
2000,3811566010.5996933,249948138.30582634,606204.1041842278,351799963.9421084,2140000000.0,595.4723180396716,0.0
2100,3760086469.752212,249944421.33602664,605084.2886916087,351797941.3207856,2140000000.0,595.5247027551403,0.0
2200,3744097227.3143473,249943368.70266104,604185.7895646777,351784773.7624695,2140000000.0,594.6475284655338,0.0
2300,3725393511.2669544,249940253.1398076,604260.7137359292,351792954.1495638,2140000000.0,588.121447727348,0.0
2400,3644790061.1447754,249940837.8864904,602820.7216523715,351777211.8817255,2140000000.0,582.2286262868948,0.0
2500,3611599673.1966643,249936085.12770125,602510.6729937796,351756121.3126064,2140000000.0,586.4169381078925,0.0
2600,3588230071.234481,249935754.38738477,602425.263347492,351758557.84940743,2140000000.0,569.8434344009825,0.0
2700,3580838595.3189154,249934587.4894169,600019.4773991752,351715968.9234629,2140000000.0,581.8622374293104,0.0
2800,3520049605.5178943,249928678.19078285,599892.057116782,351734503.07494915,2140000000.0,567.1333256726648,0.0
2900,3567067543.812613,249927323.43326056,598888.3289477258,351720050.63980246,2140000000.0,562.6661001639724,0.0
3000,3513924614.557931,249927137.7685908,597991.0129039485,351681358.94584936,2140000000.0,567.8817370387926,0.0
3100,3472384733.3565183,249922198.0406168,597128.8462665172,351689898.6019918,2140000000.0,564.1395659973595,0.0
3200,3429726213.2101426,249920978.82037207,594162.4987082597,351660230.3839119,2140000000.0,570.8613278177303,0.0
3300,3402112334.0401487,249919092.082115,595049.2811380349,351667418.52511907,2140000000.0,556.685609211279,0.0
3400,3405145338.8603177,249916898.33068836,593649.1532007031,351648664.3130411,2140000000.0,554.8800147797597,0.0
3500,3407268867.985474,249917701.55853432,592789.1953155285,351624431.3247282,2140000000.0,560.5767144585508,0.0
3600,3356245886.3379292,249912152.56672943,591110.7357644921,351609778.32126695,2140000000.0,550.50376749016,0.0
3700,3367368618.3635654,249912971.48294854,590025.1170687296,351616634.8768282,2140000000.0,556.777004243082,0.0
3800,3338521940.7492,249910137.60725695,591393.3550350374,351603127.2346228,2140000000.0,550.3729465662386,0.0
3900,3256916553.358173,249909636.18663117,590084.3495558737,351574055.04586726,2140000000.0,551.7693454755824,0.0
4000,3320722192.824694,249908891.03262335,588589.9768416252,351570450.2935459,2140000000.0,546.460502159781,0.0
4100,3275297011.8491697,249904811.38548064,589766.8727895095,351548308.8351014,2140000000.0,529.5583492599741,0.0
4200,3206033209.0148067,249900486.432455,588532.7536454956,351543462.5502075,2140000000.0,543.1865804010436,0.0
4300,3205280384.7336082,249898755.20987466,585535.00178658,351517578.9194113,2140000000.0,543.8225442812111,0.0
4400,3187625627.603975,249899622.97124118,587611.9825765248,351499427.9230911,2140000000.0,531.2040745436199,0.0
4500,3182871374.689492,249898565.77666512,586562.1934465767,351495269.2027174,2140000000.0,539.4129931520009,0.0
4600,3206369990.0149713,249893573.03285974,584345.0692510632,351490375.17366445,2140000000.0,525.0866027589134,0.0
4700,3150336994.461516,249893719.44842932,584590.9662051141,351470186.4438074,2140000000.0,536.3180745234536,0.0
4800,3169584867.081461,249891269.59655115,582100.2258574012,351464615.16245294,2140000000.0,520.5056525029889,0.0
4900,3125707548.3664265,249894756.82677135,583229.1143430372,351435889.6329057,2140000000.0,532.0993009148783,0.0
5000,3066369225.5077367,249890961.66022685,581286.2492670377,351434571.3390801,2140000000.0,512.4624054167738,0.0
