milliseconds,T,N,L,R,C,I,S
0,4668394155.464076,249999507.9859543,527762.8633058162,352012081.0159177,2140000000.0,1169.213144448126,0.0
100,4608804770.454449,249999254.18664917,559439.962318695,352014403.38578165,2140000000.0,879.4928240314747,0.0
200,4521853723.450498,249995339.5952258,593752.0057562996,352007489.5593009,2140000000.0,764.5265011870677,0.0
300,4517398662.500446,249995528.6810735,612477.7538989976,351969420.22423303,2140000000.0,699.2436919600424,0.0
400,4414864109.61783,249991368.40509766,618391.0489209802,351987187.3473213,2140000000.0,675.5221240166763,0.0
500,4411265618.88632,249990618.70152265,622933.4105752169,351954136.3768964,2140000000.0,675.334695844037,0.0
600,4378269678.879181,249985336.2310953,622603.2051773615,351965716.1985313,2140000000.0,658.12902177049,0.0
700,4285241459.291201,249983477.7005607,621750.706775163,351943425.8296428,2140000000.0,653.6842543294798,0.0
800,4221299206.1831665,249976204.5095035,620943.9895930832,351942175.77280986,2140000000.0,654.6677029669514,0.0
900,4175871889.2093825,249977629.50457984,619160.8471231972,351914150.9443715,2140000000.0,645.1806744022465,0.0
1000,4188383727.9034424,249975158.53028667,617683.9767384438,351907289.9610972,2140000000.0,639.4896552557451,0.0
1100,4153928279.2885876,249970210.9402626,615784.2164169729,351892770.2374601,2140000000.0,641.0453158686745,0.0
1200,4039677466.8247395,249967288.26268607,614658.4607970343,351905695.6738551,2140000000.0,621.5702604910116,0.0
1300,4069146992.3675547,249964533.50086144,614367.8269717445,351884091.3583788,2140000000.0,629.3198095235608,0.0
1400,4004940934.609435,249964626.51690665,614092.8908732204,351887594.89596534,2140000000.0,621.5971508269605,0.0
1500,3977682874.804326,249957517.98802367,611055.2756795301,351873363.39988726,2140000000.0,617.3851043792522,0.0
1600,3946394468.7806954,249956344.17811772,612537.0340191062,351849235.06041896,2140000000.0,608.147529150474,0.0
1700,3865856910.159531,249957584.15939742,610775.4792782066,351859044.5028532,2140000000.0,599.6655925815074,0.0
1800,3871648384.8599267,249951014.80886465,610507.0937807534,351832038.78366166,2140000000.0,610.9172511840428,0.0
1900,3812168794.2789526,249951545.25857934,607852.6361870683,351812641.39133304,2140000000.0,599.4227544346704,0.0
2000,3809940726.9611144,249948633.6708897,607101.7400425324,351817587.45834124,2140000000.0,592.1136742625774,0.0
2100,3737052323.2095833,249945114.78304952,606958.2265714826,351794520.22747815,2140000000.0,602.2922537337207,0.0
2200,3720950651.8631196,249942048.457572,604401.808370035,351796339.5848444,2140000000.0,587.9228837890513,0.0
2300,3712677796.688191,249938291.70429072,602580.8705442707,351761229.0001758,2140000000.0,598.1237223939793,0.0
2400,3680482806.3631005,249942007.5073536,604310.2596230465,351749625.69908476,2140000000.0,582.3551872126378,0.0
2500,3651659747.9085927,249933729.16595855,602614.43572512,351736887.7682902,2140000000.0,571.3442293977057,0.0
2600,3632304393.73331,249931694.56383404,599419.2427455,351743345.5264816,2140000000.0,577.4424738942234,0.0
2700,3543429821.67874,249932389.5306042,601137.4763749838,351725938.1642164,2140000000.0,567.3665870649303,0.0
2800,3588028487.37818,249929347.50781307,598808.1017410029,351710767.02652,2140000000.0,573.1908271914931,0.0
2900,3573373165.496856,249929955.33980125,599595.1526319921,351702138.83949643,2140000000.0,564.3694640168296,0.0
3000,3514779482.208888,249926408.2036718,598494.7771709549,351705656.7081482,2140000000.0,566.2789433193186,0.0
3100,3518740628.4891133,249927145.90415996,597417.8855810391,351669627.6197719,2140000000.0,557.4056164769369,0.0
3200,3478863638.1789155,249922018.92324087,594016.1228832509,351663842.571658,2140000000.0,554.4287780456696,0.0
3300,3389965811.7175694,249921053.48571205,595457.9266384688,351665417.74865097,2140000000.0,552.5811540275361,0.0
3400,3410950217.042984,249919642.3528713,593222.2958082027,351632729.8110833,2140000000.0,565.2734292773374,0.0
3500,3367352815.3807564,249913609.41480994,592784.178091057,351633129.5958781,2140000000.0,547.6011649029635,0.0
3600,3334700753.6682167,249915033.59465006,592884.0618998501,351622100.2359342,2140000000.0,548.0187463401122,0.0
3700,3372670029.4189687,249912404.50330096,589837.133481738,351607840.426808,2140000000.0,557.1885050326338,0.0
3800,3319286988.427704,249911229.99991086,591516.4471727597,351571092.23465264,2140000000.0,554.9158286999858,0.0
3900,3288897310.405716,249907664.15415,589958.2519305351,351572645.5654171,2140000000.0,539.6426469175178,0.0
4000,3302704223.092171,249904923.02000743,589534.8647969144,351568720.66537565,2140000000.0,551.2565636639347,0.0
4100,3249004486.625979,249907674.8663746,588384.146923134,351539663.18862796,2140000000.0,546.340015429889,0.0
4200,3241722617.1842422,249900391.51671776,587599.2353366665,351550314.63874644,2140000000.0,540.0377316816914,0.0
4300,3256676168.3653216,249898931.3362251,585858.1528851929,351510594.73102856,2140000000.0,540.2257169995631,0.0
4400,3159150924.948939,249899921.2669693,586867.9292197627,351510618.097096,2140000000.0,529.2592941343565,0.0
4500,3175085779.325732,249895955.22470504,584520.5374108799,351478341.05345553,2140000000.0,535.0176603704006,0.0
4600,3123129093.1461143,249898190.1164586,583219.2204721364,351460281.3624267,2140000000.0,521.0380588919193,0.0
4700,3175343830.048787,249891539.64782488,585559.5499017138,351453238.7350672,2140000000.0,536.2756061976445,0.0
4800,3170406178.902455,249892003.25012478,583431.8879968771,351433644.5304569,2140000000.0,523.2203003127581,0.0
4900,3130253422.7576127,249889901.12241715,583159.1450657774,351433247.5575688,2140000000.0,513.4751550245608,0.0
5000,3117564219.620929,249891654.97670516,581719.2570452208,351403448.64578426,2140000000.0,516.2178716792764,0.0
