milliseconds,T,N,L,R,C,I,S
0,4642804671.149402,249999583.678073,527792.9732253094,351990830.29079247,2140000000.0,1168.5461436716591,0.0
100,4559478727.521648,250001607.1396219,559547.4220115669,352013145.2021697,2140000000.0,895.8332251481626,0.0
200,4532206205.882253,249993733.52253932,593115.7009876171,352002425.614651,2140000000.0,749.2004471718777,0.0
300,4475867925.4477415,249996177.55529332,611692.5921427174,351991166.67787856,2140000000.0,701.993164926519,0.0
400,4475271786.729544,249989729.53420687,620549.9694511606,351960346.50078523,2140000000.0,676.2883125671709,0.0
500,4350642828.384524,249987489.1936186,623474.4579833569,351984979.1896088,2140000000.0,673.1734608039044,0.0
600,4363415125.326095,249987471.6416465,623055.0577932927,351942921.5460582,2140000000.0,654.048297572498,0.0
700,4320567992.900916,249979124.7179686,622810.1808926171,351954707.3607908,2140000000.0,645.2089032455012,0.0
800,4294379519.5978312,249977693.68989214,622300.9456828331,351955666.70273495,2140000000.0,637.8617475750693,0.0
900,4236156653.389521,249974003.36967155,619729.1133927504,351943698.2535035,2140000000.0,633.2361227034407,0.0
1000,4198517419.040868,249973844.62051982,618014.5255483041,351936782.1257829,2140000000.0,634.1985656999276,0.0
1100,4091815595.9433727,249972121.5547359,616654.5719173683,351923990.8152256,2140000000.0,642.582579625808,0.0
1200,4117174601.2555957,249965058.48048776,615340.7608633226,351897336.75991166,2140000000.0,629.6511487818404,0.0
1300,4060396261.819046,249964651.55672938,615440.2721893003,351894016.2863052,2140000000.0,620.5277668737665,0.0
1400,4012655923.883052,249962709.21783325,612724.623840618,351870887.39963704,2140000000.0,612.4696943646929,0.0
1500,3989083101.5608954,249962898.68919763,612935.1868852272,351875313.02959853,2140000000.0,623.3222539992842,0.0
1600,3905973420.0949736,249958821.78466016,612458.0954887653,351845607.24494493,2140000000.0,614.3268060713594,0.0
1700,3855116893.173459,249956563.46229744,611417.3800148754,351829674.0775831,2140000000.0,609.9918471808691,0.0
1800,3864826940.2555118,249954621.0086852,609818.9439187432,351833355.9451517,2140000000.0,605.2862143706608,0.0
1900,3834016150.286959,249951055.215667,608669.5844751196,351838639.741404,2140000000.0,600.0561284908263,0.0
2000,3837542628.3411803,249947997.179186,606473.0182375774,351796945.24310195,2140000000.0,588.9147961634204,0.0
2100,3754917486.8778176,249943800.0049369,607309.0916550128,351797108.6830044,2140000000.0,586.6164272614768,0.0
2200,3744932060.2982473,249942108.73787892,605595.5860599796,351794668.5476705,2140000000.0,595.4992948412528,0.0
2300,3733230437.349893,249938976.40868625,605469.81245662,351786904.9538523,2140000000.0,594.5144231221682,0.0
2400,3627174097.952273,249941049.58529478,603338.5799290168,351757615.8965673,2140000000.0,581.9721689278492,0.0
2500,3640806866.623,249937154.63335472,603284.8583612285,351741869.9604171,2140000000.0,585.0593591242042,0.0
2600,3593059752.423371,249935300.84879538,600226.607032089,351744011.2251565,2140000000.0,572.8732660794466,0.0
2700,3540360426.620835,249930152.23224184,601162.2103571732,351739128.66926724,2140000000.0,567.9606055865876,0.0
2800,3536154313.7237277,249931600.83942807,597749.135999556,351719071.49366957,2140000000.0,578.891008126759,0.0
2900,3501650262.0496674,249927521.88489568,599660.9027562344,351688412.38601416,2140000000.0,580.0921071950378,0.0
3000,3513900191.364323,249924562.4717501,598938.236453691,351703681.7363706,2140000000.0,572.807090612012,0.0
3100,3509396655.3091326,249922837.26124611,596231.8765883496,351680738.7734941,2140000000.0,558.6348679406964,0.0
3200,3413458298.443277,249922504.14492545,595377.8640147164,351677863.1824718,2140000000.0,558.4953088600952,0.0
3300,3401250642.1077943,249921891.23845932,594962.2064610267,351645631.9702046,2140000000.0,557.8297422449639,0.0
3400,3410602930.6504827,249916421.827288,592207.127024947,351635679.67221236,2140000000.0,553.2419014891386,0.0
3500,3425807995.996338,249919439.32246202,592836.5767832088,351640092.1196739,2140000000.0,546.9228585638515,0.0
3600,3406203603.627184,249913921.82720077,593529.5155975327,351609559.5813553,2140000000.0,557.8071419424433,0.0
3700,3314614972.0660048,249910234.49733812,591629.5214852614,351606850.6322732,2140000000.0,555.3118287394801,0.0
3800,3314716555.2606053,249912562.7875347,590086.725173866,351599888.6244042,2140000000.0,550.6961245570928,0.0
3900,3280481113.034206,249908136.17587155,590745.7291709196,351559220.8059482,2140000000.0,546.640900344824,0.0
4000,3240652877.1034727,249906749.72876513,589562.2601743076,351564455.5624021,2140000000.0,532.9844601143317,0.0
4100,3243479646.6190004,249906009.9447966,587326.4017691624,351534247.06029856,2140000000.0,532.3997079539985,0.0
4200,3193333948.2252874,249902111.49426487,586441.6744989929,351521029.4450964,2140000000.0,544.0820910837721,0.0
4300,3175537355.156736,249904060.16507843,587900.230182881,351506074.8648423,2140000000.0,531.1826477074361,0.0
4400,3200992239.1157045,249903209.15424886,586089.1173769851,351511332.22331166,2140000000.0,529.8934897303914,0.0
4500,3184648357.4488926,249898418.27582896,586047.8673466716,351501717.2116462,2140000000.0,526.1662367685976,0.0
4600,3151809863.591591,249896274.93984553,586385.5786561111,351487757.19413346,2140000000.0,519.5214893286894,0.0
4700,3171298144.101121,249895581.10819986,584326.6348724111,351461719.75184387,2140000000.0,517.9138758080378,0.0
4800,3152483924.521244,249894477.83578053,583585.078171776,351465086.2740533,2140000000.0,520.327628032665,0.0
4900,3112943011.21097,249894728.19254044,583195.6832605038,351446594.82636654,2140000000.0,533.0342837043646,0.0
5000,3118987165.721413,249889398.93134883,583247.8301443937,351410111.5663153,2140000000.0,528.5863863283806,0.0
