milliseconds,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,CD274mRNA
0,1.7999127846293066,118.59839634657033,-0.00037222401687277335,-0.000628623968180806,-0.0003721776263829611,24.00467533550043,0.0008428571899437402,9.4,208.9910251126893,0.011672997649933176,0.0001752445992516961
100,1.7990414426557502,118.5984112208118,0.0013853645202600178,0.0011135651987325558,-0.0002139372619435117,23.992030266420308,0.006685395033620032,9.4,209.00602609806245,-0.002718010575034776,7.80562093332328e-05
200,1.796706663026678,118.59798787956761,0.0027472543578963356,3.871232394863179e-05,0.0003676369573097525,23.99253513365346,0.007556814783105053,9.4,209.0089119638418,0.0011926011388088667,-0.0001103231337182005
300,1.796467344762261,118.59855305104635,0.0036105498267802916,0.0006851997157209458,-0.0001538771604523759,23.99218416518968,0.007123898857161773,9.4,208.98492850424634,-0.010075468333484744,0.00010358836506513878
400,1.795869159050869,118.59809119409826,0.004733554486100056,-0.0006937138074120295,0.00013427922709392836,23.99850767284928,3.0160063638757888e-05,9.4,209.0071268153665,0.01372676765612985,-0.00020923945567017407
500,1.7925514582864746,118.59796571049375,0.005968533620622178,-0.0007238015478278257,-9.743920485722778e-05,23.989481995266082,0.011515636863531641,9.4,209.0126867187795,0.009923818990370521,4.803713165222463e-05
600,1.7924428504346808,118.59794628225264,0.006975198154804003,-0.0007236643608958949,0.0003363465794288249,23.981602896388114,0.012031899388671762,9.4,208.99483217323126,-0.004507261206094361,-0.00022803575984729833
700,1.7915402384027739,118.59914515739612,0.007660503029221248,0.00039875880272907297,0.0004439919204868133,23.99075064209412,0.008789461157583221,9.4,208.99621644095143,0.014715619427256132,0.00024733593238561793
800,1.7902713573051494,118.59853621782617,0.009407580912186499,0.0004418515120123617,0.00016140036523874492,23.97428347836221,0.018825088132107527,9.4,209.00506774074663,0.011313884228761704,4.798294766860541e-05
900,1.7890631804849717,118.598044664424,0.00979829751323277,0.00082075935056509,0.00034726752853525816,23.981333082964273,0.01972569802185004,9.4,208.989915929349,3.7262978461653426e-05,0.00019371407732078462
1000,1.7871552901686818,118.59860580347635,0.011228462323239215,-0.00019555578197820987,-0.0002918539992086816,23.96758368695415,0.032227076363650735,9.4,208.9754626873304,0.013733510449310806,-2.9522161219044946e-05
1100,1.7864970957905788,118.59871911884551,0.011827859475525672,0.0012993456783952121,0.0002864240790608043,23.962469776799434,0.0445679680155934,9.4,208.97304245433247,0.012419066233111885,0.00010122605175746013
