milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
3400,0.0,0.0,9.966563143256215e-09,0.0,1.33012434324606e-10,4.481623380060737e-11,9.238425660734813e-10,0.0,1.5999821232688105e-07,0.0,9e-08,0.0,2.0862413776384965e-10,1.397914691930677e-06,6.55596752027771e-10,4.401973966688242e-11,5.812707231381968e-14,1.0452875952806792e-13,4.72463857131184e-13,4.675322138350944e-13,1.8606580490300403e-08,1.3419814975909293e-09,2.7795569343947558e-11,2.2786321298842166e-11,2.0018860821807594e-09,2.4994453463116205e-09,5.570253831959145e-13,0.0,3.3998748417154057e-06,1.2898816847841273e-12,4.4390912748353826e-11,1.191053761289272e-12,7.802693871516028e-11,0.0
3500,0.0,0.0,9.96586012288085e-09,0.0,1.3411992159226558e-10,4.244293977437625e-11,9.2287440760589e-10,0.0,1.5999813510571814e-07,0.0,9e-08,0.0,2.0860396198639612e-10,1.3978950069165884e-06,6.545736785754353e-10,4.441552776777875e-11,6.005414011215369e-14,1.0656092339031051e-13,4.853608663169987e-13,4.747379296893274e-13,1.85920526072211e-08,1.354948697885651e-09,2.792051329519159e-11,2.3628084483004653e-11,2.0679312300986436e-09,2.4994369028704305e-09,5.713078844457747e-13,0.0,3.399866641933898e-06,1.2879174356117569e-12,4.823109000909606e-11,1.2109574537448087e-12,7.958042891904113e-11,0.0
3600,0.0,0.0,9.966295589428817e-09,0.0,1.340524328404005e-10,4.101489246965501e-11,9.199398781413056e-10,0.0,1.5999798427737846e-07,0.0,9e-08,0.0,2.0856405214063274e-10,1.3977136463744804e-06,6.532463812492685e-10,4.5263958906464295e-11,6.428352048240352e-14,1.1237302108566441e-13,5.094612183393526e-13,5.136722768353884e-13,1.8514378280314715e-08,1.4078185388671213e-09,2.925141812158132e-11,2.4179435505524375e-11,2.2297492763788467e-09,2.4994285041463477e-09,5.755801742544361e-13,0.0,3.3998557868335543e-06,1.306197190412223e-12,5.535934264748194e-11,1.2384149323385372e-12,8.287641815333062e-11,0.0
3700,0.0,0.0,9.965677331351817e-09,0.0,1.3469784325226513e-10,3.925916454596267e-11,9.17398556063483e-10,0.0,1.5999793577626647e-07,0.0,9e-08,0.0,2.0854170704594786e-10,1.3975553960999045e-06,6.525947234684255e-10,4.742083257148157e-11,6.603883234559574e-14,1.2306756570788882e-13,5.325402332801288e-13,5.51293717740411e-13,1.850779309550584e-08,1.4710490913909878e-09,2.999541484096917e-11,2.510112716141166e-11,2.3905405221784237e-09,2.4994071234377165e-09,5.880152107960289e-13,0.0,3.3998486438504363e-06,1.3405912334445792e-12,6.083456657875723e-11,1.2917607362231605e-12,8.420989159052314e-11,0.0
3800,0.0,0.0,9.964599714794254e-09,0.0,1.3582417986091954e-10,3.7438054780783435e-11,9.156149502820724e-10,0.0,1.599978415345731e-07,0.0,9e-08,0.0,2.0845288915575193e-10,1.3973801611937718e-06,6.512232460658856e-10,4.833969197002576e-11,7.07772346706415e-14,1.267691325597967e-13,5.792755035188581e-13,5.631093610988822e-13,1.8425553478181127e-08,1.487264436332108e-09,3.1104894217068745e-11,2.5529919878376804e-11,2.474109191911034e-09,2.4994078669815567e-09,5.996238711596494e-13,0.0,3.399843230630185e-06,1.3443374199427886e-12,6.54737581444799e-11,1.3212190741457058e-12,8.91065940233291e-11,0.0
3900,0.0,0.0,9.96422205845651e-09,0.0,1.353379001863103e-10,3.540950536088544e-11,9.152897380508144e-10,0.0,1.5999760861594948e-07,0.0,9e-08,0.0,2.0841349600081863e-10,1.39717373490408e-06,6.505225163540302e-10,4.940671644666408e-11,7.405233760434654e-14,1.351090567071438e-13,5.931856168284658e-13,5.986575976511807e-13,1.8369823976840007e-08,1.524788434601728e-09,3.2267804923794734e-11,2.6782903796667803e-11,2.6571649260678545e-09,2.4993931824756247e-09,6.074017110051105e-13,0.0,3.3998317809181487e-06,1.3815096044716037e-12,7.095574328867667e-11,1.3385726691882425e-12,8.888186955590588e-11,0.0
4000,0.0,0.0,9.964184061497743e-09,0.0,1.3572592197454483e-10,3.4658271880422174e-11,9.13155952533671e-10,0.0,1.5999750490383686e-07,0.0,9e-08,0.0,2.0835842301933555e-10,1.3969692984109801e-06,6.482413117549439e-10,5.133877740651163e-11,7.750006298956375e-14,1.4446243514703705e-13,6.398628903040847e-13,6.449352072139291e-13,1.8373928715863453e-08,1.584625058050041e-09,3.3071345293370154e-11,2.7479006814317844e-11,2.8988632583445027e-09,2.4993950660142902e-09,6.178431679080042e-13,0.0,3.3998272323636026e-06,1.402478436821203e-12,8.066179026168862e-11,1.3766213176545257e-12,9.298796043443502e-11,0.0
4100,0.0,0.0,9.963542082497474e-09,0.0,1.3625141511377067e-10,3.360156860002696e-11,9.089669764057878e-10,0.0,1.5999739539469965e-07,0.0,9e-08,0.0,2.0832336245192504e-10,1.3968275058870966e-06,6.466196396586067e-10,5.145684543231522e-11,8.22553603835332e-14,1.4696428235856044e-13,6.542155949422675e-13,6.650204601311098e-13,1.830755627591928e-08,1.64426059713805e-09,3.3178004788451364e-11,2.7915155085719622e-11,3.0760370860402448e-09,2.4993720439577005e-09,6.265122349837388e-13,0.0,3.3998187198742277e-06,1.385167289688193e-12,8.927194330890378e-11,1.4260014992042533e-12,9.581589784372491e-11,0.0
4200,0.0,0.0,9.962399494292608e-09,0.0,1.36983659667085e-10,3.077373080307309e-11,9.086922026615311e-10,0.0,1.5999724396517941e-07,0.0,9e-08,0.0,2.0830683571710367e-10,1.396717138135802e-06,6.463168265331442e-10,5.2532306810307206e-11,8.359564258282883e-14,1.5833171652469455e-13,6.817134541726631e-13,6.9859490075497e-13,1.8254231587827098e-08,1.6995552311368463e-09,3.422257728100445e-11,2.913348396588591e-11,3.2312327380148944e-09,2.499362284711734e-09,6.274660380472026e-13,0.0,3.399803506818551e-06,1.4127038269279902e-12,9.426812059172483e-11,1.4399618829122822e-12,9.684437816648949e-11,0.0
4300,0.0,0.0,9.962646120679412e-09,0.0,1.374115780370331e-10,2.946272331744615e-11,9.04334903639806e-10,0.0,1.599970398363593e-07,0.0,9e-08,0.0,2.0827460910940277e-10,1.3965445813508556e-06,6.45032367785799e-10,5.4049573111847016e-11,8.897854686547053e-14,1.6204922094038553e-13,7.387133921705737e-13,7.27498325701725e-13,1.8222062596962817e-08,1.764836392718068e-09,3.480552740096261e-11,2.9832642610814096e-11,3.3571741982785987e-09,2.499360639758041e-09,6.366570826648008e-13,0.0,3.399792580516242e-06,1.4377485237865307e-12,1.0052757544868014e-10,1.4916504731009178e-12,9.926648704731329e-11,0.0
4400,0.0,0.0,9.961805735133341e-09,0.0,1.3856513621198833e-10,2.846441926229965e-11,9.025546889686045e-10,0.0,1.599969135552376e-07,0.0,9e-08,0.0,2.081790189469705e-10,1.3962446275170798e-06,6.440071960402099e-10,5.480224951156291e-11,9.278223993097805e-14,1.710125351449343e-13,7.541315796600896e-13,7.582103791553312e-13,1.811219962738198e-08,1.7808810230422637e-09,3.645872592121804e-11,3.002834319961656e-11,3.561757399256836e-09,2.4993612782776254e-09,6.465506840145686e-13,0.0,3.399785770124044e-06,1.455961890918377e-12,1.1179292116453401e-10,1.5269703036358185e-12,1.0176616538499239e-10,0.0
4500,0.0,0.0,9.96116245127211e-09,0.0,1.3778574010643449e-10,2.878770384433791e-11,9.035407155029207e-10,0.0,1.5999670513020738e-07,0.0,9e-08,0.0,2.0815471079397282e-10,1.3961504120120704e-06,6.435097462352297e-10,5.57706562711499e-11,9.75842962616867e-14,1.7794442753639072e-13,7.923020990726056e-13,7.941689646807816e-13,1.8116981641318783e-08,1.8538435256372545e-09,3.660408892200926e-11,3.0382914016441906e-11,3.813323733327319e-09,2.499354199085885e-09,6.483375110826409e-13,0.0,3.399775155679387e-06,1.4820596200567748e-12,1.193704148809936e-10,1.5806451979889232e-12,1.0438204096567159e-10,0.0
4600,0.0,0.0,9.961439202578213e-09,0.0,1.386297003412522e-10,2.5515861392054806e-11,8.994112331536498e-10,0.0,1.5999655425362186e-07,0.0,9e-08,0.0,2.081169063310252e-10,1.3958953891672873e-06,6.406315020910046e-10,5.704194164347008e-11,1.0129840198846726e-13,1.8913345960255648e-13,8.37313325126395e-13,8.405518783268842e-13,1.8061722580292198e-08,1.921704746329233e-09,3.736849926825241e-11,3.1231511241181534e-11,3.936215844113929e-09,2.499352806384707e-09,6.615508947175755e-13,0.0,3.3997634567203914e-06,1.4677011907865311e-12,1.2739121738526502e-10,1.5939148955865395e-12,1.047453972658797e-10,0.0
4700,0.0,0.0,9.960380688543984e-09,0.0,1.3929886215847015e-10,2.6466279945651605e-11,8.991583889622373e-10,0.0,1.599963999062684e-07,0.0,9e-08,0.0,2.0804589363703438e-10,1.3956879170747677e-06,6.408815853359974e-10,5.7560743915230734e-11,1.0475123888607865e-13,1.933514082880514e-13,8.551651672728941e-13,8.729663920651951e-13,1.798436189235476e-08,1.9379226762790436e-09,3.7752565665847454e-11,3.227396300587584e-11,4.05348970694393e-09,2.4993486557881356e-09,6.659393828414326e-13,0.0,3.3997500124063615e-06,1.4801645552686147e-12,1.377409100632417e-10,1.6464542938858801e-12,1.087663934418737e-10,0.0
4800,0.0,0.0,9.960647404048734e-09,0.0,1.3890154110279444e-10,2.422481712154986e-11,8.959824488778731e-10,0.0,1.5999621737700732e-07,0.0,9e-08,0.0,2.0803658482614602e-10,1.3954453309767894e-06,6.401237175647025e-10,5.875334728772578e-11,1.0927711525647596e-13,1.983998426559688e-13,8.887703480219787e-13,9.046642810305669e-13,1.7936209124943193e-08,1.9716536064568476e-09,3.903984561529278e-11,3.187987377179907e-11,4.372344114311615e-09,2.499340791938523e-09,6.694372532542633e-13,0.0,3.3997363823594764e-06,1.5136050784412152e-12,1.478352932364406e-10,1.669412616205526e-12,1.1067878095219537e-10,0.0
4900,0.0,0.0,9.960072342322173e-09,0.0,1.396114271578189e-10,2.2478766234903275e-11,8.935642786799299e-10,0.0,1.5999597656361998e-07,0.0,9e-08,0.0,2.079864087394418e-10,1.3952835477451715e-06,6.381055059150767e-10,6.00612486706119e-11,1.1156588543437894e-13,2.1194133358638433e-13,9.216915314304736e-13,9.36260510656425e-13,1.7882224517463028e-08,2.033192865102718e-09,3.9685508083498983e-11,3.2630610640399487e-11,4.570941196011028e-09,2.499335065945584e-09,6.632369457665329e-13,0.0,3.399727725006548e-06,1.5279785339958926e-12,1.588669294935239e-10,1.6825008987096732e-12,1.1020390231257034e-10,0.0
5000,0.0,0.0,9.95953823618912e-09,0.0,1.4028129214713142e-10,2.2300327387524396e-11,8.926076869910693e-10,0.0,1.5999576497373493e-07,0.0,9e-08,0.0,2.0789394588704405e-10,1.3950591011703946e-06,6.377245632725422e-10,6.09014666699774e-11,1.1634550010837776e-13,2.1997144102138076e-13,9.741299467715968e-13,9.760190569741934e-13,1.7827105205292767e-08,2.106268435496469e-09,4.0381316139925715e-11,3.363877261992589e-11,4.659310882474265e-09,2.499332845143967e-09,6.691241507997636e-13,0.0,3.3997085184961877e-06,1.516402462529078e-12,1.7279592673472723e-10,1.7554597005994136e-12,1.134234106253401e-10,0.0
