miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,0.0,0.0,1.0000598589392647e-08,0.0,9.962807111162487e-11,9.486379963048405e-11,9.984266064943526e-10,0.0,1.5999995991929117e-07,0.0,9e-08,0.0,2.0999279442049593e-10,1.4000469999351731e-06,6.99130717823749e-10,-1.4852446634643822e-13,-1.0603428986151357e-17,-1.0167151762861846e-15,-9.260726593840555e-15,1.432851681670413e-14,2.0002716693182518e-08,-2.4540573465663654e-11,1.2858460154706216e-13,-5.488004446667736e-13,-4.100396775023326e-11,2.5000007651906106e-09,-2.6565088663653467e-15,0.0,3.4000000664313177e-06,1.1042763519171588e-14,-2.110232603114958e-12,2.2514674020249818e-14,1.0873542426170128e-12,0.0
100,0.0,0.0,9.998960382437001e-09,0.0,1.0068588134308215e-10,9.435274947519831e-11,9.992982577320872e-10,0.0,1.6000002545803247e-07,0.0,9e-08,0.0,2.0994020873400396e-10,1.400031718530256e-06,6.979614780907169e-10,1.7469856571083905e-12,1.7564696340587331e-15,-2.294151482066749e-15,-9.798551806336909e-15,-8.263302246167077e-15,1.9950192147837106e-08,6.399094969256175e-11,7.528053325287037e-13,4.443144941875098e-13,5.6163220566247956e-11,2.4999793371254657e-09,1.3981264845568331e-14,0.0,3.3999947752896733e-06,5.887999036759395e-14,2.3569076522234446e-13,5.321787232633483e-14,4.0842699743329805e-12,0.0
200,0.0,0.0,9.997210326356998e-09,0.0,1.0198050872159817e-10,9.38191480072453e-11,9.94275280950397e-10,0.0,1.5999992061456698e-07,0.0,9e-08,0.0,2.099512760263256e-10,1.4000408886301938e-06,6.966075804591232e-10,2.809756404958218e-12,1.482180952199375e-15,1.1486176487674823e-15,1.3531146465067904e-15,-1.1187485164424035e-15,1.9916667480745787e-08,6.961094087228578e-11,-1.3978284988719755e-13,-2.1486547874464288e-13,3.569509266577406e-11,2.499962273048091e-09,3.2456542071969035e-14,0.0,3.3999911611293505e-06,9.20035719363519e-14,1.4932672412354172e-12,8.133770100113797e-14,3.325738114569907e-12,0.0
300,0.0,0.0,9.996323745713254e-09,0.0,1.0388749164187769e-10,9.300926335507493e-11,9.919710760111542e-10,0.0,1.599999216974331e-07,0.0,9e-08,0.0,2.0990034101449288e-10,1.399939734836439e-06,6.952657445033884e-10,4.975457942620798e-12,2.1806022881329733e-15,4.009912389000176e-15,-9.050135092946797e-15,1.470367412091986e-14,1.9902951905142005e-08,9.493025679658891e-11,2.401917882514595e-14,-1.1160655684360836e-13,4.1892360500167827e-11,2.499930689444854e-09,6.599030819491689e-14,0.0,3.3999907666967903e-06,1.5928137969478278e-13,2.0188490152365255e-13,8.364387959863304e-14,8.77917081958283e-12,0.0
400,0.0,0.0,9.99558528418754e-09,0.0,1.0437554074761821e-10,9.343941515496265e-11,9.9183843747024e-10,0.0,1.5999996436299222e-07,0.0,9e-08,0.0,2.0986903605503554e-10,1.4000368564966942e-06,6.949391482433407e-10,5.518723670043193e-12,3.076824050234718e-15,1.021972403688566e-15,1.4024533643483756e-15,3.481501983292763e-15,1.982034037411498e-08,1.378814777142471e-10,1.2198359293127352e-12,2.5009848276956077e-13,-4.6312720023378644e-11,2.4999212345929333e-09,8.974962531297788e-14,0.0,3.3999911374355007e-06,2.0763186147957225e-13,-1.4327964678101828e-12,1.3866999589444645e-13,1.0355803697206966e-11,0.0
500,0.0,0.0,9.993335143126413e-09,0.0,1.0668825056734847e-10,9.173437513283389e-11,9.884003944972905e-10,0.0,1.5999989718709788e-07,0.0,9e-08,0.0,2.0982330959535805e-10,1.400051254907445e-06,6.931985170070105e-10,7.585932801580057e-12,1.92008425683207e-15,3.3945568933634807e-15,1.2229856612962852e-14,6.9622763063477175e-15,1.980294994041399e-08,1.8373292413922616e-10,8.734788665123656e-13,1.1264973747494889e-12,-5.6781508661182965e-14,2.4998996049493073e-09,1.0659647739754985e-13,0.0,3.399988133074864e-06,2.284490414811944e-13,1.846347905835906e-12,1.4952142129206606e-13,1.319342056137843e-11,0.0
600,0.0,0.0,9.992302611625347e-09,0.0,1.0784721706900347e-10,9.073738210956739e-11,9.877569337796892e-10,0.0,1.5999984519208817e-07,0.0,9e-08,0.0,2.097802494505321e-10,1.399974467088926e-06,6.918385518075269e-10,7.940588946911154e-12,3.810165148946819e-15,6.5884931814395734e-15,1.800407964119395e-14,5.0077673143983115e-15,1.9739417153694866e-08,2.133021598062109e-10,1.3218023122246304e-12,1.2161612792042744e-12,1.5124361084535224e-11,2.499878305630007e-09,1.1710769970459234e-13,0.0,3.399988406022138e-06,2.64546860032465e-13,-8.152481992581515e-14,2.2389815926838719e-13,1.5102163359940793e-11,0.0
700,0.0,0.0,9.991938969274925e-09,0.0,1.0888056505434546e-10,9.040482401532291e-11,9.854558767987799e-10,0.0,1.5999979972416173e-07,0.0,9e-08,0.0,2.0976489047664866e-10,1.400024907714488e-06,6.897793258513541e-10,9.718451702106801e-12,4.976212234219264e-15,5.850842241394966e-15,3.280239710370195e-14,2.307888811640493e-14,1.9709920653353262e-08,2.4239103540902725e-10,2.681939204861759e-12,2.3114208916460816e-12,6.07013938534959e-11,2.4998493984033988e-09,1.4006272486880283e-13,0.0,3.399978422223227e-06,3.184788744977216e-13,6.41205996849242e-13,2.592517069581602e-13,1.6257739495450278e-11,0.0
800,0.0,0.0,9.989963256475611e-09,0.0,1.1021431969632178e-10,8.954360919364486e-11,9.828265497804896e-10,0.0,1.59999863244775e-07,0.0,9e-08,0.0,2.096832611384373e-10,1.3999258968931457e-06,6.893111965997291e-10,1.0219677450153824e-11,2.7091910770293667e-15,3.138346559680274e-15,4.345895063690571e-14,2.05322333562054e-14,1.9690964936170684e-08,2.8781976848541095e-10,2.4723324698342797e-12,2.402280628472293e-12,5.1710364396321074e-11,2.4998357549616392e-09,1.5774612067546428e-13,0.0,3.399983549074009e-06,3.7072469480339905e-13,5.39362543239071e-13,2.8735065111665087e-13,1.9335052807494462e-11,0.0
900,0.0,0.0,9.989473122269765e-09,0.0,1.1127113143262281e-10,8.726533183379869e-11,9.787450869725936e-10,0.0,1.59999752210446e-07,0.0,9e-08,0.0,2.0967581702662023e-10,1.3999473333447236e-06,6.868430352523257e-10,1.1863912656612551e-11,6.782139326177403e-15,9.39637236715492e-15,4.409034684212342e-14,4.7708798653422223e-14,1.9649137356639646e-08,3.4035304399473323e-10,2.8960437743798553e-12,2.3806817030279153e-12,1.0101488064466282e-10,2.4998236701271114e-09,1.890255455471187e-13,0.0,3.3999756805510254e-06,4.206786735831088e-13,7.788125639093726e-13,3.1155938115244543e-13,1.9833367899037113e-11,0.0
