miliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,0.0,0.0,1.0000182378102531e-08,0.0,1.0038343199328524e-10,9.4437520179359e-11,9.994052620537494e-10,0.0,1.5999999758390464e-07,0.0,9e-08,0.0,2.0998954332677568e-10,1.3999864431713493e-06,6.998391288873338e-10,5.292076054390157e-13,8.267334196575791e-16,2.895104928659955e-15,-8.19837270469399e-15,-4.949384609193368e-15,2.0010886657570116e-08,1.0818895626678617e-11,-3.8626213880120876e-13,2.5320546831875486e-13,-2.5832652377164092e-11,2.5000056104031596e-09,2.9245650816642072e-15,0.0,3.4000019072543605e-06,-9.336035659049628e-15,-1.2487548299069825e-12,1.6989142113429977e-14,-6.461323156645501e-13,0.0
100,0.0,0.0,9.998875490506854e-09,0.0,1.0088457645272287e-10,9.449993369579132e-11,9.96816285279438e-10,0.0,1.5999994820292048e-07,0.0,9e-08,0.0,2.0999045822964132e-10,1.400044132730835e-06,6.981864019602885e-10,2.1259267649727617e-12,-1.3271643545464879e-15,2.827301377571071e-15,-1.312685377558536e-14,5.506220382396974e-15,1.997344531820833e-08,5.601747610152142e-11,-2.2175760546368257e-13,-3.1761018753629185e-13,-5.674900376448163e-11,2.4999733048719158e-09,2.916863875882388e-14,0.0,3.399994861152877e-06,2.5506906582511807e-14,-1.7057683166197818e-13,2.2539396129251678e-14,1.1904728900191611e-12,0.0
200,0.0,0.0,9.997173033597357e-09,0.0,1.027096765900407e-10,9.38715827364634e-11,9.939815461043499e-10,0.0,1.5999998934947152e-07,0.0,9e-08,0.0,2.099481740722971e-10,1.4000268138072261e-06,6.979523098646154e-10,2.8297997478570705e-12,-1.3402883154020714e-15,2.9212137328786344e-16,-3.193820191553253e-16,1.074972769770438e-14,1.9919012919257662e-08,7.923052298026503e-11,2.78654587327904e-13,-3.0976133560352623e-13,-3.178804312517984e-11,2.499958789520004e-09,4.6080903792356316e-14,0.0,3.3999940294013965e-06,7.676506915995328e-14,-1.983045063201113e-12,5.061943651107759e-14,5.8502229315198244e-12,0.0
300,0.0,0.0,9.996287210261132e-09,0.0,1.0377038635042123e-10,9.201364503825787e-11,9.938729232771798e-10,0.0,1.5999992230601377e-07,0.0,9e-08,0.0,2.0989015519196293e-10,1.399956525383297e-06,6.953852805661784e-10,3.4132317727143087e-12,1.9628743660576916e-15,2.7220158750277387e-15,1.2163287330357859e-14,1.1093812242103141e-14,1.9865301212974152e-08,1.0810926936980102e-10,2.908755030691037e-13,5.142877219582563e-13,1.356424939662816e-12,2.4999396278187737e-09,6.011464553290107e-14,0.0,3.3999898691467023e-06,1.4983481647181917e-13,-7.238137124274442e-14,1.0775450047566791e-13,7.517810399924841e-12,0.0
400,0.0,0.0,9.995140054764645e-09,0.0,1.0470055555368529e-10,9.175342913324091e-11,9.895015239463156e-10,0.0,1.5999995582552458e-07,0.0,9e-08,0.0,2.0985258424382968e-10,1.4000080738020296e-06,6.948616766237583e-10,5.701415299471774e-12,1.94033283130015e-17,1.3739170832445044e-15,-2.147154817279211e-15,1.7151650330424974e-14,1.98597815887186e-08,1.5780416525349269e-10,6.487918958802735e-13,3.9307746557527493e-13,-9.286340108789606e-12,2.499925134832439e-09,8.936368209583479e-14,0.0,3.3999938643746497e-06,1.750957537705439e-13,2.2089603208056576e-12,1.1923752588959977e-13,8.198578173717116e-12,0.0
500,0.0,0.0,9.993949171458165e-09,0.0,1.0638486533108448e-10,9.216366143470949e-11,9.882930031907274e-10,0.0,1.5999992860274672e-07,0.0,9e-08,0.0,2.0981735409042277e-10,1.39995391784224e-06,6.92837656121289e-10,6.395958524420467e-12,1.4025225710970603e-15,3.1911834709197547e-15,5.469362600868592e-16,1.9918649520274052e-14,1.978680024796455e-08,1.8756949152158918e-10,6.445152875022756e-13,8.755289608489699e-13,-3.5597677249247415e-11,2.499899819052321e-09,1.1360566966898728e-13,0.0,3.399985580940038e-06,2.570661599697206e-13,-2.0433952453331574e-13,1.7305592296686545e-13,1.3673545802613058e-11,0.0
600,0.0,0.0,9.992953885965312e-09,0.0,1.0761875381095679e-10,9.069618731470029e-11,9.874776523455369e-10,0.0,1.5999993486068341e-07,0.0,9e-08,0.0,2.0980054493137163e-10,1.399974037600915e-06,6.9220462961028e-10,8.272236371057646e-12,3.4452066663009977e-15,1.801461958799702e-15,3.030301052198567e-14,4.0739869273240895e-15,1.9774500346716075e-08,2.5343471790511853e-10,1.3569957706151854e-12,1.5303809765188465e-12,5.605527908004388e-12,2.4998759408286546e-09,1.2263916399666005e-13,0.0,3.39998142471584e-06,3.059788707418141e-13,2.304086604107644e-12,1.9048270529224515e-13,1.4276310436899132e-11,0.0
700,0.0,0.0,9.991488487156812e-09,0.0,1.0881259894136579e-10,8.946710354231617e-11,9.852158178361983e-10,0.0,1.5999980396170877e-07,0.0,9e-08,0.0,2.0976258349615935e-10,1.3999671728674328e-06,6.897903032473505e-10,9.278830058756039e-12,3.4485166883502746e-15,5.136773142400977e-15,3.6451971447809575e-14,1.4178277625738968e-14,1.9714131314526275e-08,2.7313210198451916e-10,2.328093609766588e-12,1.2443393659577749e-12,2.8992531544759395e-11,2.499859635612333e-09,1.3847955743200068e-13,0.0,3.3999860493563025e-06,3.3435439407217437e-13,1.273620524067755e-12,2.683506547322847e-13,1.544082978152113e-11,0.0
800,0.0,0.0,9.990711488290849e-09,0.0,1.1016378836949169e-10,8.841578678992274e-11,9.812947254927685e-10,0.0,1.5999981903947987e-07,0.0,9e-08,0.0,2.0970664213941584e-10,1.3999562189760102e-06,6.88089094894266e-10,1.0062922455390103e-11,5.655076635862558e-15,9.223750284946083e-15,1.4918410450886016e-14,1.6135404003199038e-14,1.9685354017861702e-08,2.8338029566545024e-10,2.2682502189394652e-12,1.863942038817095e-12,1.0754898518473829e-10,2.4998337404427287e-09,1.5672581930492602e-13,0.0,3.3999825129020165e-06,3.6986197632823465e-13,1.569501418322135e-12,2.8466940943321627e-13,1.941702926979994e-11,0.0
900,0.0,0.0,9.98859230344111e-09,0.0,1.1061548772939114e-10,8.651291178769105e-11,9.80801134449386e-10,0.0,1.5999978379412649e-07,0.0,9e-08,0.0,2.0964255145331852e-10,1.3999175083517e-06,6.868271464175017e-10,1.221915952647927e-11,3.888054417834445e-15,8.051253790955717e-15,4.155480835072278e-14,4.070931301630967e-14,1.9656263526920974e-08,3.209876651205945e-10,3.6149064541863097e-12,2.2992941555723724e-12,2.8993792311335376e-11,2.4998232012483813e-09,1.7505029688088303e-13,0.0,3.3999810748528057e-06,4.324795824290872e-13,8.594928602308475e-13,3.396342814220516e-13,2.0541053104268987e-11,0.0
