miliseconds,A0,B0,C0,x1,x2,x3,x4,x5,x6,x7
0,0.4615385,0.1754386,1.174,0.11187809884383856,0.058600955995859044,0.09543314175442616,0.0007653626496752906,0.2534677800628292,0.0036010618940035158,1.0198675268696347
100,0.4615385,0.1754386,1.174,0.11169686381805312,0.05859949697996226,0.09576901655340625,0.000760458068491456,0.2532418971789639,0.003575693197646573,1.0196201592472511
200,0.4615385,0.1754386,1.174,0.11151463761425094,0.05906714608176218,0.09612033657970673,0.0007549371682681718,0.2530558914988641,0.0035280216478703053,1.0191610585493578
300,0.4615385,0.1754386,1.174,0.11139726007531249,0.05914482809706926,0.09671529247536713,0.0007402777076150185,0.2528257674193217,0.0034003855816926495,1.0188008376773556
400,0.4615385,0.1754386,1.174,0.11133015361647113,0.05920348388647897,0.09691331683200483,0.000736951946650327,0.25278055698927554,0.003423384582974567,1.0175915527729282
500,0.4615385,0.1754386,1.174,0.11104775349425484,0.059447307021071046,0.09707083164547711,0.000726619935174407,0.25275223071060265,0.0033132042524484547,1.0175675985078652
600,0.4615385,0.1754386,1.174,0.11097751777619148,0.059626739287555526,0.09731528448879824,0.0007189495733483233,0.2524723942947646,0.0032945848407084123,1.017185882066717
700,0.4615385,0.1754386,1.174,0.1108197246594618,0.06004887695162818,0.0974733817983573,0.0007226050247457171,0.2524360192721621,0.0032277206641072244,1.016631786445421
800,0.4615385,0.1754386,1.174,0.11074359430301865,0.06002929404555715,0.09809028684736744,0.0007089231059540127,0.25221199788823345,0.0032733178940162967,1.0157842297974629
900,0.4615385,0.1754386,1.174,0.11057180973406719,0.06024511644719349,0.0981229256945511,0.000699228054650768,0.2519216855842986,0.003150314748422371,1.0157482608239143
1000,0.4615385,0.1754386,1.174,0.11037877154733859,0.06062496257923358,0.09850898199008902,0.0006993866230374887,0.25197449693408513,0.003162074747814262,1.0151821963339356
1100,0.4615385,0.1754386,1.174,0.11021958647855847,0.06087010086318924,0.09879343859513527,0.0006890497989412766,0.25166790693760765,0.0030860816912167354,1.0142229529733668
1200,0.4615385,0.1754386,1.174,0.11002909227286224,0.06097642778121507,0.09923845305033985,0.0006814452190478058,0.2515657550713263,0.0030132545119713025,1.0136518916975217
1300,0.4615385,0.1754386,1.174,0.10983916107833294,0.06119620643465219,0.09938012682497045,0.0006782711016735324,0.25136600303878365,0.0029857311024113495,1.0136127628549527
1400,0.4615385,0.1754386,1.174,0.10985891395269323,0.061251855215648535,0.09980887879293576,0.0006732436317649775,0.25122375385027257,0.0029477683741098025,1.0131918978974543
1500,0.4615385,0.1754386,1.174,0.10967550334069504,0.06154277912061742,0.09989789605790407,0.0006704330211219835,0.25124417858877535,0.002909911518131434,1.0119848808524134
1600,0.4615385,0.1754386,1.174,0.1094114765400288,0.06172908839168724,0.10048675044762383,0.0006553563953125698,0.25092102967816077,0.0029050562694200896,1.0121697162913712
1700,0.4615385,0.1754386,1.174,0.10941888209020915,0.06198274534479814,0.1006973092235986,0.0006567083452158767,0.25092544438439096,0.00285619589465676,1.011282078144095
