milliseconds,c3,c2,c1,o,i,ik
0,1.00040403103477,-0.00016135391571947893,-4.528278331031948e-05,0.06016460917761498,0.0002148354144532541,0.10320521890860274
100,0.9997537240316701,0.0002748881676069626,0.00036447020971744484,0.0561244188559231,0.003237776842827531,0.09633975283539853
200,0.9997294319794117,0.0004928392311754761,-2.454798224218942e-06,0.05319659489011434,0.005995787553801928,0.09079212852138882
300,0.9988480834789267,0.0007713280154148889,0.0004691019542608273,0.04998340328549202,0.008759921525282356,0.08731444118002553
400,0.9990495450912485,0.0010080833727621336,0.0003665778324552509,0.04769232603941024,0.011445919122108614,0.0837432205668613
500,0.9987443747390097,0.0011036287055206202,0.0008242507221791413,0.0463381760832286,0.013400389780688976,0.07960950792819706
600,0.9983987952575917,0.0010971777849845621,0.0007849337046419435,0.04449209542851865,0.015194638094229614,0.07618907602353528
700,0.9979826987387327,0.0014285612242507764,0.0011277034007702196,0.04248136583554301,0.017189233032813694,0.07266723778930415
800,0.9977175548769333,0.0014565393379979974,0.001166634771594828,0.04128400144133209,0.01934820617423555,0.07036206068409455
900,0.9974364480228991,0.0017372243580701093,0.0018390307577470563,0.040062341244217294,0.020000033503809102,0.06693390319593627
1000,0.9966636247828647,0.0017906194191308763,0.0018724326514965258,0.03729885082601086,0.021372827801650108,0.06547359327276235
1100,0.9969197926642658,0.0016864004601888122,0.0016964569996981902,0.036356269078269075,0.022788814660219123,0.0644886108370524
1200,0.9966790759459533,0.001806450509787026,0.0019105576299716797,0.03524803747398417,0.022801214936249387,0.060826161169855196
1300,0.9958160095416848,0.0019365416734612082,0.002644217233205019,0.034423167315994464,0.024579471154667215,0.06006414763154658
1400,0.9960782894005338,0.0020817381999581105,0.0025643098800931506,0.03488368497593058,0.025158758243904514,0.05900477250723424
1500,0.9957066797351749,0.002173477513224871,0.0028289229357284285,0.03410900136837118,0.02519055273841426,0.05634539935173227
1600,0.9951435402899754,0.002551016579613423,0.0032214536901933244,0.03254431546188193,0.02677064729793739,0.056219041757289735
1700,0.9943187318700641,0.002707910403231692,0.003103385486334441,0.032931342433995675,0.027059865712280414,0.055442000971410256
1800,0.994121339754227,0.002715210912503841,0.0038643472422131187,0.031228167324592594,0.028255034975179533,0.05313342679034379
1900,0.994379860481137,0.0029013503720883974,0.004146250352097148,0.030698216434444908,0.027411420191679196,0.05425754521704342
2000,0.9934747662981135,0.0029266159305007667,0.0037974672251579384,0.030114893145830452,0.027562207615451705,0.05366863053089166
2100,0.9934214342237573,0.0028914668052307515,0.0039502661417668995,0.030757954086076178,0.02818491699833277,0.052358559068588134
2200,0.993053830885443,0.00328037072381288,0.004511267807902783,0.030650286915100813,0.02925969386510245,0.05123497829098747
2300,0.9928502065757548,0.0031649315409099077,0.004891715372736596,0.030321893140885958,0.02975958163201576,0.05153300526829928
2400,0.9928442640314366,0.0034508728977165025,0.005013051651105248,0.02884005746222185,0.02987593117988154,0.049783109815595646
2500,0.9926463440127555,0.003456230760485247,0.005299765412610127,0.03002769671614792,0.029683907888084258,0.051599517364935364
2600,0.9920589405723906,0.0036182895595191027,0.005144027214734521,0.028511454219116265,0.029271340624185918,0.0495768743831129
2700,0.991579853793802,0.0036510967898739834,0.005750793995920923,0.02964566284885831,0.030384406296967478,0.04911166604297086
2800,0.9916201005390836,0.003916722793354056,0.006087245897669588,0.028385620720620366,0.029877051621077847,0.05049475791418315
2900,0.9914121456716685,0.004042915213377766,0.005797404806485751,0.02864938405491797,0.030041217300337743,0.0482208616775316
3000,0.9906212999924784,0.003974770629666481,0.006255788230195186,0.029111797968371825,0.029765350747027325,0.048843962159488497
3100,0.9906641973237655,0.004144440855774136,0.006821754578140654,0.028666588785588712,0.030534573209330753,0.047268763124063806
