milliseconds,IR_beta,IR_beta_pY1146,IR_beta_refractory,IRS,IRS_p,IRS_pS636,AMPK,AMPK_pT172,Akt,Akt_pT308,Akt_pS473,Akt_pT308_pS473,TSC1_TSC2,TSC1_TSC2_pT1462,TSC1_TSC2_pS1387,mTORC1,mTORC1_pS2448,mTORC2,mTORC2_pS2481,p70_S6K,p70_S6K_pT229,p70_S6K_pT389,p70_S6K_pT229_pT389,PRAS40,PRAS40_pT246,PRAS40_pS183,PRAS40_pT246_pS183,PI3K_variant,PI3K_variant_p,PI3K_PDK1,PI3K_p_PDK1
0,50.0,0.0,0.0,149.78615770533398,0.02560868979319835,-0.0010030779911349332,49.93219016161604,-0.007356953690700387,300.093811083761,0.25228003490641604,0.09744565068280167,0.0007451769897923034,49.95737374504961,-0.0829760497472225,-0.0031632104796172423,100.04625005595695,-0.018419975817619713,99.98697006629999,0.03945654474369068,300.1045455178747,0.0034807706489253915,-0.03920057011370776,-0.001615772291738953,19.876261506225575,0.05677436995732715,0.06705024063009338,0.00992262132873346,50.0,0.0,50.004716993543624,0.007892930745468738
100,50.0,0.0,0.0,149.88876835703104,0.6155501472067648,0.004697087904611986,45.23861131436669,4.843666020858764,299.81760995050905,0.20438583152660697,-1.819313733380359e-05,-0.003429933031849812,49.87212808794133,0.018270231465381054,0.05904909874564827,99.83672961857192,0.08194868453366964,99.71398605548595,0.2362467587149155,299.8613093817014,-0.02291560339090386,0.04859964508221093,-0.0038327896491581613,20.02370610704417,0.03028924895876502,0.11873458854754056,0.006337585789621325,50.0,0.0,49.99069637304566,0.005307121334825018
200,50.0,0.0,0.0,149.1056774098817,0.7966272822387599,-0.007393188838266264,45.026222612681686,4.899682468409553,300.06213486421206,-0.16753731128880273,-0.07847293194210796,-0.0003919996526811495,49.8329702171362,0.1425490687589769,0.08056928682930045,99.74629616278725,0.3540593377307107,99.50388940579829,0.43427715562667396,299.86090642872324,-0.04939176293094666,0.0051713533218437115,0.0044217980655016295,19.703628864891122,0.025168102045485467,0.09316558346994909,0.009694315063022596,50.0,0.0,49.99053207761943,0.010357878932070266
300,50.0,0.0,0.0,149.0860484512032,1.9000691849518527,0.006995971791351679,44.954176030272095,5.050400207165331,299.94125067622787,-0.1984580662267432,0.016901374360959266,0.0029943227788333756,49.7925103743908,0.13979931989502595,0.14751239242544467,99.60236832840015,0.4116269408621872,99.34220346730322,0.6240344331650184,299.9118318042618,0.04209459562886824,0.09728615370204706,-0.005798722142472429,19.984727751973516,0.025831979787499487,0.21905832576961837,0.00833653107235651,50.0,0.0,50.00126943174839,-0.007513219327907682
400,50.0,0.0,0.0,148.39976745355182,2.2367935452278584,-0.008861581686292145,44.883533366607864,5.083408405898705,299.7713167563779,0.1548650240069027,0.09190259180847472,0.003151531300631282,49.92857375430597,0.1483722196029934,0.18277011436870044,99.40306183173277,0.5217082261030332,99.1906483862846,0.841538099849757,300.0302203027117,-0.043871600589488954,0.07494071204251171,0.0023977845628263108,19.817967218048327,0.09508610889956204,0.30180695484123493,-0.008120289120470948,50.0,0.0,50.00061455066716,0.01015216378555217
500,50.0,0.0,0.0,147.97875940216136,2.5714040864037724,0.00272898829348456,44.97870326070802,5.095602767268297,299.8490364917708,-0.03081846237938471,-0.09009066368353205,-0.001560615669721244,49.85078331072058,0.044525282195881935,0.15892316179664914,99.27997344584712,0.7762046896666888,99.05199678478324,0.9262733229555539,299.94724817933434,0.0013592489483574715,0.18866995942626794,-0.008679701615636975,19.572514784252498,-0.027479017428278997,0.38216252870414824,0.010670693287093054,50.0,0.0,50.000820434104966,9.936637004944859e-05
600,50.0,0.0,0.0,147.38980344170227,2.633598361425583,0.005034903667381174,44.94969408399384,5.268176520195983,299.403073263841,0.4825977316815435,-0.08670542552092074,-0.0015776758735822924,49.62785571164661,0.062123684752454944,0.211670775277585,99.10218589458464,0.8278231007726033,98.88397322890708,1.099173403820655,299.7065849441645,-0.009812820886330901,0.11469011138226202,-0.0013492903766148668,19.28463464787356,0.10143504352179981,0.6130812053814804,0.008723752957723804,50.0,0.0,50.00312335686326,0.008490889663085279
700,50.0,0.0,0.0,146.05432216282895,3.672939201461517,-0.0011250864922944077,44.77416041856792,5.306035364398695,299.89765514740515,0.16579946425905398,0.06790198697875846,0.0005134577931421665,49.450781252151394,0.15091553670753183,0.2565915329278771,99.1479833176142,0.9716790891688644,98.84000634408444,1.211732542264948,299.6441736767443,0.026167235466777676,0.22441738038728157,-0.007685121128579811,19.100616261823617,0.08018675456723733,0.7593934585412437,-0.014344504586770926,50.0,0.0,49.99840007213016,0.006372608929165926
800,50.0,0.0,0.0,145.89361657769862,4.147183972066761,0.0032844030768741216,44.781409064319675,5.231357513133781,299.7295058100657,0.28837618038331236,-0.06152063321803093,-0.002397574168210881,49.35107433589677,0.08727684084166733,0.325049368112242,98.9132879830611,1.1164512443046353,98.68631747141565,1.2898556059283368,299.59631505744915,0.044585616995427874,0.22512780455737905,-0.007666836515616219,19.09462549620039,0.09139903958284987,0.9238979817055033,0.0253480725348289,50.0,0.0,49.99130807696073,0.025048588526531003
900,50.0,0.0,0.0,145.9873661598782,4.694542268667768,0.003204933918623182,44.58291147506577,5.234417268341404,299.31702604008035,0.17140246062685316,-0.006610657749862692,0.0024755799260262725,49.406059176228446,0.07983976119433628,0.3143302208966631,98.8336647080231,1.0896245439116805,98.65477448948536,1.3406414456486164,299.71874442833587,0.04607089008887447,0.30997467107709836,-0.0012778323049439447,18.72716342842935,0.2011369508323156,0.9741477158702587,-0.010033994554036921,50.0,0.0,49.97160618597125,0.023888957356557515
