milliseconds,T,C,F_beta,F_gamma,M1,M2
0,10000165652.652386,-2368930.418829359,-1212258.4694107112,901.9850355806273,-0.14104375853775575,-0.005510290453995337
100,10000011615.312775,7419548.081722435,494940791.5363826,-854.6951503496724,0.1609265196932442,0.005261994056996643
200,10000984554.067722,6399945.646098804,742405008.4935328,-260.2335178998045,0.1526762333351994,0.017292812859216227
300,10001046651.946066,8487900.113085601,852824124.9572861,-234.8424890678017,0.32783272507682637,0.03305284696303597
400,10001546500.352148,16886830.612558026,926962472.2017298,-17.892906404016003,0.6410054427891548,0.04547346780488581
500,10001367461.92245,19590766.636006244,942887956.5110888,261.30564618147616,0.7022476996401893,0.04961959488964535
600,10001924486.24436,15938903.990293372,967211988.1202456,1518.2606128366988,0.8325804621952132,0.05799261344814802
700,10001988537.844177,19662052.31175481,981508216.5674583,951.3043471112485,0.9886239710567343,0.08276069216874118
800,10002434486.944454,25219319.342159543,995053519.7526191,928.7880019229866,1.2999287250489784,0.0886215471170722
900,10003146330.271418,31027749.627262477,993831442.3329905,398.7806770146624,1.3699547356130666,0.08961392838478109
1000,10003448098.21601,29379460.60886988,996704582.0889984,2110.963050205014,1.4794460799484517,0.09069985758741206
1100,10003432092.96232,34245097.686176635,979445583.6153404,2795.5025838728593,1.5777027512686075,0.12019751339108523
1200,10004065104.259346,36370223.98676107,1000688905.7116898,3357.664914047243,1.7968154330791606,0.12578053998635427
1300,10004405978.739208,41823218.33325629,1000136437.98562,2264.165481133423,2.0897949090759638,0.12389859850592892
1400,10004063147.52746,41173825.544415504,978727291.6941514,3807.6507007656974,2.1911028802427506,0.13440894662859923
1500,10004685884.66253,44589130.6175839,975009765.5933499,3089.8995171927822,2.2859439077756214,0.14388241105351235
1600,10004694712.446535,46366911.155569285,996711233.7349169,3607.819487782889,2.564313049611907,0.16392551175981376
1700,10005162942.573704,55502658.000401326,990550863.1509879,3498.1886495158155,2.6424914136678894,0.17937862086272804
1800,10005344247.19815,57105546.75387178,979950074.5478566,4589.175813362608,2.5832186268875144,0.17010503691970447
1900,10005702730.336502,58046241.43581573,985980657.4118596,5370.6202003114395,2.7342149781031266,0.17637090699145336
2000,10006294337.620699,60686854.63672157,990500670.0945637,6023.728563492984,2.8237103994771373,0.1844671406699317
2100,10006643883.00769,65390415.23452011,987108590.5023162,5655.7529277196845,3.056009942145337,0.21830558281947512
2200,10006307611.219534,65549794.872397624,979611873.8019825,7944.6811070589765,3.2197853509767937,0.2094080774770605
2300,10007191971.79933,67488071.36449383,985356393.3964996,7125.1348989883345,3.6904954253111897,0.21543057870396246
2400,10007197516.53412,69384553.25411704,971159767.5076519,8655.458827627304,3.6197813080048076,0.2447977098382571
2500,10007257314.613445,80148428.29790172,978863088.3203988,10161.283597343368,3.714238218288453,0.23924511709266538
2600,10007843709.292961,78491905.23262285,971514971.5407702,9026.681526258,4.067741381372844,0.24932697028173728
2700,10007780737.997864,78168530.00231323,973844604.2555312,10012.146071899511,3.8827714505559823,0.2553861822501914
2800,10008675102.288782,85230178.10537179,997557150.2156891,11938.2039474831,4.180837218358784,0.2757155579988028
2900,10008875345.51673,90233076.35241704,979816994.7775215,12145.260392442913,4.169950419053942,0.29309922539851985
3000,10008548501.721724,86688143.3351971,988563476.0055056,12848.151060009788,4.557718017016865,0.2909877648995595
3100,10009132495.100925,91066763.89878923,988593590.816577,12887.594121311415,4.775750812342153,0.3133679174566297
3200,10009113371.350657,98427521.7231732,977348369.9206867,14939.757203562185,4.658744413255089,0.3182027408557314
3300,10009590021.5874,97177453.41641746,972942004.8655766,15239.861759009966,5.164062828333156,0.32054783277658794
3400,10009929009.777979,101207927.95896085,974738009.3240399,16734.869918019263,5.265616579035794,0.34183851577314905
3500,10009685297.398804,102535834.44323665,975174415.8758608,17168.7418650915,5.121284916306149,0.3390194831663059
3600,10010075238.368486,111658869.42793678,992796129.3135988,18825.157331595317,5.188694606064523,0.3483405766016979
3700,10010866048.444153,109003011.91563429,974958436.6175781,19665.52697227099,5.587778155448817,0.3562225330368902
3800,10010527781.280346,112344467.65785913,988367678.1588745,20212.275360888583,5.528363340329159,0.36672903096421544
3900,10010854458.006203,114320784.8011981,980697249.3399973,21481.14252851825,5.773950198091395,0.39308069044293326
4000,10011423555.553198,122640364.2007677,977879817.0069907,21688.533067593977,6.099446798879867,0.374835555150486
4100,10011268812.323494,123270942.54537465,999912514.6785518,23557.792156580428,6.303834069046735,0.4022092947690691
4200,10011299135.64722,127309770.783078,1001382861.0193313,24587.348931358658,6.474824627576805,0.3937305507351765
4300,10011450737.02224,132943071.6079724,974178380.7234464,24840.401249511764,6.512409072099883,0.430577692333258
4400,10012017658.002401,133722516.34583236,997501893.3391372,25653.435352203844,6.408065012272538,0.43248993759651694
4500,10012415044.727497,130477404.99211256,992662748.7308241,28076.770274779446,6.830166616391272,0.449554601787061
4600,10012299947.392645,139558572.1616726,1001524567.3492298,28333.640945025058,6.872156263976141,0.4350366594002067
4700,10012401451.876053,141574463.4720418,991296976.837332,28574.52421691306,6.889394421521887,0.44506442706828514
4800,10012926400.195116,142383382.658237,1000950494.468294,30451.404988819846,6.975332426206862,0.4666951401084999
4900,10012821422.01646,147007258.4256601,974301621.6342416,31022.436725149535,7.2915047298899145,0.48281147872776486
5000,10012889390.097382,149058379.84376502,986015752.0647516,32167.503831333448,7.4427261065740025,0.47052191282010125
