milliseconds,T,C,F_beta,F_gamma,M1,M2
0,10000024810.97716,3538111.080975906,10739998.198385876,-785.2978409348557,0.21890758777081448,-0.011833006520820465
100,10000492036.573578,4737399.9188886415,491019150.6447632,247.32509388739382,0.22653374709993596,0.013696385979819266
200,10000343376.655203,8385515.84794041,730445597.8116641,651.9889491609555,0.46852247354403276,0.023268946554461333
300,10000920414.609568,9163120.965645209,872295663.0035348,597.7920845283381,0.3650103739476657,0.022055469919392886
400,10001363536.776476,14033757.349524058,931733408.6126202,12.32858842925367,0.7963828374446617,0.05252748162154701
500,10001749870.193024,18584129.402688604,941529279.624826,1116.1361022429041,0.5968468256230695,0.06251384650375821
600,10001811852.704456,18346189.60170327,981528097.4831563,207.0579739117277,0.8748517632225647,0.07103397757120891
700,10002218004.769388,22152423.32704353,981429126.0801868,1393.1145549999678,0.973611193330491,0.0734517725830373
800,10002527389.03639,25009841.954349406,973196848.4466039,1367.193291618254,1.2735169876136807,0.0853478117372913
900,10002931895.083252,28359695.48594286,992634460.5699297,628.670713887719,1.5556910350460296,0.08775286632286948
1000,10003412066.298555,27989991.54045336,983758354.2423879,2408.588646720789,1.5743189437036325,0.11278878675100805
1100,10003768156.029327,32513386.596768826,977409143.5860641,1745.9140677567239,1.8096372918212573,0.09854375218108967
1200,10003471023.35997,34847344.49551828,988883533.0670142,1779.9525082128262,1.6482040479325646,0.12466244603901869
1300,10004158000.714062,39765897.01999211,976253111.7526453,2968.6523912045045,2.034105231080347,0.1243114837731391
1400,10004623783.239363,47418759.263734646,991929783.801716,3834.2563664382706,2.0023588198386157,0.1394424796589956
1500,10004862055.419035,44625951.123642065,981612896.2047396,3399.990543651505,2.191321106725654,0.15582817865502877
1600,10004564227.193333,53689063.09002918,970665379.2731524,4632.095045569169,2.435245927930351,0.16017349240274223
1700,10005089640.989851,50767745.02472107,984244060.9392136,4008.9173413338917,2.6561534039411803,0.1664407152226354
1800,10005428850.910467,57336196.64955698,1001199618.9146899,4234.178575091982,2.624934571140256,0.17260431638073548
1900,10005493705.942034,62334670.79174394,992826241.9230212,5453.212838572936,2.8561172955438625,0.19658081805288913
2000,10006200359.707546,60746594.26830855,976790301.7866939,5176.271544350019,3.116796801288639,0.20612077533898387
2100,10006351841.01428,65103964.15562432,994771041.6451873,6367.887484653366,3.051832138710877,0.20009174741151775
2200,10006463359.243366,63641589.299275324,998050362.6415839,8070.865814638648,3.461068779411621,0.2104380262420851
2300,10007345257.009045,68722298.32830177,990303406.2667831,8752.692343224546,3.3371093031964465,0.23847163281365905
2400,10007429597.186052,77024903.35392693,994759264.044436,9532.090338562051,3.5479202030569246,0.22323722572937035
2500,10007731239.371996,75390317.70965347,990548285.6387943,8803.572843984579,3.7152450743430636,0.2374252700132618
2600,10008019128.312246,83276862.4244849,992142799.9317689,10497.356618966647,3.763516506366819,0.26561198994101776
2700,10007878791.86141,81385924.56979796,989502370.5271235,10073.012530631106,4.285395920177696,0.26246465722545187
2800,10008343962.74549,86109421.8355365,989891578.4252684,11360.722216323538,4.3518643679867965,0.2787670169298405
2900,10008842754.798677,89569016.22783408,1001094328.5070844,12107.90838225468,4.488460118464665,0.27611833096982835
3000,10009054192.862835,89729623.05879472,979647372.4649897,11924.898243351316,4.469128173769879,0.3067205188744147
3100,10009290291.740763,97182337.15533134,993900803.7182512,12954.578720561633,4.840642753967182,0.311765169054226
3200,10009120418.904264,94471116.31119378,982724748.3968388,15413.335650831565,5.018690576340315,0.3235402356542891
3300,10009192675.231077,101097547.41289508,978720528.3530188,16280.283334167369,4.9243102061642485,0.3091109072105909
3400,10010091707.44209,98412551.80260582,991636658.6325825,16673.68510022607,4.9565656749304745,0.32052584785113813
3500,10010372733.081976,106282387.45389459,998582943.3445216,16761.52520867291,5.32191933766464,0.3271994320415113
3600,10010236852.89418,107172829.64539838,997838206.1475067,17250.25129014183,5.433724036049699,0.35306094844171476
3700,10010330310.985878,113095913.45419113,980405020.0478873,18420.249115866118,5.463688072740305,0.3486463771491256
3800,10010924207.040071,116226959.44399816,986124088.313566,20169.934676415854,5.775513837957016,0.36388205763913595
3900,10011133951.523558,118219335.04910284,995976051.4710256,20867.27874721517,5.974538360581997,0.3877184796757525
4000,10010829672.493328,118994043.20297982,995232879.0618008,22193.037850416415,5.9174255934734985,0.38031926669659505
4100,10011238842.785408,120004225.4178115,1001781717.8435625,23848.74089046791,5.950638243183944,0.3934697145885367
4200,10011831233.921736,124519800.50704703,974558617.5973849,24733.14776593757,6.361648096325735,0.39923486372738337
4300,10012135956.833359,131886072.25962545,999385714.7364879,25115.98965671521,6.5130256289883945,0.41625707385436894
4400,10012289796.748798,130406363.93229619,993182796.63557,26260.563329214623,6.548724895847982,0.4275634094066362
4500,10012578622.499298,137500511.62665585,982126523.5639217,27236.6382216878,6.58852590968392,0.42807357186558825
4600,10012545477.235487,133977471.6791368,971418947.5153358,29107.775467480405,6.69840710128074,0.43959299022803017
4700,10012555821.46595,139486436.54581696,976087329.8586061,29532.335816132545,7.021139216399397,0.4572685581043863
4800,10012617255.520605,145282597.328309,991079408.8844737,30417.571040362734,7.349787901225559,0.4559821361231192
4900,10012642360.07386,150733363.3749729,988490693.5315242,31306.524081475676,7.182671618264967,0.4706883656901974
5000,10013326484.917795,148001645.92365563,983381830.685686,33059.52321147531,7.614915819080425,0.477340194060601
