milliseconds,T,C,F_beta,F_gamma,M1,M2
0,9999889802.450724,5825202.192576107,-7233573.159662387,-1010.1089398567464,0.2097818173905278,0.0031563173449971715
100,10000532881.536097,3547880.1949316207,490508933.7264087,707.1701528828521,0.31420258915454324,0.0013493546042401099
200,10000322430.868582,4569163.458893176,749304557.157312,904.4226952453287,0.43438632388748116,0.03420235553523184
300,10001259161.518208,14239403.808685128,861198264.5377921,271.6435342748045,0.297998802093171,0.03294809915104062
400,10001428308.964437,17912717.148048315,912280370.5079483,1095.8859501287907,0.6784342972320289,0.05402366766920186
500,10001213087.968473,16871165.2926062,950605974.494842,857.677276677875,0.9656986179904052,0.056770317665718946
600,10002083553.010994,18339449.20174858,960272109.6486663,443.3936455171231,1.0014414541107288,0.06225427267215544
700,10002358543.14699,21786478.315287534,977465204.5832372,1481.4670450849273,1.2696476225397577,0.05648213903884227
800,10002373084.840021,27677474.553293608,993422930.3914397,990.8538560572852,1.2121098048539354,0.07260187727355481
900,10002974248.821926,27091402.91842262,993806791.3910104,1500.2425954996538,1.216365598918825,0.09064548769662042
1000,10003126489.541397,30909028.75372849,992608614.4194022,2573.817160029468,1.309374284833879,0.09383607282391264
1100,10003252757.263197,36122668.03030531,987703232.8516983,1034.8089698642411,1.8165006540024358,0.10915515495831701
1200,10003435108.166239,33599904.7506811,990481929.5923104,3145.8017433244077,1.9936174349623352,0.1061377612510904
1300,10003801834.46455,43551779.80686567,986123108.7515863,2026.2348422537375,1.842889526220106,0.13588847252403435
1400,10004107937.092472,44356437.03062954,993766631.1275544,2384.9126809118934,2.094241299336356,0.14478468163644703
1500,10004266219.993134,42377848.933672875,991917533.7490925,3394.5819721708936,2.446361706759661,0.16189971804672573
1600,10005261008.909481,51161483.34240769,1001622275.3002988,4474.244240867349,2.3159477181862926,0.15831657499812996
1700,10005539198.551659,51992173.73364017,991301014.5624709,5152.04406116949,2.380249412039571,0.17723343673279746
1800,10005741593.679852,58662594.33331422,989746729.7578825,5085.145816358527,2.766759717026405,0.1681302170405592
1900,10005792371.55052,57918345.850841805,982215999.2749257,5244.885873097458,3.0556296234026665,0.17832293986562303
2000,10006014711.621338,65182294.154209696,975971487.9034348,6991.03428431726,2.824606415902471,0.20501497588754963
2100,10006518993.705267,68328023.04060231,992015313.6756138,6958.14205052455,3.3541289870160904,0.216408182634107
2200,10006398495.039383,66929148.8261828,994788655.3891321,7319.543486558552,3.4561326571952247,0.2285302887245767
2300,10006920705.977274,70844593.85426883,971669646.1106242,8007.3733432981035,3.467316365640568,0.23823452216771754
2400,10007439066.636637,70284496.17928725,987849720.7923095,8982.980376129302,3.6087327745151847,0.23205679630730447
2500,10007164023.513103,73124892.04619992,983758036.2391304,9627.920948233284,3.788264554549619,0.2332006920936936
2600,10007781662.99798,82893072.36193217,976051663.0558695,8893.656024142316,3.7918141580227553,0.2502218894758177
2700,10008300945.181059,86192978.3868087,990249398.9640326,11294.600144854961,4.102445560835429,0.2600679569464612
2800,10008110174.99813,89400584.83702834,978819678.8226327,11431.665452872214,4.259559285574835,0.26841637261229145
2900,10008348551.056221,85369792.37378435,999718645.5496002,12324.268346669198,4.169101724360277,0.29285310143405635
3000,10008800067.015663,93110928.80787994,996144219.0778364,12557.98274516088,4.544524724859385,0.30589045721572233
3100,10009360622.77891,93547046.57712768,980557781.5746075,13186.60428513048,4.5659410759760215,0.2973504675337466
3200,10009569198.971186,94641112.33117828,976102944.0249721,14785.823531360955,4.801801804620704,0.31936250739765226
3300,10009199576.886574,97072928.72156614,982643283.2996267,15239.48793553461,4.809400016105323,0.32391738382813196
3400,10009501370.217083,101222399.51340467,994046524.2926816,15260.740608513659,5.188144401361363,0.3210542321697056
3500,10010095249.219696,107543703.10301015,993721266.7462299,17520.720379985913,5.207933142282135,0.3448566154538943
3600,10010589091.857168,105654790.574938,987837662.5218577,17070.27218375434,5.213255815903728,0.35868670639912387
3700,10010285379.313044,110136792.17431757,989245467.9117455,19529.47848326603,5.483324843509545,0.35371010407634007
3800,10010440381.726719,112218355.34141274,990667553.8483737,20874.598380600906,5.781615478810634,0.37859756802882233
3900,10010961088.408064,117947694.87684622,973212333.5699755,19960.69810522539,5.822721972307135,0.3887826532295674
4000,10011235035.28405,124177273.11928697,971605292.1657822,21388.935155408108,6.16799805048081,0.3947819931036691
4100,10011158565.581081,119007737.94883053,977556031.1956693,23540.157384993687,6.305195759034513,0.3926819240587406
4200,10011612960.685114,127034568.94905636,992620803.5619552,23627.146855590872,6.116863461750247,0.4168124976760003
4300,10011602910.356134,124918926.44961333,986422833.7046517,25036.293252072785,6.467920087380253,0.4139918383599825
4400,10012062012.575329,136159990.58893517,971966499.9827774,25924.741974036748,6.39034176186768,0.4242792345722624
4500,10012315410.437073,130470483.91545644,975273330.0881416,27112.643116570714,6.547115833138099,0.43075357716486956
4600,10012777554.532558,137963128.39663732,987676589.6744109,27760.26749797201,6.794180805022488,0.43819502035791463
4700,10012942366.541506,140871860.98353428,999274296.8720155,28803.994302117822,6.898399603375816,0.46120784762811573
4800,10012585886.791937,140085520.981895,998480121.7321147,30072.625785344382,6.956774795422332,0.45861967561756267
4900,10012690134.433918,145528267.66267562,977959849.4546932,31497.35066949482,7.160141253773554,0.4847580630919008
5000,10013017565.373522,147554293.9444953,997346662.399092,33658.54174800301,7.4430192580878005,0.48525697896057224
