miliseconds,ERKc,pERKc,ppERKc,ERK_ppMEKc,pERK_ppMEKc,DUSPc,pERK_DUSPc,ppERK_DUSPc,ERKn,pERKn,ppERKn,pERK_DUSPn,ppERK_DUSPn,STYXn,ERK_STYXn,pERK_STYXn,ppERK_STYXn,duspn,DUSPn,u_ppMEKc_tot,ppMEKc_tot,ERKc_obs,pERKc_obs,ppERKc_obs,ERK_ppMEKc_obs
0,567.301776250001,1.9531450716197165,1.5599961469521724,0.5548237609686859,-0.15982627405755928,100.21053361239925,-0.2299549883576052,-0.5076522876884569,1640.719131796703,0.02548626006875629,-1.6492310571527389,-0.03087622972897113,0.11223354509036598,3016.9217430309145,0.21667814680942357,2.510784690761977,12.542780206741766,0.9974383143931491,10.014527967681595,1.0,100.0,570.3081966201204,-0.2600738853892957,1.1632754116133925,-0.41226005198250404
100,441.97659150444724,42.88347325474857,-0.08363790385199987,50.754085666862764,4.4607208268056295,78.34393473963226,19.567590190195745,1.8578577310783402,73.7785271500095,0.36211081418395674,-1.0466513097057217,-0.01902982550147311,-0.00840974956039932,1409.3982401367807,1595.2153453297078,8.070435664081815,-7.519672228764311,1.0156636602167686,10.121756849666962,1.0,100.0,449.96388875043516,44.58768323904575,2.919765512483507,50.56658368756368
200,384.200286094463,80.03543076219896,8.006034890990367,44.7643831409338,8.862129213520307,63.91498526677794,31.66221975014089,5.97532871541564,78.7491880550523,0.4249919340610335,0.8255202203043343,0.039005640405866966,-0.073827476958305,1395.3675574449642,1608.0457271284017,9.572276018863558,15.624145240350096,1.042496044183,10.027399331827214,1.0,100.0,388.7915950954987,77.66292247721347,7.992888233313605,45.46596812362687
300,329.9950355218528,109.84965271648782,13.94143946864029,39.555773267031306,12.6486536864565,52.837284966127456,35.80759724761946,10.956090819191386,74.14231201751647,0.8698845316757796,-0.3508507095368763,0.026582763369320226,-0.04783281775911272,1387.4668586914474,1604.8099399038272,3.4706063422285434,16.373343411191843,1.0656903086506002,10.132962251806335,1.0,100.0,337.86638045396353,108.88279666191313,15.959755057677935,40.06202129783849
400,281.5538416197691,133.19622079829304,21.633249891227756,35.87107552541823,15.949765201492946,44.420464552042446,37.52352394187208,18.013449838072212,63.75747735394856,0.2251922053562062,2.576997372387947,0.0627882850038885,0.15208287353934732,1360.389265893153,1626.6241095847986,25.544590291917146,7.015550912160678,1.1140538468431054,10.130546778592466,1.0,100.0,283.803100954229,134.2983282938693,21.775713510878248,35.84320105371449
500,247.19669218528668,152.5898575555275,38.62263081297031,30.932733266212907,18.70117109645991,39.4963276236297,36.96479390861455,24.29436887526939,75.1395677896752,2.033463784216826,1.613752679458801,0.08343741238922583,0.16227540724030973,1340.062497092413,1627.6620668877683,19.704406894925754,31.64067567822201,1.1164124698658446,10.212838079656995,1.0,100.0,251.42259653342202,147.59660661134257,35.31447182441332,31.745405840696336
600,207.54955778748325,158.4190736789571,54.98520202755878,28.19046655682675,20.607173359674967,35.50424553728973,35.216142509737836,30.322369250091405,78.63484172556504,1.090398206760868,1.7920569669207524,0.06445684534475969,0.026395767041812235,1314.8627475094643,1647.5521642476256,31.202983569519226,24.654266195528045,1.1348309177066647,10.1404413132872,1.0,100.0,210.55596201946165,157.6525449904232,55.89726680202808,27.951360393092628
700,176.66383336233912,165.71320038964765,69.74155190729422,24.902799446591633,21.87722657331479,31.82012730688836,32.18795086500266,36.72897769689458,81.06521557521879,1.363083703521942,-0.2993185883083789,0.13942125131529745,0.23530984685663112,1260.4017084343616,1645.3064189050945,41.972379673657805,35.45696499019793,1.158423642539157,10.090337181406467,1.0,100.0,182.01932465531326,165.4908114045714,71.71432513679557,24.956666396153363
800,149.83636269459615,166.35429185792427,88.0921551532434,22.114788162043453,22.924679486194727,28.352663287170145,29.92772722457691,41.22605700363469,88.85107336943514,3.041044818829217,4.98804565238954,0.1082276552664462,0.4562136867604564,1225.2409186968805,1638.1964548980982,57.545122037942306,58.20215447447554,1.2072889351220242,10.103596312552035,1.0,100.0,159.43225917329391,167.22196072035268,87.16041620389306,21.403637530409885
900,126.78473084522562,160.29878372244184,106.48420647879958,18.47963795696848,23.58468725074368,27.194507684490087,27.322696142940213,46.406130165962445,75.20618414308876,2.4586111077254964,2.4787483210494536,0.1782433027815343,0.4882878143259689,1195.7188349789333,1628.8641614239755,68.1811219682478,87.1926866676208,1.199879024690129,9.945853028791355,1.0,100.0,133.27376858708945,161.00992025509336,106.34792201170902,18.464584651168952
1000,116.08596253672263,157.06933658260976,121.28606484580416,17.106179619619997,23.449775886285085,25.371453546085473,24.72539625889388,50.396526828553654,87.10463289472504,3.864936352291031,7.723570150795016,0.16578194701174734,0.7301394028067778,1161.101184298444,1622.5175132197214,81.77141329461257,119.24129445103259,1.2338044996594757,9.934595172528438,1.0,100.0,106.71115825123337,157.26970765835657,123.89352597449802,17.019294628274725
1100,87.87630690687435,149.07105036036558,141.81603382725075,14.560042588807113,23.144953504023736,23.555165545286027,21.444206484721917,54.905305546683444,78.2935851473583,3.860783795300289,7.0327929554979605,0.2138391609375743,0.6557507343600747,1114.375886744885,1636.9967351510825,78.33004737806536,157.54301809908034,1.2708798247963509,9.801636205840515,1.0,100.0,98.62782288954145,148.1613429169846,140.8453692403186,14.316998034880104
1200,78.25469664721317,135.10430926160876,154.10470011155877,12.432401345156414,22.655431299119734,22.40077916916669,19.190811878367,57.34630974521072,94.69100878873176,6.228489732313505,10.62615100892131,0.2685896953737735,1.054809926337741,1080.947321305112,1633.8015520057484,92.60099009598828,166.475986930251,1.2937436984760695,9.511026564778891,1.0,100.0,80.37251464280422,138.70009483781917,156.00210327519437,13.29341115618566
