miliseconds,AcanmRNA,ADAMTS5,AGEprod,Alk1,Alk1_Alk5,Alk5,Alk5_dimer,Bax,Bax_Bcl2,Bax_Bcl2_Beclin,Bax_Bcl2_Beclin_I,Bcl2,Bcl2_Beclin,Bcl2_Beclin_I,Beclin,Beclin_I,Caspase_A,Caspase_I,Col2mRNA,DamP,IkB,IkB_NFkB,IL1,Lys_A,Lys_I,MMP13,MMP2,NFkB,NFkB_P,p38,p38_P,proMMP13,proMMP2,RAGE,ROS,Runx2_A,Runx2_I,Smad1,Smad1_P,Smad1_P_Smad4,Smad2,Smad2_P,Smad2_P_Smad4,Smad4,Smad7,SOD,Sox9,Sox9_A,Sox9mRNA,Tgfb_A,Tgfb_Alk1_Alk5,Tgfb_Alk1_Alk5_Smad7,Tgfb_Alk5_dimer,Tgfb_Alk5_dimer_Smad7,AggFrag,Aggrecan,Aggrecan_Collagen2,ColFrag,Collagen2,Integrin,Tgfb_I,IntegrinCount
0,1.3004939634473968e-23,4.984904275733444e-15,4.9672340026334564e-08,499.44792239635916,-0.5158487833510668,499.20906304494696,-0.3438034519145389,-2.9769013864154383e-06,89.99844326906997,10.001881915579366,-5.510452205968718e-12,29.984453779715185,24.999664833046857,-7.952743416635064e-12,74.99897379295086,-1.0459929970935193e-09,-2.6776765474009973e-07,100.00000023062795,2.744845951665054e-20,2.915670181863645e-05,8.966510137973904e-15,99.99999321570556,1.3085780633580596e-11,39.999997354560996,359.99999936069116,3.4298299004644404e-20,-1.27720279716186e-26,9.887772009843331e-06,2.2935739225380532e-09,100.00083321345777,-0.0007052678994674014,1.5309179179723718e-16,1.1838940108246925e-17,-7.572279548177026e-11,2.0000079738255083,-2.0503712734671062e-16,100.0,600.0000000000001,-1.680080723423133e-13,-3.7575343305948754e-15,600.0000000000001,2.707889558777465e-13,5.667657129696113e-15,600.0,1.6472673061163337e-19,1.999985747854573,99.9999999946686,9.376813647950027e-18,10.000029555721591,8.189965322051811e-09,-7.29731753997457e-12,-5.528329294478961e-29,4.1453376140898404e-11,4.843673421943281e-33,-1.828283876659165e-21,-2.599320933116338e-29,1000.0,-3.6368794594233863e-47,3.947140825275896e-21,-1.046677454458476e-08,199.99999999761602,1.822340605002368e-08
100,-3.285708846249946e-23,-1.885936240610037e-15,1.2794468576765878e-07,499.0661196850374,1.7006414433703545,494.05087318868664,1.7946364692821528,0.0032966537361855744,90.00666577740749,9.994252486435927,-3.2150576804021874e-13,29.974489239314284,25.02726328804018,4.192003082988582e-12,74.98640114503054,5.3159577182795624e-09,2.1668336333048176e-07,100.00000020093348,3.281995625731775e-20,0.00018644040465016639,-4.822673503508666e-13,99.99997594219484,-1.072558797445081e-11,39.99999825095652,360.00000236584503,-4.505839321927321e-21,-3.1185420115061306e-24,1.3839033935489331e-05,-7.61838593537762e-10,99.99722871159548,0.0024941022103567934,3.322559183367945e-16,-2.759638319980513e-17,1.3250401285951642e-10,1.9999329485256123,-6.00846200769695e-17,100.0,600.0,1.0947861597929387e-13,-6.402005527259076e-16,600.0000000000002,9.54239082792562e-13,6.909652810344224e-15,600.0,1.4031923145239561e-19,1.9998770265278334,100.00000005777545,-5.278542774115076e-18,9.99985101675135,-8.447400223855232e-09,-1.0441301757553205e-12,-6.395202957988248e-29,-2.0621513500931095e-11,1.9060077640341394e-33,-3.542392173846901e-21,2.555523886247347e-29,1000.0,4.1533997011676377e-47,-8.673214845648719e-22,4.996463280171854e-08,199.99999998625532,3.6679193069774735e-08
200,3.3851243212242465e-23,4.678425469234509e-15,2.0912951615356145e-07,497.64917190153716,3.0654419048602706,486.7192337752825,3.7750120297661045,0.003344010385844332,90.00906565548091,9.981641266766724,-2.2546362734480473e-12,29.94428827999934,25.046285949391198,8.798715778059285e-12,74.97295894208496,7.758435087867847e-09,-1.207634156578152e-07,99.99999990045045,2.894459674949247e-20,0.0003750643712836041,-1.8944780851022937e-12,99.99994614222149,-1.275172503241408e-11,39.99999402990613,360.0000077257314,1.0559165627297249e-20,-3.540380927610769e-24,2.656446839579469e-05,1.5529098442086688e-09,99.99675643730795,0.003735600301551527,1.5263275632361455e-16,-2.685152723201258e-19,-2.043756014040944e-11,1.9999028088861932,-2.7061438240842175e-16,100.0,599.9999999999998,-1.3730800856463306e-13,-2.7265721250828928e-15,600.0000000000005,-7.349696486191304e-13,-1.6047486229657346e-14,600.0,-1.4488040719022926e-20,1.999616501565101,99.99999996384977,3.996331527696317e-18,9.999828944087282,-1.98730839414363e-09,-3.6138896025322642e-12,4.662400240341455e-29,-1.480436677470248e-11,-3.089349299647752e-33,-3.3968489641393276e-21,3.5771757957034275e-30,1000.0,1.0928302290317359e-47,-2.410211427603105e-21,7.684717262043143e-08,199.99999999464464,8.558492866030868e-08
300,3.7560413457266647e-23,2.8885585728468677e-15,2.651132849139736e-07,495.95688050645066,3.015009728048891,481.80762808813245,7.868605566433864,0.003340904941879106,90.02063957199763,9.97709955600034,-2.0036522682226883e-12,29.921452727840403,25.064283491317592,-4.034310358428503e-12,74.9700686670943,1.343242808624398e-08,1.4056013309753988e-07,99.99999993178626,3.1502498410481357e-20,0.00045329232837176776,7.196873631129184e-13,99.99993492634923,9.648308191506569e-12,39.99998440682941,360.0000117183162,1.5490491876552404e-20,4.9306265689262696e-24,6.271647902497187e-05,1.0550812637418982e-09,99.9943178403906,0.006548465076406255,-4.244745645550516e-16,-3.6666065346392675e-17,2.1225297297199094e-10,1.9998020046933453,1.7689685280699656e-16,100.0,600.0000000000002,1.5393248811684942e-13,-9.908419564031605e-16,600.0000000000006,1.4124360876910618e-13,3.7246705492286515e-15,600.0,-8.509143587547503e-21,1.9995257526342074,99.99999992055176,1.546626155956259e-17,9.999702149551375,1.3265509426909913e-08,-1.4898793650196806e-11,2.03521649942174e-29,2.404691766487177e-11,5.456908317564119e-33,2.2175616814603778e-21,-1.367339956782766e-29,1000.0,-2.9960228962722145e-47,2.8331722656614674e-21,1.29348684767667e-07,200.00000000690366,1.2642763101972955e-07
400,-4.462543865832117e-24,4.817625736819145e-15,4.030782199291119e-07,494.507931837842,5.211271277399052,476.78410673211835,10.458409410759227,0.0033554654013316382,90.02521002325035,9.96922339478848,7.900297185952762e-12,29.889975290013034,25.07311410589343,2.166439202839305e-12,74.95236089611454,1.448558424529007e-08,6.532531758701343e-08,99.99999983911098,-1.4305337605517486e-20,0.0008031866534439736,1.3801992843276344e-12,99.99990954853659,2.4242430243368503e-12,39.99998299326951,360.0000149731856,-2.1049768473374272e-20,1.3806911128607718e-24,7.165790840360556e-05,1.1367544381618427e-09,99.9931906641369,0.007565658023906782,2.3842689144915506e-16,-2.2026536399672276e-17,2.0433111006403936e-10,1.9997404830695582,1.462069012305903e-16,100.0,600.0,2.5683214187358462e-14,-2.0477940013195877e-15,600.0000000000007,-3.888934867532534e-13,2.1502086846219363e-14,600.0,2.0757604268245066e-19,1.9991863628901638,99.99999989240744,1.8004963829580752e-18,9.999558266289009,-7.531378154106145e-09,-4.691048185422536e-13,1.3335988119448455e-29,9.734840919219691e-12,5.5828919982809946e-33,2.6902419163388053e-21,8.354391425026633e-31,1000.0,3.2543081687798137e-48,7.9824597276768305e-22,1.6664166030199353e-07,199.99999998666334,1.4676857040860325e-07
500,-8.147039388641541e-24,-5.245407892675519e-15,4.4299923612922135e-07,493.45473033647994,5.462475236742657,468.8141713251606,10.947807349216141,0.003323860236065975,90.03646838521027,9.969010115038015,5.355380422399303e-12,29.872537323780573,25.083940398663625,1.5360822040703495e-12,74.94290103401788,1.852108692026938e-08,1.138906862566069e-07,99.9999994907394,3.264257652320662e-21,0.0008727320708356531,-2.009338390820894e-12,99.99988917023747,2.4221016700918347e-12,39.99997502354326,360.00002056836087,-1.614237187272793e-20,2.3905210277806788e-24,9.232193034289438e-05,-4.2310088842397345e-10,99.9891987461954,0.0099331839284849,-4.1061766697122637e-17,-1.3151234679024669e-18,5.23065570288775e-11,1.9997005224704614,-3.055142028813621e-16,100.0,600.0000000000001,1.2961197839230098e-13,-4.895514216804841e-17,600.000000000001,-4.5331416222146863e-13,9.504813645521388e-16,600.0,-2.587025316483256e-19,1.998906018298241,100.00000001426876,3.5460653533907784e-18,9.999507892968944,1.3395760058284065e-08,1.3852430906553185e-11,-5.406631498786878e-29,2.3518390974271095e-11,-4.1683740649580106e-33,-4.712430400221094e-22,1.3620402751205429e-29,1000.0,4.624042892552969e-47,-5.918768099576255e-22,1.8725634898806384e-07,199.99999998676276,1.8123752119130748e-07
600,3.649202740274818e-23,3.8549832935888615e-15,6.024424763016156e-07,492.7093782144721,6.820375282103247,466.26846908251287,13.35488438333656,0.0033613203613821765,90.03961402736154,9.955615523165124,2.176426126944666e-12,29.828300585181726,25.099232570101673,1.623186212080985e-11,74.94466565591256,2.3909071087460306e-08,1.7846660458256814e-08,99.99999971080453,3.117206980098255e-20,0.0012611956601200937,-1.2086249464941953e-12,99.99988385304901,1.181529429705164e-11,39.99997468235176,360.0000278663845,2.6258452053189193e-20,-4.7472822668013545e-24,0.0001086561517394656,7.430525442627361e-10,99.98909559154899,0.0127930220977129,-3.311940434247992e-16,1.2846753565041554e-17,1.4120898793879037e-10,1.9995606473946361,2.2896773167549547e-16,100.0,600.0000000000001,8.016112667873998e-14,-2.016338659251477e-15,600.0000000000002,6.42103037564761e-13,1.9769237261287073e-14,600.0,1.1167782668343572e-19,1.9987900637848974,99.99999983824408,-1.3180852877037099e-17,9.999340551932052,2.7827373734085066e-08,6.053035197588147e-12,3.188560609881097e-29,2.4459875602728424e-11,-3.2738301902447065e-33,3.50754931849368e-21,-1.481766769700233e-29,1000.0,1.8332183542170267e-47,-1.632563972942158e-21,2.3670833434044713e-07,199.99999999417875,2.2397159913318483e-07
700,-2.37748052118215e-23,-9.795658289987537e-16,7.192720991735719e-07,492.12555414949935,8.798200862662513,457.30083296265445,15.900678088715855,0.0033692331679768314,90.04821303793622,9.947897427638614,1.6034509664614865e-11,29.811191729724367,25.12035171698561,2.916009054500116e-11,74.93201371589088,2.615547051407128e-08,2.539919700047506e-07,99.99999940911876,2.6209420182901524e-20,0.0013744765656535686,1.4188726618625918e-12,99.99985271665588,6.7296873749281244e-12,39.99996742471309,360.00003010036517,1.2952010045916594e-20,-1.6311635494076895e-24,0.0001465798235940944,-6.94668681338133e-10,99.98589834062005,0.014295783066914269,-3.0059133797200193e-16,1.3986116044453185e-18,2.8136284531432357e-10,1.9995092156918197,2.165605188055587e-16,100.0,599.9999999999999,7.017774819757457e-14,3.051018505045817e-15,599.9999999999999,7.056389513339415e-13,4.008455628830349e-14,600.0,2.5885077278441554e-19,1.998472984023204,99.9999997980913,1.7206521290641512e-18,9.999301610832267,1.4382514951683346e-08,1.194312503893763e-11,-4.589373664777457e-29,1.1045776929961944e-11,-6.430636452517421e-33,-1.6334905016550392e-21,3.766155866831011e-30,1000.0,2.3657330085614076e-47,-1.3927776315225455e-21,2.536674530870356e-07,199.99999997679427,3.0050535381425437e-07
800,2.411819224034737e-23,-1.8522436022480962e-15,8.20065900184562e-07,490.1150167214324,9.534286590084417,453.1599230107285,17.81583622526126,0.0033595539302057158,90.05515904446304,9.940207296964566,1.4215423312718081e-11,29.779627012690394,25.13322279312297,3.678325637292539e-11,74.91469477214835,3.111590749215336e-08,6.329849076161831e-07,99.9999992012407,-2.6360232878917946e-20,0.0017068999730680923,1.7673255807933825e-12,99.99985073210769,1.4506522499570563e-11,39.99996781092106,360.00003665383446,2.5794206544771903e-20,-1.120183426789861e-24,0.00016954749564295586,2.077114272190134e-09,99.9834317518061,0.015760300837658642,6.996164680320243e-17,-6.034072701505204e-18,1.873373102138543e-10,1.9994567351807968,1.6501594341283331e-16,100.0,600.0,-1.102020535810249e-13,2.78481830079883e-15,600.0,9.15105105734191e-13,-1.9813888329287894e-14,600.0,3.189316063781767e-19,1.998277812536349,99.99999993819348,2.8814580032886137e-18,9.999137882816937,3.217786978985987e-08,1.1413598134826044e-11,2.849063429721926e-29,3.5272056981928504e-11,3.7153116765472556e-33,5.162191633077567e-22,-2.219021274112714e-29,1000.0,3.018558182235888e-47,5.89010257972806e-22,3.153887026687616e-07,199.9999999810671,2.9271695170878345e-07
900,-3.5294024258367974e-23,4.429528966465263e-15,9.519950857317816e-07,489.2433780028089,10.504137985892655,449.4969039103873,19.66382480555637,0.0033670697920995586,90.05752987498481,9.936533947659033,3.0351163857789665e-11,29.751763018852305,25.153292210498215,4.738810804984232e-11,74.90198383441806,3.1583401952798376e-08,5.362133471382858e-07,99.99999915174519,2.467617646122604e-20,0.0017511239991449031,9.678009030183632e-13,99.99980907013519,4.124835636935788e-12,39.99995846173608,360.000036156743,-4.1399871586860555e-21,5.744750557577786e-26,0.0001789516152586373,2.4410340779975146e-09,99.98105033699647,0.017551530386972387,1.931580647699909e-16,6.573198590092664e-17,5.226161150151206e-10,1.9994502669189382,2.6183073595632703e-16,100.0,599.9999999999999,-1.513479412202601e-14,4.129486233589894e-15,599.9999999999999,8.203797053180828e-13,-1.923398292419689e-14,600.0,9.63955204807028e-21,1.9982551959070907,99.99999984511443,-8.187168595020758e-18,9.999178648592126,3.807371591620796e-08,1.2793038705991746e-11,-5.673884264165014e-29,-1.5622583658044448e-11,-1.637615908801844e-33,-4.1205139211119355e-21,-2.5836876326121497e-29,1000.0,-2.769512720378102e-47,-2.4172698233947943e-21,3.5809813984614884e-07,199.9999999647831,3.7599581787263796e-07
