miliseconds,L,U,V
0,31728.266015440408,988077.276037758,-930535.7042026554
100,4402.677547117493,1006961.313464143,-2436614.910787313
200,5704.288381356833,992321.5130863341,-3018672.540526507
300,10330.989002657583,996992.6319967511,-2031386.555403238
400,23037.48875936956,1003182.8767333213,897684.312907196
500,6436.463914793986,1009341.9759181148,-1239985.9783144929
600,-6925.668791029517,991001.9396582106,2463655.4029230573
700,13988.773981104352,971414.8852740315,-962757.9379536969
800,32175.78986921141,1005765.0364697453,-2512130.1251965966
900,9814.644055323839,1005247.7049513895,1156926.8691408893
1000,17922.853864197004,967949.2888865948,3423559.7065692283
1100,-236.32450718645123,980653.2308374441,569205.9020838115
1200,23618.21055985216,956639.2749856524,6732518.7296673395
1300,34615.01962608513,974652.9323554927,10376746.163494946
1400,78686.85144822288,896976.7115417697,26000571.790761035
1500,267400.6913370375,728340.7149040969,67757670.18046032
1600,559676.5840936246,428080.4247158568,123189386.80968207
1700,873757.559415551,116968.21567517385,161744866.3726955
1800,978890.2765158089,26468.958375909053,174671681.54691654
1900,1003224.5100022424,3493.9406075413885,175059304.3044496
2000,1019322.958132126,1499.3867686931108,168773889.22456145
2100,986182.1790536114,7531.097022702195,167892412.9680235
2200,992876.7526067903,-7196.642982284578,168759338.27425107
2300,1017991.0884594553,-5529.168595534463,167978683.1682797
2400,1002982.0212414231,-6208.250907676395,166771524.52812922
2500,1000067.3938714393,-18808.938399458642,162642751.4677478
2600,1007112.1220722564,4984.55426188772,162953932.04822165
2700,1020344.1244103501,1145.2214797242964,161556940.70982063
2800,1013905.622080859,21022.482769751714,158383296.21805543
2900,985547.9677816653,5554.0790479006855,157300116.61276686
3000,977789.1570760789,-20524.265755877666,154541328.98034874
3100,979499.7602736638,18855.037705526694,151828136.59441704
3200,1012626.037064216,-1133.9744624773045,148831366.43934786
3300,1007490.1552777039,9326.883597589547,146489372.0014981
3400,987941.9275073432,-9118.482535412562,150774344.9024923
3500,988293.4968208695,-14825.786569916738,149380659.79536784
3600,1004352.7558111323,728.143453313425,146930010.44664103
3700,985103.5949747968,-21316.745247579864,144692664.17221645
3800,998131.1429425853,14862.024811914796,144324546.71182838
3900,987011.5890983186,18534.93941066394,143423684.3009106
4000,1016846.169821509,16416.60933833532,137196577.1291544
4100,985461.291169432,20718.79491742605,141476280.9170914
4200,996028.5770335743,14369.023410198208,138195301.81133303
4300,1022410.8702565184,-18045.002602264867,135393594.56279016
4400,991456.6935054571,5062.47232593539,133653603.8091586
4500,1004661.9542571877,10334.338266644518,130509956.55274329
4600,1004183.499903045,5925.0946539375345,129506946.24899231
4700,997705.3946246371,28.920315271924096,132218840.24217808
4800,1001865.1564321175,-6547.735964753455,128599176.81830713
4900,1020189.309915573,12245.269042510796,128378659.9860331
5000,1005703.8969821178,-196.7660844959409,122823868.20354213
