milliseconds,L,U,V
0,13469.12089694711,981288.7819054695,168637.56402174733
100,-3320.7331802458466,978536.379554774,522160.481332273
200,10933.74706939329,983657.8466818942,971205.3657175844
300,-10381.305669833451,1011732.7396970701,-1772397.0958694618
400,15738.75834060963,971835.116557489,-2372848.682826802
500,604.263690233689,990996.9099219745,1547933.5073017154
600,-8703.904682775019,988349.3447288274,1820420.0709444585
700,-2815.4459284329114,986032.4741095114,-2276198.824059542
800,-3163.4758279051566,989260.889231974,-100552.89914596733
900,7826.319062227765,979635.6244202845,3376364.9184912406
1000,15317.870818659976,996419.8127806226,-701869.0988928473
1100,7658.276393500429,979090.5146538338,-230956.4034682617
1200,25825.00691051143,984751.0906151751,1618990.5198714985
1300,60011.571594321606,967018.7575917598,12834287.51999527
1400,97400.50511115216,918994.59838713,27639229.38515894
1500,238907.634023569,739590.0524602447,68345130.05800514
1600,586066.9851546265,410861.3276356895,123144176.72716483
1700,890461.1296863394,109353.70286628434,161217987.37810436
1800,995417.9444004938,25672.95045718046,174022175.3313872
1900,1009446.3132837776,20190.197683218536,169361379.28803894
2000,986127.2984850298,-4624.339022819063,170379396.29497126
2100,997213.5617266453,11445.225744769352,170943664.94644094
2200,1012450.8429374875,6207.083411117145,169698618.7360037
2300,990940.2924975937,-17518.769679721747,163493567.4997163
2400,1016916.2440669568,-4080.4564887482466,160775517.43608928
2500,1018799.7228421493,3960.912989066992,164192891.2693055
2600,991779.5059493636,6275.5746789082195,160402661.52201396
2700,1001356.8938116608,16776.14242775476,161876654.97084174
2800,991496.8580316454,8442.8419328147,157071237.6273969
2900,1019279.9619779206,7708.466091367421,157492486.92465517
3000,1004157.112694529,-12468.570000011086,156881199.4987412
3100,997686.9821863114,-2063.179516145429,152953926.30465648
3200,989948.7455918863,19506.84477306545,149699599.1298574
3300,1015509.888407593,-7267.144103598712,147152033.32244
3400,990681.2189380018,-20059.04766982884,150010107.25610366
3500,997155.3657014273,-19157.35557566567,148073802.88631624
3600,1020936.9995340497,15601.480206804195,145819747.1718793
3700,985089.6220354321,-983.5981584981889,141225460.8183931
3800,994687.7112403368,-2656.331708046302,142148734.7766494
3900,980525.9057026983,-10724.52158138276,140346849.10207102
4000,993144.0591776745,-12756.324939109956,139418514.32421485
4100,1008979.0336604945,7025.097818991153,140064706.45930192
4200,1009821.0654399703,9119.102315645776,133378607.1551712
4300,1010630.6357698331,-2022.876665643605,133793232.20149289
4400,1006263.551905535,16434.06817998506,130840179.86172111
4500,1017074.3912469558,-15488.059039454913,133948108.87512943
4600,1021730.7070760753,-8515.962581622483,131553174.65266599
4700,1012015.6273017601,-16264.866608943039,132702566.91206682
4800,999190.708074226,2011.5464440220164,130791865.29917823
4900,1005045.4829828147,-4991.439913343019,129036228.95429496
5000,983068.0022267575,2869.707047145187,123888431.83404398
