milliseconds,L,U,V
0,11252.268371982027,983191.7065076202,-2132562.761419183
100,-4692.206921747491,971675.2925393654,-2984493.281255968
200,4887.182536921234,976928.0405331465,1128002.4679518861
300,-7979.787375454187,1004681.6630287424,3218883.633784863
400,14044.225627316646,970513.473952997,-545794.0870955386
500,26113.726474454754,1010276.4880861719,3213943.553037319
600,12413.36823050562,1001568.773591301,-2522251.088421874
700,-4985.359565839999,996964.3174045928,-236822.0734561287
800,1644.105071280992,993173.1575675594,-2782647.922046307
900,17216.13153057371,982076.3424023098,-1060597.5933317526
1000,-7537.454650191623,975988.0012561565,-141914.2350043343
1100,23279.134461383976,982106.9367001562,392144.63370894105
1200,42852.01625221508,988129.493071831,5511670.137275441
1300,32275.599818883515,980156.3594593708,10742487.12457026
1400,85489.214849445,889280.0820707456,29785664.533042565
1500,257477.77228083642,730986.9063404814,67991435.82009874
1600,586565.3167432942,444625.84323166264,123661015.95058087
1700,848904.4853366008,132694.76823341098,163562831.54412413
1800,965134.514153908,42840.86408496484,168487195.25756863
1900,999073.2170752019,18430.728993324137,171645609.38177672
2000,1015626.5966516217,-5933.835660680962,172543937.6048183
2100,994081.499081084,21930.55102313826,167532286.38158816
2200,1022091.7605213566,-15908.973361947468,165463441.44096628
2300,1008762.7425169324,14544.547024146637,167113683.2140825
2400,1011511.4602545364,-9608.707453535044,163849107.73070753
2500,983395.5800872798,-2535.5301301841637,163121443.589448
2600,1018443.1043478004,10125.91027573552,161578000.2973588
2700,999410.0123372907,-11023.89756105822,156001964.68575802
2800,1013074.6107706458,-19789.557133306564,158497554.47387615
2900,1015131.7345138706,15732.40525646481,154145724.93283302
3000,995604.4453555777,-20064.65324488837,157370579.932424
3100,987759.6627570138,20957.8446085693,150969774.99990252
3200,978293.8273825727,13497.669012461402,148375459.1280909
3300,999137.7623522619,-2259.9722128549156,152758182.7159204
3400,1018565.6152773665,-12456.523073402868,151548940.30833194
3500,1022004.484181749,7006.245359703831,144584128.97076604
3600,1004052.9176106721,15623.509310271202,144114964.45219663
3700,1010936.5162955195,3865.9430284110854,143564202.93666953
3800,1021060.3703855498,349.5617285550167,145249889.20871317
3900,1011374.4172616211,13321.893594014318,143361069.60531896
4000,987920.8606095813,8097.0092427029795,140943226.1308626
4100,984401.249722766,13774.993567411493,137100463.14113933
4200,1020332.8342964565,10528.520996450598,134956389.59892714
4300,1017975.5013229244,-1722.760549624229,134370868.70334172
4400,1010255.7381674576,-14193.680254460332,131556118.04207903
4500,987734.0473489509,-14492.831160548338,132481345.48046969
4600,983684.3627182199,-4920.782530279814,131320883.56477478
4700,985309.8736374945,-6207.406705574095,132110129.21091238
4800,991783.0378429127,-3604.700039303465,131778253.83556527
4900,994648.5567606367,16526.733864108694,130572011.51309991
5000,979060.8091998391,4926.283082087346,125748352.11660372
