miliseconds,L,U,V
0,13967.016300626372,997972.3434950764,3048581.785590204
100,-11374.660646078188,1008481.0479068672,-170362.09100230518
200,31079.872533199527,987821.8970124167,495653.9972824653
300,-7362.096747195945,984756.6164318313,2704117.0821088296
400,-11083.536802258508,991128.4670948498,-2973372.015977857
500,27730.872138710492,974204.0628300379,-2065069.3259624052
600,-174.16009039370147,982758.8166812548,-3012827.1920471303
700,20404.67202072013,993010.745937435,-2566666.938319867
800,19576.984458544357,969369.6430345592,944738.5766734689
900,15682.771614710122,972519.8072957037,-2230930.974891247
1000,-6431.6384821613065,1002003.3168258598,2662779.327296079
1100,-2055.7414857890635,986701.413754522,-53441.26117343246
1200,37197.9461032797,988976.4452237864,4673234.388045958
1300,26968.02434909062,948822.1275405311,10373482.605552416
1400,110649.66433265142,886513.8932671663,26824667.91426688
1500,250226.27052071397,757969.6721218027,67983622.04331076
1600,581254.4252794787,421099.1801046275,125751813.20726112
1700,854903.569110325,112459.94526665134,158565817.22855535
1800,981581.1268165865,17855.208936971874,171057898.0860167
1900,1000698.4713803661,23232.66393421177,173561968.332888
2000,986565.2584199839,13469.069307828977,173474104.63729694
2100,993787.6308149375,17939.98431731333,168734214.13780385
2200,991074.389878951,5209.844566057341,168616830.55465746
2300,991185.0956498204,-3791.2399081328444,164883863.5006727
2400,998927.3742336776,-8423.866467153104,162625755.19457963
2500,984407.1081926652,-12964.100771174666,164071283.80960757
2600,978389.8996636148,22073.746435553967,157478048.39965358
2700,1013690.7591202357,-12424.582676870798,158449381.7643907
2800,1001561.0832303299,-1692.1210530018736,158616316.23556674
2900,1000891.8300143798,21083.630362278294,153568528.54522777
3000,978943.7214357364,12259.231372256469,153666379.28150764
3100,981727.4080338097,-16449.8362372983,153396016.40546784
3200,1016265.565192057,13256.336636002186,152905032.80703223
3300,988084.9409782831,-20866.386707239446,149886863.37611824
3400,987593.4403426182,-2705.56796026649,150493694.11449122
3500,1015624.3591451145,6077.90740820465,143977223.04850468
3600,977771.1338053298,-15130.50696017095,144192186.15638766
3700,1021374.2787966888,-11316.977012022438,143650599.06928942
3800,980082.158178798,-4329.641744378408,140436235.19774583
3900,989041.6070862195,1035.5196546741367,139750553.87017253
4000,997025.5910498056,2988.2394838823707,141661774.21579152
4100,1007845.1294400832,-9661.930204830755,135205197.98675513
4200,1006180.6995441875,17975.523715645155,137929673.63759676
4300,978932.3891266868,-7057.971904860012,136353598.6871462
4400,1011058.2964097299,-20243.661071525737,130742708.96486266
4500,1019543.2436778245,-10610.415119877565,129567061.54150221
4600,978434.9708851133,12290.849320984487,134385055.8308765
4700,998768.2404492144,-17345.989431169768,128854426.338007
4800,1001546.2020205491,19953.939297165714,131873679.31258954
4900,1006614.6545617401,-18134.5316080201,127678575.88087082
5000,1003650.6996516322,1999.282838928638,126881962.29410522
