miliseconds,L,U,V
0,9418.79421491587,972260.6043905662,-1307994.395060272
100,22752.495899140744,987263.3821271611,-109774.3449192777
200,24272.56129601678,1008384.2173317963,2543784.4560770183
300,-8052.7179882387645,977240.1356385859,3161131.698844053
400,7675.735252551468,986740.4928517791,2376789.019227053
500,9099.109028192244,970942.0897017065,-3190775.6059036045
600,3559.337115764546,1006349.555775368,2729577.134578298
700,5326.891912066273,993716.0644786881,-1552479.5061464002
800,4511.183581600352,1012028.5377079207,430426.61486327735
900,-5999.48335296231,980651.6935359846,1447308.052226409
1000,11180.131106540308,1004440.1756290111,455614.30153567175
1100,13585.580306485535,985516.5297113687,-400880.26399471797
1200,11248.272693785959,996771.0207294743,2493355.5869221236
1300,19699.380685426673,947391.0063850711,9429637.597830383
1400,87189.35031246107,897677.8393342228,30653479.57573216
1500,255109.8831634208,739285.1276520125,65495081.97037242
1600,560613.3783567753,415916.4553282794,120373869.55862811
1700,850563.22682794,138352.40535209954,159657548.49033052
1800,981274.7201403745,16351.787699880084,172218996.9826149
1900,978385.5447663635,-15850.803931256098,174046897.10788497
2000,1000715.5557500753,-19053.770259652796,170879102.90043277
2100,1004574.5761959826,-15043.60721465531,167515676.99735472
2200,993975.4221472872,17161.986367713467,166023589.04100272
2300,1004534.9038804256,-19757.315871890572,166991932.74534902
2400,988329.012711028,-22289.1440249166,161625179.59286812
2500,985850.7897351485,-1793.839491065999,159513318.7447076
2600,986631.3109254483,-8637.754746490486,158735513.36660868
2700,1015963.7329667604,-8070.216969102153,158278431.94874147
2800,996841.1046037263,11199.453784994781,154904452.13598922
2900,986773.378105097,-4496.880330695118,156843529.72570932
3000,979500.7102480324,-4199.776081442367,155499749.68034798
3100,993980.2594432001,7301.502330222582,152564829.45646346
3200,1003055.6804787656,-8584.132935768805,153647357.2322817
3300,1018261.5300777446,13881.69480982001,153087110.2493313
3400,988385.0857600481,-19109.88509642239,147579607.71939677
3500,990997.7164520016,21622.743752404123,144665849.20748866
3600,1021092.8327181542,-3942.132225218663,148436440.90441108
3700,1006071.1044770101,2652.236098546195,144582453.474657
3800,978542.584489916,3806.2254123874527,141842417.08596492
3900,983361.1617953778,1689.9423337858823,139443700.01826614
4000,980410.7870908548,3975.0983968870923,142314232.86992952
4100,997227.0845719153,-5499.62857851382,140233845.84409675
4200,997550.8616955023,-5159.356499616482,135145436.3742213
4300,1011829.2702114944,21437.43054529553,133108696.970315
4400,1017414.2390385246,14706.683271324924,135479722.405485
4500,990904.7166931684,-461.2829865144195,133474413.04970506
4600,1020590.7867623555,8958.617946205964,129158013.86401895
4700,983753.6626633451,-9609.933333300034,129802258.61623791
4800,1019119.6048529869,16594.293247616726,125703425.9969627
4900,991322.7927358233,17378.07536791766,127357825.7321586
5000,996406.4739036885,15435.674312950725,124065989.29038219
