milliseconds,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,SOCS3mRNA,DecoyR,IL13_DecoyR,SOCS3,CD274mRNA
0,1.3010077235108173,113.192082883181,-9.811204918742955e-05,0.0011550792148536946,0.00013295691098021332,2.7989274453480464,-0.00036743929657830066,91.0,164.9886765195424,-0.0033479934597489902,-1.881654947718769e-05,0.34001369330598447,5.435701041312076e-07,-1.67426940240386e-05,3.408462844256742e-07
100,1.3013645524399895,113.19354389479344,0.000877935664989933,-0.0001025921181605681,-0.00027822525525295956,2.7991327087900424,0.0009886537125717364,91.0,164.99140240878936,-0.004096695935280687,1.2122014228107616e-05,0.3399987958629721,1.8546801735239797e-05,-0.00010142177582475099,1.0543079250373146e-06
200,1.3008591218370538,113.18953997150501,0.0020406514685255717,-6.088480578144773e-05,-0.00023909534499827193,2.7991118532639954,-0.00020655938616215644,91.0,164.98792396718204,0.005965947952455541,2.3419562070512143e-05,0.3399789791759209,1.566321483541369e-05,-6.310298783190186e-05,-8.746246667383216e-07
300,1.3017369736310707,113.18972681260966,0.00310497453015859,-0.001147823137738928,0.0002216851327737974,2.8002523072345875,0.0013957560441056525,91.0,164.98714527821713,0.010580224732487138,-4.263422648338351e-06,0.3399702575062382,2.9656037595603865e-05,-4.8378401123641894e-05,-2.2806531638686854e-07
400,1.3034449917575126,113.18737624289831,0.004064934756160232,-3.570681825783425e-05,-0.0002958480468403732,2.8004962829668645,0.0016012325967518497,91.0,164.9930469054724,0.007131097045977688,2.473654058489059e-05,0.3399524233175481,5.0514963700907626e-05,-3.801767490840592e-05,-1.0247680113602732e-06
500,1.3037895639379868,113.1861742614139,0.00481214125345959,0.001093763627506756,-8.948843851958633e-05,2.7990526356861807,-1.540650147673604e-05,91.0,164.9911584275139,0.006691150473982459,8.973019624381767e-06,0.3399639962159223,3.426783627424353e-05,-3.895703283443584e-05,9.743369436260056e-07
600,1.3043310937847155,113.18423530717351,0.00557023794967572,0.0011690290786553073,-9.602020688017536e-05,2.7981477301099473,0.0010241718526745281,91.0,165.0100561415677,0.0035594227750442133,3.705457571330008e-06,0.3399517143033504,6.285832645533317e-05,-9.050423812185524e-05,-9.737562899333522e-07
700,1.306742725732749,113.18108633359365,0.0057576377668429775,0.002054362691325238,-0.00021486594138486257,2.7994856334310274,0.0010862683957528177,91.0,164.9973011888196,0.012370056339068144,1.7942524848764376e-05,0.3399393768075637,8.000212691790529e-05,8.850723781071773e-05,6.110999865900761e-07
800,1.3059609348136296,113.18011343126292,0.0060764284786893955,0.001499636091075555,0.0002604365137804653,2.7993449863241135,0.0012104513511085953,91.0,164.99184598106737,-0.010591157561564448,1.4419984932797912e-05,0.3399328209978771,7.384797400381326e-05,0.00010614461336367384,-2.7706754186039156e-07
900,1.3069087678007492,113.17469039993503,0.006001478851202312,0.0038874438618926484,0.00042870789910813057,2.798987421178483,0.0013366260948805507,91.0,164.98986276297123,-0.008668766436611944,-5.230754453388984e-07,0.3399090647942328,8.06561398873079e-05,1.6972290786156255e-05,-1.9315263924297367e-07
1000,1.308791086692181,113.17440501393034,0.006161391236919128,0.0033648736129154454,0.00045347862805409506,2.796586817744882,0.003177227247532839,91.0,165.00267510108753,0.012758786172632184,2.8081391000968335e-05,0.33989143003288874,9.920512160327576e-05,-2.992996020471841e-05,3.3262036277647305e-07
1100,1.3085906394646183,113.175635309997,0.005457274492648156,0.005935288976174181,0.0005388108859720614,2.7981271706465787,0.0037900275146258385,91.0,165.00461918806934,0.018676096135546476,-2.8843241719604146e-05,0.33989314752496524,0.00010102973665195542,1.9321622743903726e-05,-2.3033277936172306e-07
1200,1.310033091826524,113.17367295107631,0.005285362988281774,0.005915054641929924,0.00020994874685714146,2.795714243591121,0.0023649137582510684,91.0,164.99852604274716,-0.004790285752500983,5.251321134187464e-06,0.339872208117274,0.0001252483735300577,9.60157747774353e-06,1.3405067679079759e-07
1300,1.3099567278885123,113.17166158340311,0.004642581681226552,0.009316350208829682,0.0004119413231824092,2.7970292471727305,0.004796953210219895,91.0,165.00188820534245,0.012995292919608823,2.9818668693124854e-05,0.3398734899726435,0.0001290832751825668,5.768134050594009e-06,-1.1393649030424473e-06
