milliseconds,Effector_cells,Tumor_cells,IL_2
0,9.148614482903838e-06,1.0034561962736234e-05,9.859976735101873e-06
100,1.2354649176741447e-05,1.0032184928859047e-05,8.446787034112707e-06
200,1.0407857579437844e-05,1.0231614948014047e-05,7.919562471423909e-06
300,1.2729127599208983e-05,1.016459327812562e-05,7.2982351901504405e-06
400,1.4138639892532903e-05,1.0549328597934302e-05,6.575411362027782e-06
500,1.63230409347222e-05,1.0440272169185738e-05,5.7384013338555326e-06
600,1.7274689466123212e-05,1.0600385343625818e-05,5.821824566218849e-06
700,1.6466609016647596e-05,1.1015518825786927e-05,5.156502945695304e-06
800,1.8922397185434864e-05,1.0845647779371778e-05,4.993667562174116e-06
900,2.0593774705605155e-05,1.1273152668893432e-05,5.245539171326002e-06
1000,2.0967375379315892e-05,1.1410900295721582e-05,5.536804219332211e-06
1100,1.941336308972336e-05,1.1232643622011204e-05,4.966095333613941e-06
1200,2.2253518046889442e-05,1.1576381175501211e-05,5.758641726745584e-06
1300,2.4756497806750304e-05,1.1567255970298786e-05,5.6405651015912554e-06
1400,2.4323455283000472e-05,1.2026613170009385e-05,5.328244404906373e-06
1500,2.3869152521294397e-05,1.21832852850903e-05,5.6091718487148915e-06
1600,2.6910969024037103e-05,1.2248834376808273e-05,5.832370859244143e-06
1700,2.72367998826486e-05,1.2323377660271319e-05,6.438222030675478e-06
1800,2.907877198695972e-05,1.2308770582796679e-05,6.249377758680597e-06
1900,2.8448574310340383e-05,1.2692447558731898e-05,6.796399548453242e-06
2000,3.3007323274518616e-05,1.2777947366488471e-05,7.336151822752603e-06
2100,3.418072222340747e-05,1.2914660596650664e-05,7.637834130869055e-06
2200,3.520449290194919e-05,1.2814234954329856e-05,8.083553373558546e-06
2300,3.308376026354772e-05,1.3330132083500156e-05,7.658213182463888e-06
2400,3.6265038400435886e-05,1.3378207433012727e-05,8.387763376658785e-06
2500,3.5948555096321585e-05,1.3647572548927246e-05,9.073055551517636e-06
2600,3.966867111129795e-05,1.3743232353995233e-05,8.946811973192085e-06
2700,4.1086831540887104e-05,1.3774176727541852e-05,9.244838498670404e-06
2800,4.145808706912512e-05,1.4126952430321535e-05,9.89237365579562e-06
2900,4.189226374814099e-05,1.4222645548323856e-05,1.0583666202707693e-05
3000,4.408854816849641e-05,1.4142563494013767e-05,1.055541609583222e-05
3100,4.642797536395051e-05,1.4322463365626194e-05,1.1053848200783469e-05
3200,4.575530972013632e-05,1.4817917222222544e-05,1.1272826799157143e-05
3300,4.897431732408271e-05,1.4921529106755752e-05,1.1939310263476261e-05
3400,4.8349257094251494e-05,1.4938430583870867e-05,1.2086032995912647e-05
3500,5.050109282929311e-05,1.5167597564567206e-05,1.272904719715508e-05
3600,5.137823740045563e-05,1.5501270797601963e-05,1.2820152804796146e-05
3700,5.3151809856898475e-05,1.5500606844605058e-05,1.319357701042908e-05
3800,5.5740022802169575e-05,1.560972582545513e-05,1.3584650292947582e-05
3900,5.578007769080313e-05,1.5683567046004934e-05,1.4721416165144047e-05
4000,5.589779742676357e-05,1.6185234858817332e-05,1.4809647033217656e-05
4100,5.7901985630535705e-05,1.5997444976147976e-05,1.5780855228731097e-05
4200,5.84713492926592e-05,1.628814043905303e-05,1.611787841476535e-05
4300,6.021912392127324e-05,1.66680351992852e-05,1.6142010478915833e-05
4400,6.363295538666085e-05,1.6893966452529034e-05,1.6531515872517838e-05
4500,6.326310727579703e-05,1.7187298971810955e-05,1.7789791403840822e-05
4600,6.45316903209055e-05,1.725342752256237e-05,1.7915189717134394e-05
4700,6.746068159412127e-05,1.7308857927983153e-05,1.7978010211689885e-05
4800,6.946954136007997e-05,1.7476495386099438e-05,1.9291324725367942e-05
4900,7.11631390222588e-05,1.762394601572322e-05,1.9303010896911037e-05
5000,7.28000539815164e-05,1.78225891682357e-05,1.9737146978604673e-05
