milliseconds,Effector_cells,Tumor_cells,IL_2
0,8.895306946937406e-06,9.968185551536328e-06,9.927847054290806e-06
100,1.1066551002999441e-05,1.0327139257077357e-05,8.372719251030549e-06
200,1.108546657261251e-05,1.0203069783224062e-05,8.079655347429298e-06
300,1.1512040630852857e-05,1.0568129905872192e-05,7.087900882045179e-06
400,1.3807802951195412e-05,1.0409961717163472e-05,6.055581309363813e-06
500,1.5663684344452572e-05,1.070372997312325e-05,6.340331834532737e-06
600,1.475125439618656e-05,1.0828941482015599e-05,5.588988379266233e-06
700,1.864275929461881e-05,1.1000054058779385e-05,5.0881118274288946e-06
800,1.8959295790465817e-05,1.1117855188135529e-05,5.58330065006322e-06
900,2.0237225705232647e-05,1.1163399063909765e-05,5.041111144408331e-06
1000,2.0432757747062207e-05,1.1514208311729112e-05,5.519393879916357e-06
1100,2.1435866629398043e-05,1.1335172789924108e-05,5.4996092593751e-06
1200,2.1948632228422495e-05,1.157591274429062e-05,5.431246199487919e-06
1300,2.427611803206694e-05,1.1527315595746834e-05,5.716742351184073e-06
1400,2.2887769464976348e-05,1.169849145472145e-05,6.0075714506156094e-06
1500,2.6459790917356922e-05,1.1860589966605666e-05,5.712525595701366e-06
1600,2.6253721604650397e-05,1.1978222220660723e-05,5.72247540176928e-06
1700,2.895780338686194e-05,1.2244375519799075e-05,6.3834096492404645e-06
1800,2.774629181527967e-05,1.2554919192813404e-05,6.7272052218668145e-06
1900,2.8397127749466952e-05,1.2665902426025867e-05,6.433643411763735e-06
2000,3.22068549026126e-05,1.2764667416516766e-05,7.008254278994648e-06
2100,3.351990269422854e-05,1.3067146927279844e-05,7.03012980997432e-06
2200,3.420803078056067e-05,1.3033040042744247e-05,8.105254837161597e-06
2300,3.558531433838461e-05,1.3361148152680958e-05,8.480520956958977e-06
2400,3.589480994131313e-05,1.3221260291325046e-05,8.314381215644537e-06
2500,3.694370817363178e-05,1.3332119331294262e-05,8.287070959888267e-06
2600,3.821766963221887e-05,1.3630273448066751e-05,9.204402832937026e-06
2700,3.796135027819934e-05,1.3700743102797021e-05,9.166803454285174e-06
2800,4.003932657248618e-05,1.3741576476609425e-05,9.782841744818394e-06
2900,4.271747536847844e-05,1.4053727171605815e-05,1.0071507483866201e-05
3000,4.484176691218417e-05,1.4158588557871912e-05,1.0754509965087188e-05
3100,4.4990434705329724e-05,1.4626971536815233e-05,1.0693774044883571e-05
3200,4.592580521234392e-05,1.4629047829227871e-05,1.146321913170246e-05
3300,4.8379777163008236e-05,1.4842074314552619e-05,1.1548346493976769e-05
3400,4.811029561740663e-05,1.4985596783078895e-05,1.197574983773197e-05
3500,5.131085367065755e-05,1.5290375571966933e-05,1.2285958408391332e-05
3600,5.286222671513491e-05,1.5073108256142836e-05,1.3314690188348534e-05
3700,5.182388804408835e-05,1.5396475025494373e-05,1.3983345404112526e-05
3800,5.379436559410382e-05,1.589776264041017e-05,1.3771092189144879e-05
3900,5.487419110386757e-05,1.594356847751112e-05,1.4248248382809036e-05
4000,5.73917777242027e-05,1.5907331138667138e-05,1.5259424176408662e-05
4100,5.6813466462281276e-05,1.6052371275639e-05,1.5465498194778483e-05
4200,5.9906410365616175e-05,1.646787599459337e-05,1.577720010628509e-05
4300,6.142529043308015e-05,1.6735456386474936e-05,1.61526903415324e-05
4400,6.206505162639313e-05,1.686257236792223e-05,1.6471771805991132e-05
4500,6.544399817880341e-05,1.690595173095807e-05,1.7317359815022924e-05
4600,6.67387878536529e-05,1.724168265613976e-05,1.77520719083992e-05
4700,6.855961020900815e-05,1.7413810841390962e-05,1.834419319462797e-05
4800,6.91770247342711e-05,1.7738588585956526e-05,1.924999370643559e-05
4900,7.104150953030594e-05,1.7570080412411958e-05,1.9153412303595034e-05
5000,7.274801744627172e-05,1.8118790881701876e-05,1.969482713206076e-05
