milliseconds,Effector_cells,Tumor_cells,IL_2
0,1.0578421421971705e-05,1.0227855744909754e-05,9.846276839123469e-06
100,1.18785175707021e-05,1.0242568759417995e-05,8.690070701701241e-06
200,1.3153067856146501e-05,1.0286144699469018e-05,8.075009734656415e-06
300,1.225614792190977e-05,1.0427977929095996e-05,7.493004054088412e-06
400,1.2149032459735312e-05,1.0638530517159918e-05,6.541789620890212e-06
500,1.412543574876569e-05,1.0445533506701823e-05,6.005378121924749e-06
600,1.4762285296796843e-05,1.084094134551165e-05,5.484230801710573e-06
700,1.6757923851657202e-05,1.0973956990137009e-05,5.670083121287965e-06
800,1.81003924074799e-05,1.1149952483147302e-05,5.568864015489344e-06
900,2.057140469735675e-05,1.1151016172835644e-05,5.2381394218741884e-06
1000,1.940051556778982e-05,1.1230588347831447e-05,5.405064242401402e-06
1100,2.016666576937278e-05,1.133713952841277e-05,5.458233310270093e-06
1200,2.183001223195358e-05,1.1442549810208991e-05,5.75395663418643e-06
1300,2.3891409033653467e-05,1.164200510736605e-05,5.72876827548121e-06
1400,2.3551973064252477e-05,1.1949615917720221e-05,5.91297559707364e-06
1500,2.682623146465655e-05,1.1927640168670972e-05,5.991987307848344e-06
1600,2.584099084772983e-05,1.1914100082122353e-05,5.8550985755273226e-06
1700,2.7783792953669995e-05,1.2305790585971334e-05,6.300157268857101e-06
1800,2.9719890739606238e-05,1.2212278058585679e-05,6.6057850653389e-06
1900,2.8595371191311683e-05,1.2655118369363836e-05,6.686095040193291e-06
2000,3.159535281335381e-05,1.2549845405989142e-05,7.5051702303220635e-06
2100,3.40623633651245e-05,1.2762576277597506e-05,7.121136725485719e-06
2200,3.243783366792376e-05,1.3097817420069377e-05,7.84045314567761e-06
2300,3.613622348797698e-05,1.3371882697465075e-05,7.844021848748674e-06
2400,3.505702616103196e-05,1.3141779118812428e-05,8.606992075778892e-06
2500,3.6302218479014935e-05,1.3413802686975014e-05,8.70517656928401e-06
2600,3.799348827172329e-05,1.3817122047821072e-05,9.473841331930189e-06
2700,3.909815680396568e-05,1.3578428093683252e-05,9.33540393930223e-06
2800,4.006813756371891e-05,1.387082991760427e-05,9.857552099269611e-06
2900,4.1166740035162414e-05,1.4267110932779944e-05,1.0441683152754549e-05
3000,4.185716803363544e-05,1.4083094656998093e-05,1.0306039297418661e-05
3100,4.46938624213005e-05,1.4300792353201541e-05,1.086792951003948e-05
3200,4.616171321548595e-05,1.4837971806783725e-05,1.151856620143863e-05
3300,4.569251063569069e-05,1.491504996341394e-05,1.1411280248670232e-05
3400,4.766225667821734e-05,1.5186167941435486e-05,1.2484405735535243e-05
3500,4.9890818531360156e-05,1.5314707069309413e-05,1.2671515123081385e-05
3600,5.2912992470696816e-05,1.5344222198692203e-05,1.2855509765219845e-05
3700,5.448096938655881e-05,1.562737713725766e-05,1.398052487259375e-05
3800,5.2356560247810375e-05,1.57051590470915e-05,1.3664375503169081e-05
3900,5.7289287261216604e-05,1.574581769200409e-05,1.4266481454030947e-05
4000,5.518989613812333e-05,1.604441843424226e-05,1.4926793840581057e-05
4100,5.737105632955582e-05,1.6343383304731165e-05,1.55143140008738e-05
4200,5.8001029027373084e-05,1.6545315586318754e-05,1.5629536919632038e-05
4300,6.003084055341069e-05,1.673051392921265e-05,1.6027807146376602e-05
4400,6.214928594617851e-05,1.7001810666556594e-05,1.7072514896029942e-05
4500,6.470372635204681e-05,1.678945134032914e-05,1.7716524850422517e-05
4600,6.382699124471124e-05,1.713211363116114e-05,1.777264879493132e-05
4700,6.841252529017714e-05,1.7406876175584707e-05,1.802025642339101e-05
4800,6.854921912231472e-05,1.733711611600825e-05,1.8681566871290895e-05
4900,6.844172085195078e-05,1.7588160885062317e-05,1.9491538397678003e-05
5000,7.301174198674977e-05,1.7798286605685444e-05,1.953942787239158e-05
