milliseconds,Effector_cells,Tumor_cells,IL_2
0,8.644238050845606e-06,9.930090899900887e-06,9.772124895962978e-06
100,1.0720040452283395e-05,1.0058255186661654e-05,8.424156083778703e-06
200,1.0540732554638375e-05,1.0362005731721472e-05,7.717824087414124e-06
300,1.451381201701418e-05,1.0346466427904067e-05,7.097927007541556e-06
400,1.2885338554240709e-05,1.0296995451429448e-05,6.687170050766503e-06
500,1.4326009804374336e-05,1.0695364009334834e-05,5.809076405768615e-06
600,1.420095469827899e-05,1.0839471373216158e-05,5.527300316528864e-06
700,1.6037889470236888e-05,1.1079851160942231e-05,5.713438653022589e-06
800,1.7837170188855537e-05,1.1087301664454395e-05,5.253071753682798e-06
900,1.7517436580042166e-05,1.1193971145808645e-05,5.277344242540232e-06
1000,1.935272916168871e-05,1.1234690991523988e-05,5.510586442869176e-06
1100,2.0129929463447112e-05,1.1434397615894162e-05,5.280895780760312e-06
1200,2.2210249798758412e-05,1.1396424597684653e-05,5.485794592016043e-06
1300,2.4350602385632704e-05,1.1596845377240574e-05,5.234573469181978e-06
1400,2.614214369822422e-05,1.173493987871694e-05,5.3244570671235235e-06
1500,2.450209919116646e-05,1.178001585419217e-05,5.843378246370856e-06
1600,2.510006596180311e-05,1.2061969300437324e-05,6.2698803386519625e-06
1700,2.6733268907325463e-05,1.209714417539786e-05,5.952299433629915e-06
1800,2.7748916406760656e-05,1.2175150830299898e-05,6.705702136503315e-06
1900,2.932705544299113e-05,1.2413686368800704e-05,6.413923869216349e-06
2000,2.96018733984295e-05,1.2616933611328135e-05,6.89153456501374e-06
2100,3.3521390556248176e-05,1.3042482692304372e-05,7.743356609384014e-06
2200,3.2823466362491716e-05,1.2910412078825385e-05,7.372974344843644e-06
2300,3.306659581331303e-05,1.3205914745442143e-05,7.851857393491018e-06
2400,3.5107487872606613e-05,1.3469148100424439e-05,8.754426631747008e-06
2500,3.739369006563912e-05,1.3625417263895696e-05,8.83918274201876e-06
2600,3.947285091761505e-05,1.376839545931182e-05,9.317659596093504e-06
2700,3.805155446592374e-05,1.3811758222583273e-05,9.032649543957301e-06
2800,4.184199614962219e-05,1.3837170029229645e-05,1.020267385243207e-05
2900,4.1678890562879066e-05,1.4279164141783898e-05,1.0267403025407328e-05
3000,4.320777653436915e-05,1.4420593678721349e-05,1.0857137345566963e-05
3100,4.3179850869237204e-05,1.4397043544547159e-05,1.1330016791215604e-05
3200,4.6626315658697854e-05,1.453145141010892e-05,1.1198511483717615e-05
3300,4.8410037381162e-05,1.4916120231461654e-05,1.2118810082361483e-05
3400,4.780018358250165e-05,1.5004097404350946e-05,1.1919903557012324e-05
3500,4.8934467227245055e-05,1.5366463374973383e-05,1.2610968593335915e-05
3600,5.1760325249293494e-05,1.5226060078876891e-05,1.3449617530054503e-05
3700,5.106475895804611e-05,1.563467373869099e-05,1.3249021818107704e-05
3800,5.336903501271695e-05,1.5598006167958077e-05,1.374723919878523e-05
3900,5.488476122864285e-05,1.5825628156285896e-05,1.4403831772349899e-05
4000,5.7567284795516014e-05,1.6174208842883245e-05,1.4617702177984524e-05
4100,5.934943904101834e-05,1.624259280122093e-05,1.5103881072673986e-05
4200,6.125879438847885e-05,1.6286633896645498e-05,1.5745500899625487e-05
4300,6.0187469799261076e-05,1.6420859310576087e-05,1.620305634974205e-05
4400,6.305032184561014e-05,1.687572042313859e-05,1.7014661240209238e-05
4500,6.316506743373489e-05,1.7121022697625474e-05,1.6996686568766833e-05
4600,6.495558274624315e-05,1.6924357226702536e-05,1.7999050859572272e-05
4700,6.58971594229032e-05,1.7444078058250582e-05,1.8265366431981226e-05
4800,6.716545150892663e-05,1.7404900104045628e-05,1.854217302780496e-05
4900,7.151390426545396e-05,1.7880683177953118e-05,1.9490813667545485e-05
5000,7.317370017127248e-05,1.785160726794109e-05,2.0387506813641042e-05
