milliseconds,Effector_cells,Tumor_cells,IL_2
0,9.82458426453667e-06,9.818553782062917e-06,9.953676430937004e-06
100,1.0161719817417218e-05,1.028212721365405e-05,8.38651362722854e-06
200,1.3053193159332896e-05,1.0106223607235502e-05,7.961128804035877e-06
300,1.1978299198205844e-05,1.0175811497212159e-05,6.964076731515005e-06
400,1.487674922225958e-05,1.069404530478969e-05,6.54074894588175e-06
500,1.3346777085791245e-05,1.0440099058036096e-05,6.1373218664572496e-06
600,1.7700759018862763e-05,1.0656909027190251e-05,6.076831496178854e-06
700,1.769786206540993e-05,1.077161637206135e-05,5.634745313928877e-06
800,1.9864054517361086e-05,1.084660082690076e-05,5.090752972400214e-06
900,1.8950643460954888e-05,1.1110818312206574e-05,4.787218506309481e-06
1000,2.0048690509094848e-05,1.1108972821300217e-05,4.9379899088060325e-06
1100,2.1013579115826484e-05,1.1434779371172362e-05,5.706219829918113e-06
1200,2.4085925406706503e-05,1.136905690322351e-05,5.701083411753322e-06
1300,2.3679645332638108e-05,1.1873533263124555e-05,5.207692982112135e-06
1400,2.5602154382605363e-05,1.1647975947415505e-05,5.360620426681286e-06
1500,2.4221928651019206e-05,1.1941502886890806e-05,5.780622353885727e-06
1600,2.7940310070203037e-05,1.2026693961686426e-05,5.706539453786415e-06
1700,2.6464414451883002e-05,1.2265037875776375e-05,5.926273858581365e-06
1800,2.9105513021289458e-05,1.2593232889043665e-05,6.487402871823259e-06
1900,3.089466572149712e-05,1.2665817304133365e-05,6.9083896481755725e-06
2000,3.306210403282841e-05,1.2803332316192021e-05,6.740264606859176e-06
2100,3.175269204827338e-05,1.2977396755543363e-05,7.428828820998564e-06
2200,3.472572662519496e-05,1.3057658000733304e-05,7.574416262677979e-06
2300,3.481766457167128e-05,1.3136155549200323e-05,8.125645120334788e-06
2400,3.517426795236264e-05,1.3374275319282263e-05,8.41239980257572e-06
2500,3.693685025995815e-05,1.3543881484794256e-05,8.657717051934304e-06
2600,3.7604893045237886e-05,1.3545146730981716e-05,9.246033770313647e-06
2700,3.823995793348335e-05,1.3712889076950633e-05,9.283341480019248e-06
2800,4.197622642949139e-05,1.3721316332925342e-05,1.0062756607681981e-05
2900,4.126508615588823e-05,1.4048879302998443e-05,9.770746369504915e-06
3000,4.2064397521903086e-05,1.439787308402357e-05,1.0621642591389849e-05
3100,4.591727788828554e-05,1.43747936259647e-05,1.1035861325979368e-05
3200,4.764694204780329e-05,1.4753641734664251e-05,1.1017680230188193e-05
3300,4.702297066428854e-05,1.4853996958951676e-05,1.226030462311327e-05
3400,4.7067144475332456e-05,1.5112210644738035e-05,1.2014041088171245e-05
3500,5.1245445479970676e-05,1.52457683681047e-05,1.2462564221308376e-05
3600,5.224517707384513e-05,1.5507830450758564e-05,1.3254436247583515e-05
3700,5.4215385475087405e-05,1.5487531339417024e-05,1.355001926603976e-05
3800,5.31859795669966e-05,1.5899975923680473e-05,1.3689308233385676e-05
3900,5.5050399499459355e-05,1.5768682540162852e-05,1.4390457107409046e-05
4000,5.540125540757707e-05,1.6018930983379125e-05,1.5343736502753765e-05
4100,5.743515681286318e-05,1.617062843946204e-05,1.5433140061134206e-05
4200,6.045293099717486e-05,1.6521277603581188e-05,1.5834987631420576e-05
4300,6.13594353192097e-05,1.659127114720333e-05,1.5976775192581805e-05
4400,6.079170787006443e-05,1.6901291402839765e-05,1.6753207497821683e-05
4500,6.368163841342418e-05,1.7071312429217527e-05,1.7293910465092948e-05
4600,6.391025671337861e-05,1.706422637280099e-05,1.8195683344393245e-05
4700,6.750069604059059e-05,1.7491338043811445e-05,1.796629862401214e-05
4800,6.99049638079766e-05,1.754638011525158e-05,1.8814098596447416e-05
4900,7.005279636788029e-05,1.7947471867183825e-05,1.953313637199956e-05
5000,7.103017733957827e-05,1.777754907122515e-05,2.0241982276906147e-05
