miliseconds,L
0,1290.2640238924255
100,1764.346183296458
200,2284.717138564721
300,3336.294289502282
400,4261.911298788389
500,5707.285623625164
600,7762.701455419212
700,10115.226834728992
800,13447.81690793292
900,18107.74665059678
1000,24049.49151742429
1100,22723.47865940954
1200,21833.562692675187
1300,20862.447408915028
1400,20050.187803557008
1500,18914.658328651658
1600,18352.006566201148
1700,17510.374787168537
1800,16650.493589049176
1900,16001.770504511314
2000,15259.947315609952
2100,14631.404702559448
2200,13926.786393787102
2300,13090.92789363284
2400,12783.19029292102
2500,12067.737313074314
2600,11389.045842842519
2700,11039.66088196462
2800,10644.20918348248
2900,9942.88481784365
3000,9606.03249581526
3100,9071.564139080321
3200,8381.923844794252
3300,7993.653766135732
3400,7460.935119519619
3500,6984.717666669086
3600,6684.402024904349
3700,6306.415657072781
3800,5808.994324223922
3900,5378.428705907543
4000,5290.634311803769
4100,4774.863379419721
4200,4444.2186775884475
4300,4325.697399232777
4400,3982.1417709403327
4500,3743.7239105349117
4600,3573.1542114276626
4700,3228.463756168646
4800,3151.603386643475
4900,2863.164692826486
5000,2786.740753028458
