miliseconds,L
0,202.29956627765944
100,294.4141760171865
200,441.9444323139736
300,599.4577740754632
400,809.0405532948224
500,1124.1962931660396
600,1534.4922085297283
700,2049.063677859147
800,2782.2777013643145
900,3703.258430267863
1000,4918.754703523147
1100,4705.797554714197
1200,4501.600353194666
1300,4316.848214878782
1400,4113.836160900001
1500,3918.9301550664595
1600,3742.55550456552
1700,3574.45745944899
1800,3419.5845598705346
1900,3252.773253733339
2000,3122.5846840311547
2100,2986.6188388506716
2200,2843.0942896618903
2300,2738.504562504923
2400,2621.7577075107106
2500,2501.575691874207
2600,2366.038037487171
2700,2283.5833051046134
2800,2167.014554932868
2900,2054.465454555568
3000,1982.4330162942856
3100,1843.384724662513
3200,1734.7032770754274
3300,1657.9304475135232
3400,1537.125487874484
3500,1447.6260716147692
3600,1363.8393403038697
3700,1282.5348754859867
3800,1224.834547874595
3900,1122.4072580477127
4000,1052.9069294487695
4100,1012.5896165119304
4200,928.2846899685676
4300,879.8537658534884
4400,824.2710111340172
4500,788.8899376447054
4600,735.645901559792
4700,672.8525100722387
4800,639.282217548302
4900,601.397440678035
5000,568.6773962021182
