milliseconds,L
0,23127.516207371908
100,27799.605187688976
200,40561.71323429258
300,54303.27949172137
400,67809.31138621655
500,91462.33670035485
600,122165.38749944746
700,163754.97556406911
800,214436.02014869498
900,284180.6220080243
1000,379007.5450491779
1100,361196.87231710326
1200,344093.24897848
1300,331797.7594195499
1400,315615.66936319746
1500,303403.9505258259
1600,289189.7589049195
1700,273391.0817678061
1800,263370.89936337125
1900,251952.40458136395
2000,240634.62436861233
2100,227057.4892529608
2200,220304.6999641752
2300,209903.18894825727
2400,199922.42278796207
2500,192265.82626934358
2600,180379.0253596746
2700,176491.2007142855
2800,168647.85670720084
2900,159027.6098490241
3000,151753.7574225645
3100,141446.79358705052
3200,133159.35375341817
3300,126956.8611948768
3400,116632.36889650123
3500,110147.66950970519
3600,103280.46390623755
3700,100373.97038149368
3800,90609.05947990886
3900,86082.08419339145
4000,82310.31662627422
4100,77024.87099031483
4200,74813.16740996597
4300,69389.7501956368
4400,64629.28628840521
4500,60458.99467492523
4600,54596.841104774
4700,55549.8864337064
4800,50443.913321019994
4900,47957.061232482694
5000,45653.1204940194
