miliseconds,L
0,5935.46835855485
100,7550.577090336435
200,9880.836232935111
300,13278.700307682064
400,17737.757660870622
500,23762.35864259478
600,30857.67376692255
700,41001.36549667802
800,54831.203617095045
900,73520.84709760174
1000,96623.29723422222
1100,93104.93618333229
1200,88147.58340103293
1300,85183.0557848074
1400,80384.91165158723
1500,77103.74618886609
1600,73432.59478066306
1700,70429.55495909747
1800,67757.96803538148
1900,64935.733939621845
2000,62128.30123556276
2100,58593.432372178984
2200,55981.12199530108
2300,54316.53918507018
2400,50919.35280444644
2500,48837.472784748585
2600,46916.36687061961
2700,44265.97397460789
2800,42161.41356316579
2900,41001.856929813424
3000,39163.54153407621
3100,36312.934237607755
3200,34331.49468390083
3300,32970.76001625537
3400,30550.17031711726
3500,28779.14010429207
3600,27457.14151251647
3700,25862.775817970625
3800,23538.092875859766
3900,21894.766931203492
4000,21200.80299391727
4100,19400.256016696014
4200,18335.52928821489
4300,17238.993907622935
4400,16051.6755760431
4500,15629.575450199083
4600,15101.48872401522
4700,13917.485451260165
4800,12784.088059697913
4900,11711.96355955587
5000,11934.664051249361
