milliseconds,Ce,Size
0,7257.328268983482,6.66
100,7710.077579360656,6.577580624291836
200,8158.7553854331245,6.4957993160760505
300,8603.395757898843,6.414787487801079
400,9044.035712575243,6.334661863678645
500,9187.9218445008,6.255949111746922
600,9105.263219791435,6.180548044053376
700,9023.348275695065,6.108548064719245
800,8942.170354193016,6.03975361457595
900,8861.722907447092,5.973990935785693
1000,8782.000150183134,5.911092739548825
1100,9221.003870762173,5.84962960675753
1200,9656.08898667332,5.788351791226132
1300,10087.259270517827,5.727360584794236
1400,10514.5498709047,5.666748673769808
1500,10645.163669543159,5.606933025717318
1600,10549.39499033462,5.549411668649789
1700,10454.487921447217,5.494284278217981
1800,10360.434658522521,5.441427784361476
1900,10267.22782417247,5.390736067969988
2000,10174.859660891456,5.342104252289399
2100,10083.322538425145,5.295435690947587
2200,9992.608943309157,5.250639811081395
2300,9902.711414749554,5.207629508434285
2400,9813.622624937478,5.166325787333805
2500,9725.335315064356,5.126655123680049
2600,9637.842266494285,5.088546601263144
2700,9551.13633327103,5.051934130318058
2800,9465.210439584012,5.016755937483189
2900,9380.057582393267,4.982954174417
3000,9295.710948377216,4.950470666314686
3100,9730.10725766047,4.918231207184832
3200,10160.612410098654,4.885281964962293
3300,10587.244825052132,4.85173057949825
3400,11010.038035349897,4.817676608446987
3500,11136.177428397405,4.783490449892518
3600,11035.991456351028,4.75043403157918
3700,10936.705809393687,4.718629559731355
3800,10838.313008058587,4.688031035780057
3900,10740.805755848418,4.658596272247796
4000,10644.187786099357,4.6302884705334
4100,11066.463337535019,4.602212742558175
4200,11484.946171147674,4.573580079343509
4300,11899.664829414285,4.544470779697015
4400,12310.651168049546,4.514957810078523
4500,12425.110184958505,4.48534237401772
4600,12313.328525241915,4.456679503473972
4700,12202.551486365955,4.429072514766051
4800,12092.77047883308,4.402484228786481
4900,11983.977562856633,4.376882348160102
5000,11876.164259369481,4.352233738755218
