milliseconds,C,I,R
0,8941.189448909436,95.80475100256749,1008.7371782458299
100,8923.966033611636,105.92652544235321,982.6987615824756
200,9194.04992189162,99.41207168396531,1068.0978258045557
300,9753.275220773234,106.82647398387934,1029.0019254040665
400,9652.844419684054,104.22144716740038,1111.932123199563
500,9679.862200967393,113.63657026576455,1059.9160733931317
600,10136.798705084986,113.45473323951808,1136.8296855340423
700,10668.099307740724,110.92420255891938,1125.8201852064683
800,10418.0487268028,112.00562450345095,1185.2034381629203
900,10556.045075077694,119.49548097005142,1166.7742920486987
1000,11079.011551395872,120.98680294867545,1164.423620050761
1100,11102.052041789988,124.51575704637992,1249.967227861414
1200,11569.694102398125,122.13691027810825,1289.0247823935424
1300,11677.149052054234,128.66079659646573,1321.587060560715
1400,11543.413426321616,131.36394529490926,1300.2523747552852
1500,12005.466133531363,129.68401604397187,1363.5280529675304
1600,12009.390495243442,131.6063341029607,1388.48430456919
1700,12729.33213603932,138.37423117159494,1380.758485191696
1800,12243.847772070914,136.6001081168339,1390.0550831678108
1900,12508.824960378004,143.66155664946453,1430.6823472863848
2000,12832.754933470555,148.30974823562812,1476.9955115287078
2100,13677.384338628519,147.76048451129117,1439.4301397600868
2200,13989.232612382406,151.41559275876077,1476.2363466380523
2300,14132.83644174755,151.34584185210068,1550.534332609771
2400,13932.893775953164,154.24529797265578,1576.499415816952
2500,14122.43599668252,160.63845184528645,1635.6481816893486
2600,14370.303535114246,165.01522678858834,1625.0039334022317
2700,14811.076166283889,162.41515019429082,1631.4448786351613
2800,15002.634296690832,167.1106909405447,1663.8909263042556
2900,15142.119041282429,166.01423426502788,1761.365616796391
3000,15424.055747503353,172.77973155001249,1739.4718895085787
3100,16187.985076781113,173.82211211177344,1814.1267805535358
3200,15976.989203176963,181.33503230163217,1777.51803441632
3300,16378.138764566589,181.97670382106907,1816.756418765708
3400,17000.791982258706,182.98815688038093,1892.2818796270517
3500,17469.268208866477,192.65121351176674,1888.445925992919
3600,17677.351097141283,198.64580580799,1912.8415341907164
3700,18021.727660121607,194.8292308881861,1949.8050578355655
3800,18009.228614302654,202.66602963957132,1987.0528744435449
3900,18795.68046117021,202.74590463936565,2022.943895107499
4000,19079.336896313354,209.12573111768666,2112.52307367224
4100,18863.98720000785,209.7313144942898,2094.6098456496675
4200,19356.752022223358,222.14953103073586,2179.6318029312565
4300,20079.738156089854,221.08803409922308,2250.416300659509
4400,20670.17548864109,223.54664006823518,2256.213273352115
4500,20988.270246502572,230.6327343148581,2317.1398747062212
4600,21106.918908666925,235.21381312847177,2293.1819770904335
4700,21293.60189631095,241.13793679003314,2381.312199289909
4800,21412.15411723121,246.93815993835227,2391.268064805528
4900,21938.03184931678,249.2396600562665,2435.4728975481366
5000,22754.91384646172,250.16232584080868,2521.660346250216
