milliseconds,C,I,R
0,8652.700497363792,99.47906277379296,1009.5298465504319
100,9200.568838862899,104.61170100655627,995.312594660185
200,9198.825240513681,105.22497178705068,1055.6554130749214
300,9620.431844424515,103.78620683662062,1033.2330943040329
400,10063.558150797162,109.14801675210671,1094.9100682623548
500,9607.490899899061,112.51542480600699,1119.2940159558877
600,10058.371899028603,113.6723078577101,1137.7260568010747
700,10578.838873875422,115.89738425818912,1183.3177839947423
800,10170.569513951523,114.60663377736707,1161.7035201864064
900,10941.761275365614,118.29705293453466,1154.6531256429005
1000,10899.94588726423,120.38451514304427,1177.6002567297517
1100,11077.231591401847,123.31887592267809,1232.7108944515444
1200,11028.514035069042,128.26029538015,1262.5186558037371
1300,11711.672963480401,125.44559059455652,1275.4601128738468
1400,12069.558882044412,126.79498581891211,1344.1889096244502
1500,11788.110266574251,133.9630862554067,1339.8145387114573
1600,12101.430479670526,134.58917669652084,1344.0028555369656
1700,12719.137652232399,138.23975072754274,1390.2020179584201
1800,12603.643046077066,138.838447682881,1438.808295086041
1900,12650.823132084379,140.26444391409098,1429.290614862506
2000,12869.40702092405,145.42281526789438,1429.7754177123115
2100,13127.224334966768,145.81080634530113,1448.0115957019912
2200,13901.50238911273,149.7695148165984,1529.7199378056146
2300,13924.024283318144,151.28021581328449,1506.2297534418776
2400,14145.093433992235,151.29805233596997,1600.057375030714
2500,14092.75198286247,161.8029134477654,1612.618362744555
2600,14896.610835071277,164.636376478271,1586.3030439778152
2700,15211.750557143143,159.95134594716052,1617.9986147076168
2800,14846.193635907637,164.33799275638154,1651.3782827539817
2900,15705.24754694874,169.36270232510878,1736.7657793472174
3000,15899.188693572294,173.31059049100915,1739.6912194854647
3100,15802.580018048933,176.329695374295,1747.0333840542398
3200,16559.117854765682,176.04908066788303,1819.0745151426595
3300,16286.810747115485,182.2187652780559,1809.3064442576726
3400,16550.890941414233,182.9578765810439,1880.1950046516074
3500,17248.264708303996,194.99439371728238,1875.844134137179
3600,17191.919130556773,196.93020133490447,1940.7591161138369
3700,17559.10536108936,202.44926413532772,2026.8889518241624
3800,18030.930136869694,204.83054697651508,2002.6768196779258
3900,18645.91752915168,208.32412065862187,2077.6092776786313
4000,18966.89982810276,213.86282794772188,2131.652466358508
4100,19382.57725293414,215.50158435805423,2163.261840088527
4200,19188.93434573835,218.1710912347277,2184.512128464646
4300,19942.25165106916,222.78509473463197,2196.3630261460744
4400,20247.749794170388,230.44609148599642,2277.823467644652
4500,20439.390773558505,233.2482712039983,2333.103165975026
4600,21014.480455067867,237.17808125912092,2375.9038181666942
4700,21425.50523469049,239.71678653099283,2333.2626562392006
4800,22061.25974314103,242.23066578358032,2448.1389624812077
4900,22073.676005195543,248.03006181558158,2483.482788162333
5000,22149.780946563704,253.50556723377164,2460.825538995718
