milliseconds,C,I,R
0,8739.595244678225,98.10571045790938,994.9858619851623
100,9104.75113851074,99.28537929380506,1048.5797537561627
200,8959.105560041733,104.95955595272844,1071.8105331391534
300,9260.179347328722,109.41707716673248,1039.7714261314743
400,10021.504538593801,105.05823160329729,1049.9253093444668
500,10139.857296000722,106.48231655552667,1115.3262905459887
600,10447.109055165423,111.54593194035003,1132.8494129260168
700,9886.130470681424,109.96188777864997,1182.863194664803
800,10280.3702144946,114.83581675980125,1156.2150170339178
900,10310.872287209608,118.51231478651715,1197.7377848324888
1000,11213.179339141196,117.83979334096658,1230.6052943517202
1100,10749.39425947701,123.97373989287219,1238.0817565881407
1200,11386.694306791065,124.21099210089709,1238.4615796633393
1300,11572.8907173209,125.89527681751163,1250.220878015929
1400,11453.420449712263,125.09400725692139,1273.6655396426636
1500,12043.22740522984,129.57082643456022,1310.4999318911007
1600,12093.250932106635,137.76073523387606,1389.7288754927215
1700,12778.490003006278,135.33209830132142,1334.917834016393
1800,12985.170728220372,142.44093571218147,1422.6099202143655
1900,12694.390704914482,144.6563474270747,1446.4448738435017
2000,13061.755949270739,140.29564449151508,1472.1526697860613
2100,13167.558343096047,147.94402911693507,1514.761357417137
2200,13674.594616046648,147.62887840716405,1487.4489549409075
2300,13780.944308366597,151.71646576840794,1528.300542984128
2400,14066.776116066027,152.0937774596131,1541.3675451716283
2500,14750.264752128549,157.84581802105464,1636.663932540528
2600,14944.703841256689,162.52661566097274,1645.864576674877
2700,14612.418699860515,163.47374546233166,1612.9185723735695
2800,15325.208941132674,163.24293313176793,1689.2268964411667
2900,15521.008273551093,166.7462595900714,1735.479438410464
3000,15779.712835429309,177.22354662840146,1728.3157912105714
3100,16448.091337711194,178.23890014510894,1771.5733741329673
3200,16446.048905828535,184.7078069330196,1796.3814816232014
3300,16957.46975309897,186.93650859596298,1859.0420830444557
3400,17082.138024979435,186.1369661427055,1862.8119142920486
3500,17470.124904566845,194.7778243767912,1946.5015688328567
3600,17224.87779811936,190.7934783652898,1928.8837124899671
3700,17806.022825121956,195.65642478205194,1947.217865883949
3800,17913.582502445763,203.6341661376081,2039.7625735832266
3900,18921.94900391493,205.9332380574963,2067.8222922163177
4000,18548.086297924667,208.04612518429656,2102.6119042009673
4100,19617.4737728082,209.4263344168485,2172.2717030556455
4200,19808.884415559532,216.66732778238227,2143.2534739416856
4300,19615.11202818197,222.1542912482954,2225.709797629803
4400,19991.088273867892,227.3863929898707,2286.5074485651558
4500,20792.165908393235,228.57263437270328,2288.9710399736064
4600,20931.14245239517,239.39139113451222,2317.882261535789
4700,21555.82089222567,235.228928929404,2401.5110490720604
4800,21575.721086698883,247.7130744108308,2433.459577395424
4900,21997.378304864804,245.3110908833061,2481.3786843609337
5000,22788.248089016033,252.35326885026262,2482.0351312209073
