milliseconds,C,I,R
0,8717.65727706842,103.38469301915255,1001.207136622477
100,9237.696869237994,106.20118324437846,995.2113023865659
200,8981.928913212727,106.681618943595,1007.803906459552
300,9171.003992040049,109.80250935655907,1048.085087122176
400,9896.779042181173,104.94266018251514,1115.4834747117013
500,9543.000339346876,106.52961158560576,1135.5613681898712
600,10162.780266624155,115.79054594590443,1130.7430676387467
700,10664.562310827445,112.43811968264892,1149.8724102432898
800,10805.76575492018,115.20760017984989,1131.4842498015407
900,11017.783752900079,121.32933959211736,1142.5073918080586
1000,11179.9407194236,117.67517248231879,1196.3040448771733
1100,10987.731024775032,124.56701338828165,1240.8076020309963
1200,11107.78411331158,124.66680204241575,1297.0840424438318
1300,11459.26491622147,128.82657077905907,1313.3516523586527
1400,11571.48197696579,126.14988185703737,1286.4008571901397
1500,11930.22594471023,134.34878775297926,1284.4753575565742
1600,11795.00185328565,134.76322725247036,1346.6497212235754
1700,12280.61747641561,138.16494542206348,1383.9103786427497
1800,12735.450872012118,135.10760155724276,1374.0861933324938
1900,13092.14610078787,137.0690961742067,1402.2111545208504
2000,12731.619171779414,144.30430194761786,1445.7093977917266
2100,13721.119185179547,150.3550441682901,1495.2642101893978
2200,13372.329178052414,151.1486518252692,1504.8646527759954
2300,13736.175885165494,152.36377544254967,1569.7685543887505
2400,14335.708551405585,151.29777087803419,1540.142378568936
2500,14246.03417992097,154.73403962650008,1560.436105201814
2600,14510.945192225648,157.34995218918863,1600.3043179293977
2700,15154.084037464023,162.73224220752908,1701.1364353720223
2800,15265.958381468416,170.55150984390536,1730.9099709011903
2900,15871.724137728832,169.04109756536576,1719.666437446415
3000,15969.87707239574,176.7956977717342,1763.2547368598205
3100,16194.210663739488,175.28407387270073,1790.029272086117
3200,16427.143215772398,177.30517111165804,1847.3480317447347
3300,16314.362836060815,187.53773282531057,1869.4515351818497
3400,17317.358923635496,189.04622986920205,1901.774058311459
3500,17284.98842971152,195.39177462490554,1941.220692059061
3600,17469.503621859185,195.02915032366337,1928.0552360968893
3700,17658.527185056293,198.368049665839,1993.6808657300685
3800,18558.44979582868,203.66354072673406,2031.9270803727825
3900,18385.62953591211,201.71182252462663,2089.272770913988
4000,19209.136844592016,211.75613495769514,2096.5098625749133
4100,19557.899266381126,215.7378383744883,2104.871495457696
4200,19910.02737335162,215.16917291577766,2206.4472274856903
4300,19683.19246664107,218.10374330900578,2188.4713008045296
4400,20212.693879265058,226.66320896473263,2297.0178975531267
4500,20317.157769587717,229.33552089250867,2310.9752026025612
4600,21186.614201282315,236.33037058538446,2329.1551295938634
4700,20987.340886675804,241.3986051731642,2355.813039962106
4800,21638.80420957599,246.62580159679388,2390.9315157351066
4900,22317.512213100403,250.38436318562722,2440.181159581907
5000,22794.21496690253,252.09528308141785,2542.974768993814
