milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000305630.3137372,5596882.689148626,874515880.7968243,481857967.199624,2117920752.1122463,158893296.23116153
100,1000288404.3161415,5652776.701335491,872536439.1633731,481308282.0518513,2115510076.357101,158380542.1423372
200,1001676894.7079803,5758174.719884339,867131567.8649948,480308182.40720236,2110037053.4276707,158278647.54213175
300,1003018612.1524794,5800458.681652588,864910203.0939615,479755130.48618406,2109689232.183119,158095760.12409282
400,1003557553.1691341,5845399.584914717,863340272.0049068,479702392.96685183,2104747323.694008,157992375.21932936
500,1004621954.1975734,5918776.125710086,858180226.2354503,479062842.93811935,2102773052.176921,157649030.6823538
600,1007344622.6381608,6017457.990481802,858206617.9068509,478303058.09624404,2101710748.4503505,157278072.83286047
700,1007766217.6615629,5967036.06941287,855566544.3803391,478200197.54415315,2097509495.7211456,157061277.07553437
800,1009421495.4175096,6079931.541565431,850390688.5152636,477454586.3493974,2097404565.3424163,157062879.66289145
900,1009771240.1366271,6142181.149714379,849616211.7523385,476935039.33744305,2094657750.7153935,156648418.97867292
1000,1011311181.6162728,6179799.402617713,844711214.7013237,476425187.79070127,2091499076.3966587,156569094.67175105
1100,1012180381.3025311,6224514.302953031,842540402.1412717,476413898.7890808,2086847778.4670727,156355851.1425457
1200,1013438291.039586,6360310.391213748,841790695.1808108,475614676.5539824,2084394894.453803,156008532.5022999
1300,1014006404.6789186,6415934.805450452,839347578.9318442,475100319.1240042,2083292388.653846,155973841.31376165
1400,1015103231.1510136,6471669.428356815,836400410.7368221,474603055.8346321,2078927332.1408446,155614734.12206703
1500,1015642094.50588,6555682.7739846725,830885104.0870166,474246973.7387023,2077746159.1957312,155500178.55252832
1600,1017117131.2161202,6664899.066546342,831839830.9543997,473479103.2670357,2076773789.3639474,155280769.68484187
1700,1019383978.5761874,6735234.198394121,829121401.7058,473241100.67460406,2074167165.1533132,155027487.42965075
1800,1020057321.3280842,6726994.801167488,825064685.6206241,472558986.7981311,2071137958.5149705,154783091.53519762
1900,1021062928.9092329,6817857.204726749,821363516.1113584,472401950.5000948,2068630359.1482806,154525062.99155354
2000,1021649777.6324785,6923598.634406733,819111266.5783857,471563590.9484085,2065890237.086448,154350723.4058251
2100,1023295843.3150688,6996472.201015762,818824430.5176176,471079675.2641666,2063269944.5414116,154258934.9530666
2200,1023754256.9713057,7088156.403144136,815817499.8542241,470893018.79791343,2059217700.0377264,154006271.90731722
2300,1026199484.5907562,7058323.74061293,812039218.754755,469892278.2521149,2058738217.6524274,153740257.15184593
2400,1025976385.5371332,7201907.823844324,809929327.3793494,469862567.6314265,2055424725.0917425,153619520.12103233
2500,1027293912.1735427,7246512.358380355,806523109.5237703,468962946.6298941,2052999587.5801833,153252091.8715789
2600,1028630507.2544454,7364310.269724903,805721949.4132576,468453278.81514144,2051542540.052835,153209957.41394988
2700,1029617971.5740712,7384123.682292807,801896435.639294,468098366.20294124,2049390313.1150153,152914467.30454448
2800,1031691987.9536141,7523503.382543729,801104482.6810534,467680757.8186538,2045609320.1568227,152779964.55376527
2900,1032295014.1018142,7607885.910481924,795261131.5582125,466957266.1954812,2042377745.7161953,152376537.77079952
3000,1032672748.6287787,7611729.417612481,793264048.530967,466411898.7446211,2040858424.5023077,152200116.79459023
3100,1034550444.6323156,7764538.865014456,791178949.6705935,465862124.25674367,2039640059.7531457,152173426.92756224
3200,1035683376.9549044,7853962.91504636,788962077.0287641,465513101.92805266,2034003072.787979,151898128.7239931
3300,1037618892.693391,7903519.375273398,785764168.2453504,464922169.7964446,2032717940.6525183,151745996.30511698
3400,1038399534.3987058,7951413.436176512,782649634.7967137,464389347.43397313,2031600626.1137807,151507440.29991585
3500,1038814681.034851,8035399.098344492,782623832.4936328,464099247.81145847,2027705717.121771,151127725.6929638
3600,1039837719.8246708,8105243.4987987345,781031989.1730522,463625985.549766,2025261468.659014,150976257.71581903
3700,1041864188.9051006,8181666.885943742,775821178.2021278,463604016.85155034,2023593099.5404751,150911224.573543
3800,1043434965.1571292,8262829.378910746,775905045.3553855,462826175.4149888,2022288940.85295,150569909.6189028
3900,1044605371.3099943,8416981.699100262,771396249.057941,461982819.63529384,2017704777.817369,150388554.9249452
4000,1045003120.9859349,8485788.94522365,769589946.419384,461998195.7642391,2017453926.585475,149997555.68712178
4100,1046691476.7341638,8570325.249702312,767487381.508784,461203037.8087226,2015713755.9488523,149846104.1517895
4200,1047828934.0744487,8697175.893991552,765563047.4453081,460835613.11173934,2010768170.022326,149735193.77658516
4300,1049320883.0555092,8717981.357801769,762389949.1397729,460172462.5947036,2010458167.5168636,149662081.55274147
4400,1049762964.0452803,8819901.608096622,761008239.6195515,460043001.5140165,2007647344.6930017,149461683.08993727
4500,1051631044.1572169,8974907.457408909,757252693.4571481,459124859.2551957,2005006667.354682,149178752.88683537
4600,1051890145.3861353,9059890.07474974,756999497.4276495,458745805.11627203,2002876327.7234025,149015615.1767249
4700,1052604488.3375484,9124223.884774344,753582734.8774083,458726081.6028835,1998504203.4457815,148609124.90265882
4800,1053724303.7272708,9238981.42693125,749873042.106044,457709279.06999147,1999420986.267694,148351905.99188346
4900,1056275919.1992408,9279393.692422803,747374578.2814522,457644981.4235656,1995112691.0533147,148332338.5033706
5000,1056802936.9304799,9366340.08829273,745712372.992881,457070362.9005135,1991305381.977519,148071133.3155289
