miliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000592869.5164968,5576254.242285193,875364088.5446093,481338911.9910307,2118061797.6995602,158810531.23580322
100,1001160643.3509697,5666237.675986136,870580257.5570998,480864207.62915546,2114945500.2447174,158575659.91467673
200,1002652766.363321,5740991.591926342,869054627.0855228,480764091.652841,2113169950.892258,158184934.33851865
300,1003439512.4410442,5822411.741052643,864125739.0157151,479983174.0585611,2108126047.2941914,158217048.13538587
400,1005025094.6689355,5872337.635017345,861418158.8243351,479360117.4587451,2107998025.7734284,157950226.98060706
500,1005349281.4930322,5905501.594533534,858884813.3772097,479326555.29912007,2104672166.2466183,157510001.7106655
600,1007219744.1361831,5943787.176160729,858816821.5328724,478616035.42984843,2101418844.8472514,157303331.43945852
700,1007408233.7616208,6054415.1010692585,854444943.4852035,478373089.15582424,2099768820.4909868,157147067.64579675
800,1008003640.9446608,6100571.270594692,851516148.4343454,477815371.6087008,2096524350.1050642,157114149.07168484
900,1010106689.933739,6094515.274343178,848831741.3396463,476804382.8070585,2095072678.4440625,156813426.5213588
1000,1010509704.6400096,6265722.072579097,846557945.543664,476869603.53535366,2089218232.440342,156548860.62569895
1100,1012492375.9489877,6224735.951229038,844116953.471347,476008754.60014474,2088705313.7209327,156235261.02670047
1200,1012852602.1696895,6350494.532935436,842635995.3564975,475477942.05593085,2085796813.3945374,156251770.48866916
1300,1014259542.6457773,6358806.6997940885,838386096.0417157,475207167.2615515,2081392089.6334894,155899731.21982527
1400,1015612597.7300122,6494643.704677692,834143323.7621796,474932189.02633756,2079924667.2192478,155764400.7524184
1500,1017217402.2577765,6585316.522608834,832069258.7276762,473761743.132665,2079321442.8908079,155399642.985309
1600,1016996617.7709846,6603854.35196731,829000732.6120625,473950177.8543585,2076509720.4280696,155275817.09082803
1700,1017964107.9864658,6689347.606776514,826032521.3023387,473280934.63399416,2072790587.2604263,154911458.55547675
1800,1019288655.3854814,6776273.34668815,825036015.6780207,472402290.2842199,2070181502.905699,154818092.83109683
1900,1020396063.7675697,6801713.795833473,821500989.6069556,472184721.1396114,2066419267.5372531,154672319.72876698
2000,1022659132.7542173,6919916.131526286,821365461.0041069,471517489.13781905,2064034290.769901,154368078.99046874
2100,1023318544.7199979,7023794.140986086,818114521.9234209,471431505.99277014,2062126759.3976784,154276332.03600675
2200,1024030134.5474544,7053153.380138052,813510189.1515807,470906534.92119277,2059851740.9687061,153802935.44304308
2300,1026048095.0196607,7092870.8258798625,813650566.2756675,470121695.8264315,2058519881.3499858,153846107.37350184
2400,1026219906.9237171,7148968.070330908,810011879.560416,469703463.6581593,2055530201.6152408,153629219.48877972
2500,1026996853.6807585,7208517.79990642,808610881.7438507,469499083.0214778,2053515035.4664192,153252257.93414482
2600,1029563318.3286475,7303193.406479384,805970162.1152389,468534237.67287797,2051394157.9954777,152945783.34033453
2700,1029850095.1295456,7367689.163410157,802280819.2297165,468303049.3601903,2047996927.6739511,152960585.17505923
2800,1030552912.815852,7473704.203771367,800656366.3771851,467402082.32170975,2046885494.9095001,152595880.23299706
2900,1032800407.2031337,7553299.910473372,795398980.1401359,467265993.2777069,2041527729.8343196,152578282.2896425
3000,1034199411.2370393,7600517.1201509135,793238423.7683592,466951591.36868805,2040111353.288855,152278311.1806141
3100,1034091184.826906,7731545.582653069,793066395.0549469,466250955.18036234,2036811811.57709,152014418.67314115
3200,1035487016.0683817,7808135.967149142,789045421.2888393,465693233.8019923,2034389460.024051,151873938.45601508
3300,1036730448.3886573,7850579.721258167,785230483.084517,465027987.1304634,2032414142.7051177,151628321.31059653
3400,1037574505.0159558,8031197.722929828,785086799.3796971,464475250.001145,2032485127.1133947,151394347.70650306
3500,1038910752.6530324,8060611.171307597,781692776.0061219,464580900.0566779,2029280350.72929,151221464.14473677
3600,1040743213.4386077,8095370.132138545,779499544.5510106,464093786.27017385,2025633548.9855936,150836114.48392203
3700,1041109481.0693055,8241425.619448511,778437121.3170749,463299111.19831663,2025488542.4083257,150840531.7397965
3800,1042171039.7760328,8282390.611591798,776212318.8607773,462834112.19053996,2022842783.2805924,150551270.35707572
3900,1044606514.179071,8380650.6747254785,771738452.0620701,462321183.15319175,2018698256.7407296,150212078.66333094
4000,1044723729.0739776,8485247.745912414,768607379.2205831,461509820.3276889,2014929148.638765,150148428.9032587
4100,1045599525.7497119,8543200.40658199,765520784.3436424,461517501.50664496,2013481201.5602534,149860763.18241817
4200,1047335893.7662022,8638503.497909384,764218811.687121,460696291.5035415,2010544821.4971113,149586481.55739892
4300,1047706404.1542691,8766446.020464659,764081209.5993482,460200156.80737793,2010921029.7470958,149592101.0241493
4400,1050188680.3870418,8830548.193504017,760204083.8477553,459956524.95603174,2005526176.636993,149390628.27303007
4500,1050439446.4303724,8913562.663720781,756388114.671547,459582468.688294,2005382917.7278745,149113900.8022717
4600,1052278746.7596291,8991414.230730131,753796907.4075278,459071127.66831666,2003327599.4048564,148832803.98829252
4700,1052523740.9795946,9161312.73631904,753572624.6481377,458335646.48177195,2001328606.4968035,148586818.0456449
4800,1054939968.7533988,9275426.98997583,751879376.5301286,457547064.40350765,1997251583.4769385,148397109.76051572
4900,1056171171.6158576,9314936.75128962,748026186.6656147,457221351.30326205,1994459815.6291602,148142360.886554
5000,1056925317.4599701,9424568.765423702,747219111.0911939,456630057.3721019,1994537169.3555038,148109090.0118609
