miliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,999422111.4258008,5613372.06309338,872511211.9039322,481665543.47331625,2116097819.2515492,158763492.33259436
100,1000517387.4565849,5612837.968884942,869352023.5079705,481350598.1756038,2113144115.1093938,158687156.01801932
200,1002826872.0781486,5756338.835805922,869397317.7592068,480378665.34361804,2112712188.9638224,158357886.82045537
300,1002932370.041406,5793071.671000361,863830211.9435987,480385608.12932074,2108284334.2169771,158173812.28276846
400,1004213739.7239549,5808002.228292746,862350671.9360051,479529242.5151463,2105027849.3646812,157799489.2982601
500,1004851040.8089813,5932279.063956725,860440829.7136745,479175467.9756858,2104795500.6032023,157529804.87345743
600,1006865456.3044082,5981608.050991025,855782729.2843392,478251133.5331663,2100846477.5518239,157441803.41817534
700,1007789611.8003199,6009748.117901297,855148942.0003598,478095457.25938493,2099021236.3621683,157085080.42635348
800,1008608168.6866534,6122006.869453003,850747677.7801617,477540706.08684933,2097264185.384602,157131540.2773093
900,1009236175.3884232,6183219.890270949,850081211.9116479,477362958.776681,2095120778.5758018,156906771.6916828
1000,1010186382.0447863,6220600.932184722,845011461.9134476,476605673.91571385,2090022833.0558074,156628264.22788697
1100,1011812886.7599014,6256187.483690845,842667693.4066222,476083415.3818951,2089210094.3574874,156243737.21671918
1200,1012993640.8315742,6349001.790415292,840534292.125399,475467818.9869722,2084856119.082453,156147198.39020598
1300,1014198348.5006441,6412967.019714557,836950046.0512251,474852468.601389,2083404140.6177838,155828973.8260615
1400,1014852563.4043968,6519417.289823249,836002197.2096895,474517983.0849061,2078801178.476653,155618630.68875483
1500,1015859402.5128969,6537929.965068102,833209330.3716061,473971499.3452787,2076984547.4683788,155452288.45988804
1600,1017487710.7556883,6575110.575701468,831079808.822282,473382622.18081486,2076834473.2138546,155115019.58394864
1700,1019004754.1508499,6669705.428491976,826544311.8774774,473247751.42795,2071651265.016901,154866019.56065786
1800,1019258059.4268848,6714184.116838761,823717077.6348383,472419379.925263,2070639655.0945644,154790647.13644508
1900,1020919665.1573422,6819804.832066914,821361864.5316604,472159879.93759096,2066769406.5796554,154737602.91535586
2000,1022189212.8478847,6910869.651892799,817870530.2507888,471748895.49469215,2065399956.4161868,154444665.6684399
2100,1023046316.8200703,6929587.178373248,816634023.112711,470832019.7056478,2063078144.9066794,154246116.5508512
2200,1023619679.2925359,7052320.612583476,815812071.4718039,470331077.40197796,2061493885.9325588,154041211.43178338
2300,1024721262.8382816,7095196.035320579,810831670.2029785,470289347.3017311,2058277692.1075299,153783202.2879743
2400,1026945464.6469762,7185756.655172298,809643010.8151393,469940015.2316529,2054099399.8749597,153585969.69152355
2500,1027531922.5506259,7264828.971891954,806527209.7677711,469057580.6443457,2052041036.0822632,153247815.19637305
2600,1029366660.6259689,7292020.928067183,804804341.3656595,468447080.1193928,2050267519.005772,153008201.7359696
2700,1030179914.6579385,7417133.2053510845,800405892.5273074,468256943.3792609,2047295540.0980499,152873103.3222282
2800,1030913353.2691808,7529017.851054498,799712882.8418425,467926634.11112124,2046093606.7681017,152637780.5720476
2900,1031663972.1271818,7593710.645932302,797029025.7140037,467451337.37700903,2044653712.902285,152454840.60574406
3000,1032775455.549524,7596722.013978673,794826089.6583847,467080296.2058035,2041114004.1827781,152312331.5856895
3100,1034087866.2216674,7687875.052514864,792933836.7358724,466051776.37207806,2036492990.7401092,151883106.09752786
3200,1036299409.0923924,7758257.265682664,788645474.3726238,465743547.2483045,2036298151.4997048,151947099.68994838
3300,1036684014.0825766,7903198.319385795,788168338.0846472,465362325.5639405,2034261512.625661,151626984.35604382
3400,1038745086.3113708,8018250.3933705585,784993532.7083054,464543894.6396089,2032116110.6539257,151434301.42714646
3500,1039369500.5795946,8105245.96775414,783439297.0875207,464052295.13707185,2028618601.5361943,151240945.47653857
3600,1040035689.1596946,8158288.056710917,780838384.7015499,463607645.9090484,2024803919.7002163,150952196.56942624
3700,1040943008.226793,8227089.77822384,777175024.841009,463369177.2765535,2022792450.8351457,150630187.71544382
3800,1042253959.6191001,8292857.412854705,774034078.3381665,462855375.98084044,2020822393.510031,150623619.1392241
3900,1043583656.703831,8451328.93025548,773469535.7739506,462187446.04923016,2020549338.6986468,150224613.92786926
4000,1045394323.0847578,8463442.117417624,769691618.4773576,461942650.9682534,2014925312.9591901,150067143.7701884
4100,1045614243.5797147,8620880.40605518,766275462.9269774,461446621.95163757,2014309113.1696851,149933383.2622201
4200,1047716716.3527448,8716830.817830987,763952940.3053166,461003996.9521276,2011367366.1301625,149818243.32574496
4300,1048385886.1031805,8706653.717448168,764169742.7162064,460361663.3955284,2007841658.5749767,149469352.8313014
4400,1050098400.9141446,8826170.191712603,760032566.9342452,459505100.4436662,2006854461.099688,149226384.5998879
4500,1050808024.0857257,8973004.794998495,758866889.9103451,459546101.4092095,2005804966.7393534,149077883.4081893
4600,1052873748.2647523,9066773.871546423,756128311.4134263,459182612.4950949,2001537452.4177709,148764913.2042829
4700,1053522499.2160808,9078655.439412916,751261812.3565044,458611299.79045784,2001579888.1442401,148672187.9041334
4800,1053717256.5814853,9179576.85229941,749934304.9798961,457923525.5778996,1997337104.0267816,148586177.97100884
4900,1056004946.6915362,9345184.480205351,746940815.7142195,457271719.84188324,1995233052.951866,148374207.12580925
5000,1056824688.7329437,9447106.45896361,746712063.5482793,456806098.3705389,1993077902.0654655,148024891.4016539
