milliseconds,C_PCC,P_PSC,E_CD8,N_Killer,H_T_Helper,R_T_Regulatory
0,1000831901.0148505,5639651.947936325,874108435.6719754,481466237.257877,2115397735.7079775,158705092.1820717
100,1001158185.6115189,5610475.848211394,870386354.5114452,481202519.36972094,2115972897.744934,158401485.6172263
200,1002433705.8346329,5694326.558062679,868399596.748212,480895424.96853393,2111799790.670818,158171690.17060715
300,1003000535.8406476,5757261.658635341,865133010.8217494,479786279.24439335,2108229756.8986523,158169750.4605874
400,1004736031.6263366,5876820.584879293,862798837.1564822,479407486.3628487,2106562890.01691,157916842.97378582
500,1004826910.5763232,5898066.258754168,859011527.7457042,478874747.663913,2102149157.3868763,157496284.9809813
600,1006432718.4607595,5921015.196891742,855295524.7664477,478380983.77767026,2101151468.3492932,157351493.9358603
700,1007794243.2628641,6061319.024588196,852665384.1985018,478002892.2866055,2097430050.5934215,157061265.61800432
800,1008588128.6289393,6043330.906125418,852828176.6302692,477846928.35797817,2095373195.5670185,156859275.55577236
900,1009840216.5862451,6171261.591750795,849975178.8283842,476924486.7640385,2095014402.839273,156651363.9949303
1000,1010730136.505809,6233340.3760743,847047430.3182312,476265931.5973364,2091569872.465341,156661136.98205253
1100,1011676872.6217769,6241867.815864703,843585741.1215117,476010652.9604997,2087858348.5409877,156282861.7494039
1200,1012468317.7615415,6291044.902148487,842127354.4985259,475408722.05716735,2086092067.9722948,156223430.65426
1300,1015049569.3347528,6413970.142315359,839588778.4711148,474862474.3911123,2081409618.2395265,155885406.29022074
1400,1015470881.7661926,6431137.171770376,835951828.9505724,474753482.9543739,2080775598.0428174,155557239.9010656
1500,1017216276.4314917,6569880.662991091,832910076.6194617,474088858.7434412,2077244428.8826592,155389994.80080706
1600,1018001528.5667682,6578202.177806618,829979138.2238928,473799081.9678847,2074651994.8749955,155374789.4595517
1700,1017981845.7079993,6706231.588156284,827746101.5449152,472897522.3958757,2074527364.4138021,155156365.27856153
1800,1020262854.4203029,6746304.637403887,824593986.5893067,472279976.2605238,2071633884.356973,154849587.42714456
1900,1021088958.2365452,6871122.128564361,820886672.3441583,471944485.1465897,2067863339.1607451,154656795.50525853
2000,1021721858.8724955,6852158.201422602,820777526.4638623,472003400.3547501,2066968062.3463783,154426712.88875112
2100,1023248630.8644874,6993351.721151288,818889733.3012341,470908133.1534417,2061638068.657081,154142357.47098735
2200,1023572880.4185582,7002710.592374122,815787323.8140863,470345614.35972816,2061019104.7013214,154048436.1344485
2300,1025917557.8009189,7136647.613803254,812041800.6594354,470499637.83896494,2056393562.6487932,153711958.6433044
2400,1026653045.065509,7174466.380049643,809344068.6295366,469630180.3656581,2056717323.2023458,153484377.84149402
2500,1027225482.4556612,7281326.886246013,805375561.0807296,469528778.1088028,2053790031.8125398,153273081.32364398
2600,1029706731.6826239,7347504.116374259,804965758.5700998,468684782.1130376,2051446803.884233,153033625.3035071
2700,1030193083.2205924,7457570.494067505,801339830.4851938,468186002.2383605,2049599044.3849416,152797471.46465954
2800,1030898433.0819739,7437722.70888513,800426923.2374185,467538936.31202,2045524923.4176161,152674159.0398066
2900,1031543811.9266787,7564611.962216344,797543062.2431145,466902999.2164715,2044191842.941293,152383583.33202207
3000,1034255017.042329,7596747.028037946,793431184.4791667,466746747.51569057,2042096802.978115,152219214.15551302
3100,1034210454.5346127,7733636.196040537,793523951.0212985,466355968.4991593,2036568170.3826246,152033514.13544652
3200,1035256082.7724538,7800905.281734916,788491842.1688987,465789341.28360784,2034463455.241078,151954904.48941532
3300,1037728471.3582265,7908176.487192461,787823561.5712962,464927447.3070204,2032215928.651082,151590204.73555478
3400,1037991117.748697,8009991.891151061,784927338.5435897,464838012.8791237,2029758604.5456176,151439786.30474275
3500,1039319156.7809169,8105272.629708444,781433510.9499487,464614553.8186418,2030182272.8436,151030570.49399945
3600,1039610769.3468211,8107666.339642029,778668358.3199538,463646377.458844,2025610484.3931143,151120863.57328075
3700,1042018198.0492344,8211157.279005836,778053438.6897846,463010090.47844446,2023966542.3695643,150778207.3212321
3800,1042551203.4087238,8309718.21585093,773670876.5841199,462969092.89413595,2022009421.5321963,150654334.04486746
3900,1043877115.44237,8371629.072737587,771132932.1670762,462264329.1618558,2019243774.6127255,150271579.6681637
4000,1044713510.2493238,8541717.43835511,768312595.7117059,461793393.7470643,2018059803.4140174,150234591.4299526
4100,1046565224.9747226,8524243.95926528,766922270.8423871,461134058.94716895,2014158439.5297472,149999543.91571143
4200,1046877737.3634893,8718926.406456914,765327479.057197,460774449.6200917,2012793903.0522463,149811082.4173135
4300,1048497107.4105409,8781982.800072404,760926506.7876847,460065855.4566254,2008048515.8819754,149368370.1016245
4400,1049556479.7598082,8808097.494159715,759289332.281217,459855967.73537415,2008164482.0197492,149221164.7533856
4500,1050322402.2681699,8991002.679589963,757451147.7746924,459540493.9925231,2005511283.4721556,149237992.83894438
4600,1052350623.6997796,9070915.03218868,755461435.9422019,458881208.3137548,2000880810.6504507,148868559.13422427
4700,1053273097.4492757,9162355.49508362,754132899.7443699,458199784.49167293,1999591499.8583343,148799886.67516243
4800,1055071768.5191146,9165526.906919729,749229555.1427189,457550929.4032074,1999459549.3558505,148604782.91978607
4900,1055682182.370275,9266945.435666772,749287915.2198683,457611944.71710306,1996273090.7100554,148262656.4838951
5000,1056108893.7599996,9469412.751735076,744924788.3967186,456990980.4247532,1992840267.81132,148123184.7835744
