miliseconds,x,y,z,h1,h2,h3
0,123.31539148222812,228.08263406383327,13744.34457844804,111.00998292979105,94.79653369781849,82.37614426360439
100,123.28558497378606,228.22799993372195,13742.695833777365,111.11388911807619,95.02290603108537,82.378971601504
200,123.25302785597111,228.24026240162178,13738.449811451183,111.18848840132223,95.16954405284346,82.5766058955707
300,123.19993447029233,228.65448267309418,13731.60521401247,111.33619335080972,95.19820202399649,82.59460472359238
400,123.16012375257768,228.77756738647906,13729.56139985525,111.31302910880454,95.4217078367887,82.69050389672617
500,123.11680442313789,228.89106763094856,13724.774705692551,111.42688383224518,95.59165076810933,82.86777414642559
600,123.07380161580363,229.05550941996114,13718.986965727268,111.52435170432322,95.54752684785282,82.989132063519
700,123.03573826562241,229.4368952500753,13716.182670904673,111.71159755486582,95.8447946777593,83.02127624877498
800,122.99827201363895,229.59163558487413,13712.008053787351,111.80111455728316,95.83262349554914,83.19171660892663
900,122.94057365504973,229.8539119556181,13705.898717231132,111.87237877720719,96.12396045973118,83.2659136151104
1000,122.90188615406404,229.8390360197245,13701.42886906674,111.8742393270121,96.16306055152184,83.36532134562165
1100,122.8488293721179,230.11230909730884,13696.00954335236,111.94681119210804,96.3850716572224,83.4441524367101
1200,122.78534423849271,230.12797272548104,13690.868358251686,112.21852633977088,96.52819051698448,83.6282132057415
1300,122.74024926959139,230.54788702017498,13685.536397944697,112.17858190836361,96.61727145917617,83.70578700577319
1400,122.67197485261727,230.59389867419048,13683.089083210338,112.29919917335602,96.75846595399646,83.81562755543281
1500,122.63549347637621,230.80207459966925,13674.783608672602,112.32406771254432,96.8867311116523,83.90482565911981
1600,122.58277140111575,231.1076671403788,13669.92384827631,112.47589281561858,96.89268230186141,84.0343996056394
1700,122.52008513336189,231.34381749758094,13664.140113057969,112.58351173912996,97.1747233368952,84.15092960710145
1800,122.45782762509572,231.39742576555366,13660.895883421803,112.58093439925688,97.14870374906303,84.17378685550284
1900,122.38508589723654,231.5743566856843,13656.93839258608,112.71227789637989,97.28173842705773,84.36831698955956
2000,122.31241094294333,231.63907168286116,13648.329764842732,112.83394444653086,97.56205588491468,84.49466252854025
2100,122.24717856346145,232.01610896110714,13644.583104933734,112.83538325094037,97.61959202797989,84.62119141879016
2200,122.17113965333473,232.16001974977723,13638.729129193282,112.8986836735378,97.6461861958991,84.74206640029662
2300,122.10982837713134,232.2719600436952,13634.245184637164,113.12183605596219,97.77653472487727,84.78752377769403
2400,122.03470132825659,232.40512891508777,13626.399942153563,113.03117524483483,98.00292190594953,84.91487603373824
2500,121.95081049626658,232.56357339892227,13621.226387392664,113.2664947621556,98.10140282491525,85.01801501364443
2600,121.85839310309241,232.7315815084133,13616.627535063011,113.16515779862102,98.2737214784279,85.18114447499852
2700,121.77509424363802,233.09897704585555,13613.052977224403,113.41731069277574,98.39038256265867,85.1660066300955
2800,121.7127005576488,233.24101768967566,13604.47527466105,113.35889572599321,98.46543639354671,85.26695364169777
2900,121.63594196922391,233.24605720319704,13601.11075109879,113.51706252886308,98.57173427833897,85.47404218146329
3000,121.53143502015124,233.49340658907417,13591.905682554432,113.51531024916716,98.80351586612987,85.50190317420667
3100,121.436672855471,233.83242024413633,13587.885362099814,113.5708244120228,98.85566318156225,85.72950569354757
3200,121.37398921604346,233.72840167132807,13583.430849095184,113.64814830588162,98.90774357158055,85.77851914276121
3300,121.26951253082997,234.2016037783272,13574.006865570047,113.75928608570705,99.04809014341353,85.92864714051602
3400,121.19144333129913,234.27610391028398,13570.03030687793,113.772002532193,99.21797093362153,86.0580557292115
3500,121.09434654349934,234.42114795086522,13561.916050733396,113.92252256256579,99.37501058753118,86.1395607497276
3600,120.97466980179844,234.67809744579083,13558.573831400969,113.83673490823973,99.47970725682787,86.23860830252531
3700,120.90665463003505,234.82304034425837,13551.729587656215,114.02901853005244,99.53644883866731,86.28087721155838
3800,120.78791124251562,234.970628946173,13546.108409504768,114.05714050102708,99.7969170132117,86.46903207237227
3900,120.70416707023654,235.16265270821827,13537.886011727793,114.14288795060575,99.78814504994028,86.50092277921588
4000,120.60395264664731,235.34717375135202,13533.541186331378,114.05837479208539,99.93084951868497,86.63758819644467
4100,120.48110344670336,235.25727258852706,13524.793600422678,114.24202783911203,100.13303749211795,86.72311174788776
4200,120.38883482344919,235.57964223931413,13519.325697887893,114.29138375729308,100.23569316762794,86.90465314269665
4300,120.2846215111225,235.67928510164688,13512.87619556768,114.34183450685875,100.30016820937209,86.97911706493416
4400,120.15808418653161,235.7562908482433,13505.364369979381,114.30007552536294,100.4633337833068,87.07713922433135
4500,120.06741900571232,235.97470030793576,13500.579229592027,114.41084137107333,100.54485394447691,87.21459565525886
4600,119.94191683699673,236.0044624338433,13491.977002916028,114.46566561785914,100.65968465164738,87.26055941772793
4700,119.84286390266469,236.25850895732566,13487.375924513293,114.51057379316673,100.74149503640866,87.37774735765348
4800,119.71122731401728,236.31765493899414,13481.335309807091,114.4578199362152,100.8621793954945,87.55270064882258
4900,119.611420472026,236.47638964231103,13471.84062197842,114.61979556726618,100.89532897443017,87.70632212185733
5000,119.48182827719417,236.77222831580602,13467.746336334201,114.62110986188414,101.01785452041925,87.77840032462018
