milliseconds,x,y,z,h1,h2,h3
0,111.89614823781264,242.46838659353224,13076.708296705345,114.98193818462947,105.87378442420547,93.2511772246214
100,111.6890290318669,242.57695627829392,13066.950149102726,114.94797623091819,105.87857391401435,93.27869149314401
200,111.6674068701654,242.59981531467864,13061.805943450569,114.92596313836214,105.97434006573694,93.4542818514447
300,111.29862249003759,242.71971650500876,13056.416215028152,114.88927998778743,106.05377348580164,93.45983954289817
400,111.17513291163863,242.65067671568144,13039.094962626823,114.8604504259764,106.15388374309829,93.5946164925751
500,111.14571591176527,242.7547087680169,13031.44827052456,114.82881023184939,106.24343058043019,93.78002387884526
600,110.75765052378578,242.82523916570292,13029.370716572976,114.80677012218388,106.27759666551579,93.81903476878529
700,110.78877245506239,242.99540883361198,13021.516321856028,114.76005691566745,106.41845059240904,93.92237880354011
800,110.39262020436205,243.00489892185496,13013.038855611443,114.73237459541313,106.49538684365108,94.10613156661674
900,110.40933460897622,243.0516229366143,13000.177895479303,114.69499761533946,106.4460060188039,94.21693237129678
1000,110.09080887728683,243.06998265113955,12988.298755809568,114.6641891766421,106.52772419940922,94.21313299825533
1100,109.97914442435246,243.16935627205999,12988.062145949858,114.62671793322656,106.68775644195853,94.40255430008642
1200,109.68179038382071,243.3273415129367,12979.225054288756,114.58283330728483,106.70647806935678,94.44496901233468
1300,109.67571572295046,243.2396802409376,12969.774442757405,114.54425458642152,106.7750205476264,94.59317266625091
1400,109.29772658431754,243.3001440465594,12951.75402995954,114.49424583712579,106.82338928739586,94.72531669021694
1500,109.21274453054414,243.49290051827327,12943.493576450159,114.45602221054911,106.93910351888034,94.80648803596826
1600,109.06938167700682,243.55112436961002,12936.983049914972,114.40456809601662,106.89393777910338,94.8864411073415
1700,108.81349518123801,243.60315971027498,12934.870756029582,114.36499425306073,106.95349853576107,94.9980585186874
1800,108.70401885752567,243.5193819804448,12927.081292172596,114.31742075966979,107.03578217087083,95.11266831135762
1900,108.39306039167003,243.6723224898276,12918.179956053997,114.27576100298258,107.16810437163315,95.15628535940517
2000,108.14999739122315,243.75044483375441,12905.031956171482,114.21669882214618,107.2188937719241,95.29901402793826
2100,107.97617601616716,243.78193177838247,12892.410738022574,114.17036299872632,107.23886851635469,95.30880731211815
2200,107.91111201672534,243.76505241277252,12890.450899938349,114.12261971455419,107.29875831674352,95.40281080427116
2300,107.67747285566293,243.7898335185715,12883.17021925414,114.07408624215172,107.42766384810965,95.55475030775396
2400,107.51381582492108,243.80492414839796,12872.207466594096,114.01525152585054,107.39857609574403,95.64551559006003
2500,107.2750074807117,243.8548029539134,12855.076431497444,113.95903922743533,107.44956430200689,95.78486442947644
2600,107.04984685604236,243.98094689157224,12847.788686096592,113.90209086648996,107.51010543723109,95.83495001494795
2700,106.84353631481187,243.95801544137652,12847.864018877666,113.84610769586233,107.57309974700627,96.00331357001858
2800,106.78230640209512,244.0245357250823,12831.582809347867,113.78360982907532,107.69207495050783,96.11506181728573
2900,106.58840291917507,244.16071585172597,12829.741871704104,113.73137791240049,107.74927741949088,96.17661424740523
3000,106.23851610096762,244.06953177379668,12816.042205955055,113.66838241485749,107.78836778790529,96.3294675201889
3100,106.13988851515533,244.19379408748367,12809.228179041236,113.60855951628139,107.75970231363523,96.27501176417285
3200,105.89981810917342,244.1792275187809,12794.623781919612,113.54645881764205,107.88364722335884,96.4488967417883
3300,105.7647143643156,244.25119537833768,12793.771265436113,113.47639315848171,107.89156304661583,96.46747131947816
3400,105.56848803842023,244.2344718390315,12782.316400431937,113.41076798237397,107.91522587893043,96.64192908389968
3500,105.39618243486376,244.31936111488392,12770.407874750506,113.35095808966413,107.95513958926436,96.7718360203247
3600,105.21280287221944,244.3651813937426,12760.315136442196,113.27776078981356,107.9508127252146,96.81208090770005
3700,105.05264268277585,244.26506925910755,12755.218025224525,113.21906438209591,108.08785283581952,96.83000459553897
3800,104.84392481734973,244.41003439221427,12743.29311593894,113.1397346878415,108.07087646801055,96.97594652558126
3900,104.47687872966962,244.40329037815332,12735.595595456245,113.07245744363357,108.17146735406432,97.03117220761902
4000,104.2964851759819,244.33013349879832,12722.667615047254,112.99381087262108,108.21891967789743,97.16738289232073
4100,104.2437339394394,244.35478192927846,12718.88590731712,112.92396014139217,108.18502908899681,97.24622369788975
4200,104.01951386381944,244.40218278761574,12705.239109892967,112.85598182624675,108.28175707853804,97.40190522753535
4300,103.73851954107205,244.508159693874,12695.583525716254,112.77670802642115,108.30347375260278,97.44948301710886
4400,103.51467588045298,244.42808808009852,12686.698037934977,112.70104155265206,108.39186271368864,97.51359211064539
4500,103.37662889557438,244.40526645700092,12686.406998518722,112.624632561412,108.32368678154664,97.56334364324847
4600,103.31077208598367,244.5096825176849,12674.818234875096,112.54462292456674,108.45987964934801,97.76712397657658
4700,102.9876045492714,244.56236015994665,12664.518137966743,112.47180210915995,108.4555310324731,97.87971025321536
4800,102.79327615016598,244.52858000539277,12657.643868965913,112.4009108960885,108.43297977785859,97.96452344502357
4900,102.65954310151625,244.50025060675193,12651.516031417716,112.30639553150472,108.56548529043765,98.03172136181504
5000,102.48615027813717,244.4319994188619,12635.109477720254,112.2288469803562,108.54125818639935,98.13020965739057
