milliseconds,S,N,T
0,0.10065917918803513,0.1999975935101624,0.09991283196694749
100,0.09997078730249113,0.19998794871245554,0.10040229325784257
200,0.10235533064917048,0.19944570323794267,0.10053342200949202
300,0.10349019837295484,0.1993684803415058,0.10041260599221138
400,0.10306444806928558,0.19876642230854336,0.10065177772191705
500,0.1036881636434253,0.19843993557229905,0.10075658641437266
600,0.10518741667639196,0.19864097485553292,0.10088935242485665
700,0.10580893547890581,0.19816544145074294,0.10078742302984418
800,0.10730539219119616,0.19760026419414384,0.10106290579445701
900,0.10867845169271949,0.19741030177466748,0.10117862114916414
1000,0.1083589799082548,0.1975653973553928,0.10111721143184138
1100,0.109337840424621,0.19688795250324656,0.1013185862568345
1200,0.10985896739757667,0.19656880479397038,0.10198098982138205
1300,0.11154097994782201,0.19638185348346435,0.10178865528667858
1400,0.11179687454634596,0.19618884626326813,0.10179763515011166
1500,0.11166029166046197,0.19610961980834335,0.10203897500039863
1600,0.11344938886246864,0.19610551375795027,0.10249718762074424
1700,0.11491176979171,0.19561898209533218,0.10230162887549384
1800,0.11563507543954779,0.19540354835084278,0.10249082343377769
1900,0.11518116748006962,0.1950596268949042,0.10263362342987768
2000,0.11528380282904763,0.19522301624674654,0.10297166593932942
2100,0.11623607568570637,0.19458072821456157,0.10327782403853954
2200,0.11792677519510915,0.1945849516212218,0.10357180769620163
2300,0.11807834362213676,0.19436738399805556,0.10355348165273741
2400,0.11832700797341496,0.19400166248923378,0.1039708629431936
2500,0.12010787650767653,0.19389709643636907,0.10418179534421779
2600,0.11982992514407746,0.19344362452520705,0.10431926374079621
2700,0.12050021598641343,0.19321135195308817,0.10467947040325877
2800,0.12219958736685646,0.19335750300524493,0.10497792004707485
2900,0.12260213381448987,0.19300767193893942,0.10476018035256025
3000,0.12196379841650049,0.19314961422267243,0.10521347483798436
3100,0.12405707588378838,0.19277698946527128,0.10563213895733391
3200,0.12371288006596289,0.1922492933653343,0.10560295860887865
3300,0.12463760875594378,0.1920636537709298,0.10560753935798402
3400,0.12535583463451155,0.1920863036812716,0.10611339229184708
3500,0.12667293424443055,0.19176496034452628,0.10645298065450136
3600,0.12634738877552334,0.1917221210605157,0.10641317729570374
3700,0.12685368132025046,0.19136596735290098,0.10699192004193753
3800,0.12776953586431317,0.19129582238960208,0.10718397489449903
3900,0.12827247533852987,0.1913042053896091,0.10705934558769786
4000,0.12857264651761405,0.19091131680117468,0.1075011045295436
4100,0.13019716803402367,0.19060901660144342,0.10805048112034316
4200,0.13015343979834704,0.19088649299796484,0.10798336882587842
4300,0.13021852719425805,0.19064396832398808,0.10835554343287805
4400,0.13063686619520457,0.19042180530517813,0.10835727036849811
4500,0.1309820353905832,0.18989920632850313,0.10869906227128981
4600,0.1320588301185492,0.19016797386043044,0.10927220723031932
4700,0.1323889854918064,0.1897612000321268,0.10943758632147012
4800,0.13374610808265444,0.18958795532404402,0.10991697019777477
4900,0.13413271763395854,0.18942764733275994,0.10991448965779335
5000,0.13312430646133316,0.18929734188987976,0.10995938743208691
